#tail	head
CDK13	ESRRA
CDK13	NTRK1
CDK13	CDK4
AMY1A	MAB21L1
AMY1A	PMPCB
TARDBP	IRF9
TARDBP	NTRK1
TARDBP	LSM12
TARDBP	CDK4
TARDBP	PHB2
TARDBP	CUL2
TARDBP	RPL21
ATP12A	FGF16
ATP12A	CDC42EP3
ATP12A	NTRK1
ATP12A	ZIC1
ATP12A	ACIN1
ATP12A	PCK1
ATP12A	MAB21L1
PCK1	FOXO4
PCK1	TPTE
PCK1	ESRRA
PCK1	MED11
PCK1	FPGS
PCK1	FOXO3
PCK1	GART
PCK1	GNRH1
PCK1	SMAD3
PCK1	IGF1
PCK1	MED4
PANK3	ACSL5
PANK3	BCKDHB
PANK3	PANK4
PANK3	ACSL3
ESRRA	BCKDHB
ESRRA	ERGIC1
ESRRA	PHB2
ESRRA	PELP1
ESRRA	MMP3
ESRRA	CDC42EP3
ESRRA	VAMP2
ESRRA	VIM
ESRRA	FGFR3
ESRRA	ERBB4
ESRRA	MDM2
ESRRA	GNRH1
ESRRA	EIF4E
ESRRA	CDK4
ESRRA	IGF1
ERBB4	MDM2
ERBB4	FGF16
ERBB4	TPTE
ERBB4	SDC3
ERBB4	FOXO4
ERBB4	FGFR3
ERBB4	ZIC1
ERBB4	PRKCB
ACSL3	BCKDHB
ACSL3	ELOVL1
ACSL3	RAD18
ACSL3	PANK4
ACSL3	TPTE
ACSL3	ACSL5
ACSL3	FGF11
ACSL3	NTRK1
ACIN1	FOXO4
ACIN1	NTRK1
ACIN1	TXNL4A
ACIN1	HIST1H3C
ACIN1	CHD4
ACIN1	HIST1H3E
ACIN1	SNRPD2
CDK4	NTRK1
CDK4	PELP1
CDK4	IGF1
CDK4	SMAD3
CDK4	HIST1H3C
CDK4	HIST1H3E
MED11	MED4
NEUROG3	RECQL4
NEUROG3	ARID3B
VAMP2	TRPV4
VAMP2	AGTPBP1
PANK4	ACSL5
PANK4	BCKDHB
PANK4	UBE3C
PANK4	TERF2IP
PANK4	NTRK1
NTRK1	GART
NTRK1	UBE3C
NTRK1	EIF4E
NTRK1	AIMP1
NTRK1	PPP1R10
NTRK1	CUL2
NTRK1	CHD4
NTRK1	RTL1
NTRK1	TPTE
NTRK1	ABCC1
NTRK1	VIM
NTRK1	ERGIC1
NTRK1	PHB2
NTRK1	PELP1
PHB2	CHD4
PHB2	IGF1
PHB2	AGO1
PHB2	TPTE
PHB2	PMPCB
MBNL1	ZIC1
MBNL1	FOXO4
MBNL1	ZNF384
MBNL1	FOXO3
COL4A3	SAA1
COL4A3	SDC3
UBE3C	RAD18
PPP1R10	ZIC1
PPP1R10	TERF2IP
PPP1R10	ZNF384
PPP1R10	FOXO4
BCKDHB	ELOVL1
BCKDHB	ACSL5
TRPV4	VIM
TRPV4	PRKCB
FGF11	FGFR3
FGF11	FGF16
FGF11	MDM2
FGF11	SMAD3
FOXO3	MDM2
FOXO3	IGF1
FOXO3	SMAD3
ALG3	SMAD3
ALG3	CUL2
PELP1	HIST1H3E
PELP1	IGF1
PELP1	AGO1
PELP1	HIST1H3C
SAA1	GNA14
ELOVL1	ACSL5
ELOVL1	SMAD3
AVPR1A	GNA14
AGTPBP1	FPGS
AGTPBP1	AIMP1
ZIC1	ZNF384
ZIC1	FOXO4
ZIC1	DUSP11
TPTE	FGFR3
MED4	HIST1H3C
MED4	LSM12
MED4	HIST1H3E
MED4	CHD4
GART	FPGS
GART	RPL24
GART	ABCC1
SNRNP35	PRKRIP1
SNRNP35	CHD4
SNRNP35	SNRPD2
SNRNP35	TXNL4A
RAD18	HIST1H3C
RAD18	HIST1H3E
RAD18	IRF9
FOXO4	MAB21L1
FOXO4	ABCC1
FOXO4	IRF9
FOXO4	MDM2
FOXO4	SLC6A20
FOXO4	ZNF384
FOXO4	IGF1
FOXO4	SMAD3
IRF9	ARID3B
IRF9	VIM
GNRH1	IGF1
GNRH1	SMAD3
GNRH1	GNA14
GNRH1	MMP3
TERF2IP	RECQL4
TERF2IP	MDM2
TERF2IP	ABCC1
SDC3	FGFR3
ZNF384	VIM
HIST1H3E	SNRPD2
HIST1H3E	PRKCB
HIST1H3E	RPL24
HIST1H3E	CHD4
HIST1H3E	AGO1
CUL2	RPL21
CUL2	SNRPD2
CUL2	RPL24
MMP3	SMAD3
MMP3	IGF1
AGO1	HIST1H3C
AGO1	RPL21
AGO1	RPL24
IGF1	SMAD3
IGF1	VIM
IGF1	EIF4E
IGF1	PRKCB
IGF1	MDM2
TXNL4A	SNRPD2
LSM12	ABCC1
ABCC1	FPGS
ABCC1	GNA14
MDM2	EIF4E
VIM	EIF4E
VIM	CHD4
VIM	SMAD3
PRKRIP1	SNRPD2
EIF4E	LAMTOR2
EIF4E	PRKCB
FGFR3	FGF16
FGFR3	PRKCB
GNA14	PRKCB
PRKCB	HIST1H3C
SLC6A20	AIMP1
SNRPD2	CHD4
SNRPD2	HIST1H3C
RPL24	RPL21
RPL24	HIST1H3C
RPL24	CHD4
AIMP1	LAMTOR2
AIMP1	RPL21
CHD4	RPL21
CHD4	HIST1H3C
