#tail	head
G3BP1	SP1
G3BP1	SPTBN1
G3BP1	CNOT1
G3BP1	YES1
G3BP1	SET
G3BP1	BMI1
PITX2	MPPED2
PITX2	DDR2
PITX2	AGPAT1
PITX2	NR2F1
PITX2	ARRDC1-AS1
PITX2	SP1
PITX2	PPARGC1A
PITX2	ADIPOQ
PITX2	CHRNE
PITX2	MEOX2
PITX2	BMI1
EPM2A	EPHA7
EPM2A	TDG
EPM2A	TAF1
EPM2A	YES1
EPM2A	DDR2
TGFA	CD28
TGFA	FGF6
TGFA	ALOX5
TGFA	IGHV3-7
TGFA	SGIP1
ZNF329	CARD10
ZNF329	MEOX2
PFDN1	MED31
PFDN1	NR2F1
PFDN1	UGGT1
PFDN1	AARSD1
VEGFA	HSD17B2
VEGFA	CD28
VEGFA	SLC47A2
VEGFA	FGF6
VEGFA	SP1
VEGFA	MYOF
VEGFA	ADIPOQ
VEGFA	RXRA
VEGFA	ALOX5
VEGFA	IGHV3-7
VEGFA	YES1
VEGFA	POR
VEGFA	REPIN1
VEGFA	ADA
SPTBN1	ADA
SPTBN1	YES1
SPTBN1	METTL14
SPTBN1	MYOF
SPTBN1	SET
SPTBN1	REPIN1
SPTBN1	MYO19
CS	CHAT
CS	AGPAT1
CS	METTL14
CS	SP1
CHAT	UBP1
CHAT	HIRIP3
CHAT	SLURP1
CHAT	SP1
CHAT	AGPAT1
CHAT	REPIN1
KRT2	KRT1
KRT2	SELENBP1
KRT2	KRT37
KRT2	KRT5
KRT2	METTL14
KRT2	SLC47A2
HSD17B2	CHRNB4
HSD17B2	THRAP3
HSD17B2	CNOT1
HSD17B2	ADIPOQ
HSD17B2	SP1
HSD17B2	ABCG8
HSD17B2	PPARGC1A
ARRDC1-AS1	E2F1
ARRDC1-AS1	SP1
KRT6B	SEMA6C
KRT6B	APOA2
KRT6B	MYL4
KRT6B	CNOT1
KRT6B	KRT1
KRT6B	SLC47A2
KRT6B	METTL14
KRT6B	KRT5
KRT6B	THRAP3
KRT6B	KRT37
METTL14	KRT1
METTL14	THRAP3
METTL14	SET
METTL14	KRT5
RXRA	THRAP3
RXRA	CNOT1
RXRA	SP1
RXRA	ADIPOQ
RXRA	PPARGC1A
RXRA	BMI1
RXRA	MED26
RXRA	APOA2
RXRA	HIST1H2BI
RXRA	MED31
RXRA	CD28
RXRA	TDG
RXRA	MED16
RXRA	ABCG8
RXRA	NR2F1
RXRA	FGF6
F11R	REPIN1
F11R	UBP1
F11R	TMEM147
REPIN1	SSX2IP
REPIN1	KLF12
REPIN1	CHRNE
REPIN1	SET
REPIN1	MPPED2
REPIN1	AARSD1
REPIN1	E2F1
REPIN1	SGIP1
REPIN1	ZNF267
REPIN1	BMI1
KRT37	KRT75
KRT37	KRT1
KRT37	KRT5
KRT1	MYL4
KRT1	SLC47A2
KRT1	THRAP3
KRT1	KRT5
KRT1	SELENBP1
KRT1	APOA2
KRT1	CNOT1
KRT1	AGPAT1
KRT1	SET
KRT1	SEMA6C
