#tail	head
NME2	CDK20
NME2	G6PC
NME2	TBXA2R
NME2	SLC25A18
NME2	SLC7A11
NME2	AK5
NME2	MTHFD1L
NME2	SLC1A1
NME2	ADPRM
NME2	NADK
SRP68	SRP19
SRP68	SOX2
SRP68	RBM28
SRP68	RPL19
SRP68	SP1
RPL19	HIST1H3D
RPL19	SRP19
RPL19	INS
RPL19	RBM28
RPL19	HIST1H2BM
UBR4	AMPD1
UBR4	SOX2
UBR4	AMPD2
UBR4	HIST1H3D
UBR4	INSL5
KIAA0040	FOXO4
KIAA0040	NOG
SLC1A1	ERGIC3
SLC1A1	FOXO4
SLC1A1	NKAIN1
SLC1A1	SLC25A18
SLC1A1	FXYD3
SLC1A1	SLC9A7
SLC1A1	SLC6A1
SLC1A1	SLC7A11
SLC1A1	NOG
MYH3	CACNA2D2
MYH3	P2RX5
MYH3	CHRNA7
BEST2	FXYD3
BEST2	TMEM128
BEST2	MFSD5
BEST2	INS
BEST2	NOG
BEST2	FOXO4
SLC35B4	ERGIC3
SLC35B4	TBXA2R
NCOA2	HIST1H4B
NCOA2	TBL1X
NCOA2	SP1
NCOA2	HIST1H4C
NCOA2	CYP19A1
NCOA2	TMEM121B
NCOA2	NKX2-1
NCOA2	SLC9A7
NCOA2	FXYD3
NCOA2	RGL1
SP1	MTHFD1L
SP1	CHRNA7
SP1	NKX2-1
SP1	HLTF
SP1	INS
SP1	ERGIC3
SP1	FOXO4
SP1	RGL1
SP1	CDC37
SP1	RCOR2
SP1	SLC9A7
SP1	AMPD1
SP1	CYP19A1
SP1	STRN3
SP1	NUP98
SP1	SOX2
SP1	MFSD5
SP1	MAPK6
SP1	SHPRH
SP1	ALS2
HIST1H4C	NKX2-1
HIST1H4C	LEF1
HIST1H4C	SHPRH
HIST1H4C	TBL1X
HIST1H4C	THBS1
HIST1H4C	EP400
HIST1H4C	HIST1H3D
HIST1H4C	HIST1H2BM
HIST1H4C	HDAC11
RBM28	HIST1H3D
RBM28	HIST1H2BM
RBM28	HDAC11
AMPD1	FBXO15
AMPD1	ADPRM
AMPD1	PARN
AMPD1	PDE12
AMPD1	GPD2
AMPD1	FBXO31
AMPD1	AK5
AMPD1	AMPD2
PARN	AMPD2
PARN	PYGB
PARN	INS
ERGIC3	FXYD3
ERGIC3	TMEM128
AMPD2	PDE12
AMPD2	GPD2
AMPD2	FBXO31
AMPD2	AK5
AMPD2	ADPRM
AMPD2	FBXO15
AMPD2	INS
CHRNA7	CACNA2D2
CHRNA7	PYGB
CHRNA7	MAPK6
CHRNA7	INS
CHRNA7	ITGB3
PSMB2	PYGB
PSMB2	CDK20
PSMB2	INS
PSMB2	MAPK6
FBXO31	LEF1
FBXO31	NOG
FBXO31	COMMD2
HLTF	LEF1
HLTF	SHPRH
TMEM121B	CYP19A1
TMEM121B	NOG
ITGB3	CD47
ITGB3	PTPRZ1
ITGB3	STRN3
ITGB3	PDGFRA
ITGB3	THBS1
INSL5	CACNA2D2
MTHFD1L	PYGB
MTHFD1L	AK5
MTHFD1L	PTPRZ1
MTHFD1L	INS
MTHFD1L	NOG
MTHFD1L	NKAIN1
MTHFD1L	G6PC
CACNA2D2	LEF1
CACNA2D2	FOXO4
