#tail	head
PITX2	NOTCH2NLA
PITX2	JUN
PITX2	PDZD3
PITX2	LIFR
PITX2	APP
PITX2	C1QTNF7
PITX2	SORBS2
PITX2	HNF4A
PITX2	NOG
PITX2	SUFU
PITX2	KITLG
PITX2	ARHGEF15
PITX2	STOML2
SLC22A9	INS
SLC22A9	SLC29A1
SLC22A9	PDZD3
SLC22A9	APP
SLC22A9	SACM1L
CLCF1	APP
CLCF1	LIFR
CLCF1	INS
VCPIP1	UFD1
VCPIP1	HNF4A
VCPIP1	CDH1
VCPIP1	UBXN8
VCPIP1	NRF1
SLC29A1	ADORA2A
SLC29A1	PTGIR
SLC29A1	NOG
SLC29A1	DNMT1
SLC29A1	ADORA2B
PHKA2	ATP11C
PHKA2	SACM1L
PHKA2	ALPG
FAM20A	APP
FAM20A	JUN
FAM20A	NOG
FAM20A	NUCB1
RECK	NOTCH2NLA
RECK	NOG
RECK	REL
RECK	INS
SACM1L	ARL13B
SACM1L	INS
SEMA7A	GNAI3
SEMA7A	INS
SEMA7A	SORBS2
SEMA7A	SERPINH1
SEMA7A	ALPG
SEMA7A	CNTN4
SEMA7A	STON2
SEMA7A	ARPC1A
SEMA7A	ATP11C
SEMA7A	GNAI2
SEMA7A	GDI2
SEMA7A	DBN1
SEMA7A	STOML2
SEMA7A	APP
SEMA7A	NUMB
SEMA7A	SRRT
SEMA7A	HNF4A
SEMA7A	CDH1
RBCK1	BACH1
RBCK1	MAP3K7
RBCK1	TRAF6
RBCK1	INS
RBCK1	APP
STON2	SERPINH1
STON2	APP
STON2	NUMB
STON2	GNAI2
STON2	NOG
STON2	SRRT
STON2	DBN1
STON2	SORBS2
STON2	JUN
STON2	CNTN4
STON2	CDH1
STON2	ARPC1A
STON2	GNAI3
STON2	GDI2
STON2	STOML2
STON2	ALPG
NRF1	INS
NRF1	ARHGEF15
NRF1	C22orf23
NRF1	DNMT1
NRF1	SUFU
NRF1	PQLC2
CNTN4	STOML2
CNTN4	SRRT
CNTN4	BAG3
CNTN4	NOG
CNTN4	SORBS2
CNTN4	SERPINH1
CNTN4	APP
ZNF318	HNF4A
ZNF318	CCDC8
ZNF318	IL17RA
TFDP1	UFD1
TFDP1	DNMT1
TFDP1	MAP3K7
TFDP1	UBE4B
NSG2	RRH
NSG2	HCFC1R1
NSG2	SERPINH1
GNAI2	SORBS2
GNAI2	ADORA2A
GNAI2	APP
GNAI2	CCDC8
GNAI2	STOML2
GNAI2	OXGR1
GNAI2	ADORA2B
GNAI2	SERPINH1
GNAI2	SRRT
GNAI2	INS
GNAI2	NOG
GNAI2	SMO
GNAI2	NOTCH2NLA
GNAI2	GNAI3
GNAI2	NUCB1
STOML2	HNF4A
STOML2	CDH1
STOML2	ARPC1A
STOML2	GNAI3
STOML2	SORBS2
STOML2	JUN
STOML2	ALPG
STOML2	APP
STOML2	NUMB
STOML2	CCDC8
STOML2	GDI2
STOML2	SRRT
STOML2	DBN1
STOML2	SERPINH1
SNAI2	APP
SNAI2	HNF4A
SNAI2	NOG
SNAI2	CDH1
SNAI2	KITLG
