#tail	head
CCDC12	PPIE
CCDC12	HNRNPL
NOTCH1	ESR1
NOTCH1	USP7
NOTCH1	ARL6IP5
NOTCH1	HIST1H3B
NOTCH1	MDM2
NOTCH1	CYP2E1
NOTCH1	ST3GAL6
NOTCH1	HIF1A
NOTCH1	CCT3
NOTCH1	SOD1
NOTCH1	TLE3
NOTCH1	CDH1
NOTCH1	PIN1
TANK	TNFAIP3
TANK	HTT
TANK	OGN
TANK	TUBA3C
TANK	TBK1
TANK	NF1
TANK	USP7
XPO1	MDM2
XPO1	CCDC8
XPO1	PSAT1
XPO1	SYAP1
XPO1	HIF1A
XPO1	FASN
XPO1	RWDD1
XPO1	TRADD
XPO1	TCP1
XPO1	MED12
XPO1	SEPT2
XPO1	TBK1
XPO1	EIF2B2
XPO1	TUBB
XPO1	DEPDC7
XPO1	RPS4X
XPO1	ESR1
TLE3	HNRNPL
TLE3	ESR1
TLE3	HIST1H3B
TLE3	PIN1
TLE3	HIF1A
TLE3	CREB1
MSX2	PRKCB
MSX2	PPIE
MSX2	CREB1
PSAT1	P4HA1
PSAT1	RPS4X
PSAT1	ARL6IP5
PSAT1	OGDH
PSAT1	FASN
PSAT1	TCP1
PSAT1	SLC1A2
PSAT1	HNRNPL
PSAT1	GAD2
RHOU	MYO9B
RHOU	DEPDC7
TAGLN	AQP9
TAGLN	STIP1
TAGLN	AGR2
TAGLN	SRPRB
CCDC8	RPS4X
CCDC8	SRPRB
CCDC8	FASN
CCDC8	NF1
CCDC8	MYO9B
CCDC8	SLC3A2
CCDC8	STIP1
CCDC8	TBK1
CCDC8	TAF6L
CCDC8	HSPD1
CCDC8	TCP1
CCDC8	EFTUD2
CCDC8	HNRNPL
CCDC8	CANX
CCDC8	CCT3
EIF2B2	CCT3
EIF2B2	MFSD4B
MRPL12	CANX
MRPL12	SOD1
MRPL12	HIST1H3B
MRPL12	SEPT2
MRPL12	EFTUD2
MRPL12	HSPD1
ESR1	FASN
ESR1	MED12
ESR1	HIF1A
ESR1	NF1
ESR1	IL12A
ESR1	CYP2E1
ESR1	GAD2
ESR1	SOD1
ESR1	SLC3A2
ESR1	TUBB
ESR1	TBK1
ESR1	SEPT2
ESR1	TRADD
ESR1	HSPD1
ESR1	SRPRB
ESR1	AQP9
ESR1	EFTUD2
ESR1	HIST1H3B
ESR1	CDH1
ESR1	CCT3
ESR1	RAC3
ESR1	AGR2
ESR1	STK11
ESR1	SYAP1
ESR1	RPS4X
ESR1	MDM2
RWDD1	RAC3
USP7	PPIE
USP7	EFTUD2
USP7	SEPT2
USP7	MDM2
USP7	ATP6V1D
USP7	HIF1A
CA3	SOD1
CA3	SLC26A7
CA3	AQP9
CA3	ATP6V1D
TUBB	RPS4X
TUBB	MDM2
TUBB	PPIE
TUBB	TRADD
TUBB	TBK1
TUBB	TUBG2
TUBB	EFTUD2
TUBB	TCP1
TUBB	HTT
TUBB	CDH1
TUBB	CCT3
TUBB	SEPT2
TUBB	HSPD1
NCEH1	CANX
NCEH1	ST3GAL6
SLC3A2	CANX
SLC3A2	EFTUD2
SLC3A2	SEPT2
SLC3A2	SLC1A2
SLC3A2	ARL6IP5
SLC3A2	OGDH
SLC3A2	FASN
SLC3A2	CDH1
HIST1H3B	CDH1
HIST1H3B	PRKCB
HIST1H3B	TAF6L
HIST1H3B	HNRNPL
HIST1H3B	CCDC86
HIST1H3B	PPIE
HIST1H3B	HSPD1
HIST1H3B	HTT
HIST1H3B	CREB1
IL27RA	IL12A
IL27RA	CANX
IL27RA	EBI3
IL27RA	PLD6
TAF6L	STIP1
TBK1	HNRNPL
TBK1	TCP1
TBK1	TRADD
TBK1	TNFAIP3
TBK1	CCT3
TBK1	TUBA3C
RAC3	MYO9B
RAC3	DEPDC7
STK11	THOP1
STK11	STIP1
STK11	HIF1A
STK11	MDM2
CDH1	HSPD1
CDH1	CYP2E1
CDH1	SYAP1
CDH1	MDM2
CDH1	FASN
CDH1	HIF1A
CDH1	SOD1
CDH1	SEPT2
STIP1	EFTUD2
STIP1	HTT
STIP1	SOD1
STIP1	AQP9
SOD1	MDM2
SOD1	PRKCB
SOD1	SPHK1
SOD1	CYP2E1
SOD1	PIN1
SOD1	HIF1A
SOD1	HTT
SOD1	HSPD1
HSPD1	PPIE
HSPD1	OGDH
HSPD1	SEPT2
HSPD1	CREB1
HSPD1	HTT
HSPD1	HIF1A
HSPD1	RPS4X
HSPD1	THOP1
HSPD1	EFTUD2
MFSD4B	TUBA3C
GAD2	ARL6IP5
GAD2	SLC1A2
GAD2	F10
PSMA1	AQP9
PSMA1	EFTUD2
PSMA1	AGR2
PSMA1	THOP1
PSMA1	HNRNPL
TRADD	PRKCB
TRADD	TNFAIP3
TRADD	CYP2E1
TRADD	TUBA3C
TRADD	OGN
SRPRB	RPS4X
SRPRB	HIF1A
SRPRB	CANX
SRPRB	EFTUD2
AQP9	ATP6V1D
AQP9	THOP1
AQP9	NF1
AQP9	IL12A
AQP9	SEPT2
AQP9	PLD6
OGN	ST3GAL6
OGN	NF1
THOP1	HNRNPL
IL12A	HIF1A
IL12A	CYP2E1
IL12A	EBI3
IL12A	CANX
NF1	PRKCB
NF1	SLC26A7
NF1	SNX10
NF1	CREB1
NF1	AGR2
SLC1A2	ADSSL1
TCP1	MED12
TCP1	CCT3
TCP1	EFTUD2
TCP1	RPS4X
TCP1	SPHK1
TCP1	TUBA3C
TCP1	TUBG2
TCP1	FASN
CCT3	EFTUD2
CCT3	MED12
CCT3	CANX
CCT3	TUBG2
CCT3	TUBA3C
CCT3	SEPT2
CCT3	SPHK1
OGDH	HNRNPL
OGDH	MDM2
OGDH	FASN
OGDH	P4HA1
OGDH	PLA2G4B
OGDH	CREB1
ADSSL1	HNRNPL
FASN	HIF1A
FASN	RPS4X
FASN	SEPT2
FASN	SPHK1
FASN	EFTUD2
HNRNPL	EFTUD2
HNRNPL	PPIE
HNRNPL	SEPT2
HNRNPL	HTT
HNRNPL	HIF1A
EBI3	CANX
PPIE	RPS4X
PPIE	EFTUD2
RPS4X	EFTUD2
MYO9B	HIF1A
PIN1	SYAP1
PIN1	EFTUD2
PIN1	PRKCB
PLD6	PLA2G4B
EFTUD2	CANX
EFTUD2	MDM2
EFTUD2	MED12
EFTUD2	HIF1A
EFTUD2	CCDC86
MDM2	CYP2E1
MDM2	HIF1A
MDM2	CANX
SPHK1	PRKCB
SPHK1	CYP2E1
SPHK1	F10
PRKCB	CYP2E1
CREB1	AGR2
CREB1	CCDC86
CREB1	HIF1A
CREB1	HTT
CANX	SYAP1
MED12	HIF1A
P4HA1	HIF1A
P4HA1	HTT
HTT	CYP2E1
CYP2E1	HIF1A
