#tail	head
ESCO2	GOLGA2
ESCO2	PHF21A
GNB4	PIK3CA
GNB4	CCT3
GNB4	DGKA
GNB4	MET
GNB4	IGLC7
GNB4	TRAF6
GNB4	IGLV1-44
GNB4	PAX4
GNB4	SH3KBP1
GNB4	NCK1
UPF3A	ABCB1
UPF3A	ALAD
UPF3A	RPL4
UPF3A	SLC11A2
CAPZA2	SH3KBP1
CAPZA2	DOCK7
CAPZA2	BICD1
CAPZA2	DLST
CAPZA2	GALNT1
CAPZA2	HIP1R
CAPZA2	SQSTM1
NCK1	PIK3CA
NCK1	MET
NCK1	EFS
NCK1	TRAF6
NCK1	TNK2
NCK1	IGLC7
NCK1	DGKA
NCK1	IGLV1-44
NCK1	SH3KBP1
SLC7A6	SLC7A8
SLC7A6	NME7
SLC7A6	MARS
SLC7A6	TPH2
HIP1R	NTRK1
HIP1R	CD81
HIP1R	TSG101
HIP1R	RTRAF
HIP1R	WARS
HIP1R	SH3KBP1
HIP1R	SYT8
FAM120B	CDK19
FAM120B	NCOA2
FAM120B	CREBBP
UGT1A1	HNF1A
UGT1A1	ABCB1
SAP30BP	ABCB1
SAP30BP	ALAD
SAP30BP	SLC11A2
SAP30BP	NTRK1
SAP30BP	GOLGA2
SQSTM1	PIK3CA
SQSTM1	BAG3
SQSTM1	CCT3
SQSTM1	ABCB1
SQSTM1	PDHA1
SQSTM1	ALAD
SQSTM1	PAX4
SQSTM1	SH3KBP1
SQSTM1	TRAF6
SQSTM1	TNK2
SQSTM1	HSPA4
SQSTM1	SLC11A2
SQSTM1	DLST
SQSTM1	TAX1BP1
SQSTM1	SYNCRIP
SQSTM1	NTRK1
SQSTM1	RPL4
CCT3	MARS
CCT3	NTRK1
CCT3	WARS
CCT3	SH3KBP1
CCT3	CD81
CCT3	MIPOL1
CCT3	CDK19
SH3KBP1	ABCB1
SH3KBP1	SLC11A2
SH3KBP1	RPL4
SH3KBP1	DLST
SH3KBP1	SYT8
SH3KBP1	PIK3CA
SH3KBP1	IGLC7
SH3KBP1	MET
SH3KBP1	DGKA
SH3KBP1	PDHA1
SH3KBP1	TRAF6
SH3KBP1	IGLV1-44
SH3KBP1	ALAD
SH3KBP1	TSG101
SH3KBP1	SYNCRIP
TPH2	PDHA1
TPH2	SLC7A8
PDHA1	ABCB1
PDHA1	NTRK1
PDHA1	GOLGA2
PDHA1	MARS
PDHA1	SIRT3
SOX3	PAX6
SOX3	HNF1A
SOX3	FOXN1
SOX3	CDKN2A
PIK3CA	IGLV1-44
PIK3CA	SYT8
PIK3CA	FOXN1
PIK3CA	NTRK1
PIK3CA	IGLC7
PIK3CA	MET
PIK3CA	TRAF6
SIRT3	HSPA4
SIRT3	TRIM43
SIRT3	CDKN2A
CRYZL1	PAX4
CRYZL1	CFAP52
SYNCRIP	SYT8
SYNCRIP	HNF1A
SYNCRIP	CD81
SYNCRIP	RTRAF
SYNCRIP	MTA1
SYNCRIP	PAX4
SYNCRIP	NTRK1
DSCAM	PAX4
DSCAM	PAX6
SLC11A2	ALAD
SLC11A2	MTA1
SLC11A2	TNK2
SLC11A2	TSG101
CDKN2A	MTA1
CDKN2A	COMMD1
CDKN2A	HSPA4
GALNT1	NME7
GALNT1	BICD1
UBAC2	BAG3
UBAC2	SOCS2
PBX2	RPL4
PBX2	HNF1A
NTRK1	RPL4
NTRK1	WARS
NTRK1	GOLGA2
NTRK1	ABCB1
NTRK1	SAE1
NTRK1	MARS
NTRK1	TRAF6
NTRK1	TNK2
NTRK1	BICD1
NTRK1	MTA1
NTRK1	DOCK7
NTRK1	TSG101
NTRK1	HSPA4
NTRK1	TAX1BP1
NTRK1	RTRAF
CDK19	NCOA2
CDK19	CREBBP
PHPT1	TRAF6
PHPT1	TRAPPC4
PAX4	HNF1A
PAX4	NME7
PAX4	HNF1B
PAX4	TRIM8
PAX4	CREBBP
PAX4	PHF21A
PAX4	PAX6
TRIM8	TNIP3
TRIM8	TRIM43
TSG101	HNF1A
TSG101	WARS
TSG101	ABCB1
TSG101	TAX1BP1
TSG101	ALAD
SH3BP5L	MIPOL1
SH3BP5L	BICD1
SH3BP5L	FOXN1
SOCS2	COMMD6
SOCS2	MET
SOCS2	COMMD1
TRAF6	CD81
TRAF6	IGLV1-44
TRAF6	MARS
TRAF6	SAE1
TRAF6	HSPA4
TRAF6	TAX1BP1
TRAF6	IGLC7
CFAP52	HSPA4
DOCK7	MET
DGKA	IGLC7
DGKA	IGLV1-44
DGKA	HNF1A
HNF1A	CREBBP
HNF1A	PHF21A
HNF1A	PAX6
HNF1A	HNF1B
HNF1A	SLC7A8
HNF1A	AES
MIPOL1	PAX6
TNIP3	TAX1BP1
NME7	MARS
NME7	GOLGA2
HSPA4	COMMD1
HSPA4	MET
HSPA4	BAG3
TRAPPC4	TRAPPC6A
TRAPPC4	GOLGA2
PHF21A	MTA1
PHF21A	HIST2H2BF
TAX1BP1	TRAPPC6A
TAX1BP1	DLST
COMMD6	COMMD1
GOLGA2	ZNF524
GOLGA2	MTA1
GOLGA2	TRAPPC6A
GOLGA2	AES
PAX6	TRAPPC6A
PAX6	SAE1
PAX6	CREBBP
CREBBP	AES
CREBBP	HNF1B
CREBBP	HIST2H2BF
CREBBP	NCOA2
CREBBP	MARS
CREBBP	ABCB1
BAG3	SAE1
BAG3	TNK2
BAG3	RTRAF
WARS	CD81
WARS	RTRAF
WARS	SLC7A8
TRAPPC6A	EFS
TRAPPC6A	FOXN1
IGLV1-44	MET
IGLV1-44	IGLC7
DLST	MTA1
DLST	MARS
ALAD	TNK2
ALAD	MTA1
FOXN1	AES
FOXN1	ZNF524
ZNF524	AES
MET	ABCB1
MET	IGLC7
MTA1	ABCB1
MTA1	HIST2H2BF
HIST2H2BF	CD81
TNK2	ABCB1
NCOA2	ABCB1
CD81	RPL4
