#tail	head
PAK1	FOXF2
PAK1	MYH11
PAK1	HIST1H4C
PAK1	LEF1
PAK1	HSP90AA1
PAK1	HIST2H4B
PAK1	HIST1H4D
PAK1	CREB1
PAK1	ARHGDIA
AHNAK	MEF2A
AHNAK	FOXF2
AHNAK	NXF1
AHNAK	LEF1
AHNAK	RPA2
AHNAK	ARHGDIA
ESRRA	NXF1
ESRRA	TPM3
ESRRA	AR
ESRRA	CACNA1E
ESRRA	SLC24A4
ESRRA	DNMT1
ESRRA	AHR
ESRRA	AKAP1
ESRRA	USP31
ESRRA	MYBPC2
ESRRA	CACNB3
ESRRA	POLR2A
ESRRA	HIST1H4C
VHL	HIST1H4D
VHL	PRKCH
VHL	HIST1H4C
VHL	PRMT3
VHL	MECP2
VHL	HSP90AA1
VHL	AR
VHL	HIST2H4B
VHL	CCT7
VHL	DNMT1
VHL	PPP2R2B
VHL	UBE2L3
VHL	PSMA6
VHL	POLR2A
PPWD1	WDR33
PPWD1	ACOX1
PPWD1	POLR2A
ASGR1	HSP90AA1
RAD9A	HSP90AA1
RAD9A	AR
RAD9A	SREBF1
RAD9A	RPA2
RAD9A	DNMT1
GTF2A1	PRMT3
GTF2A1	FOXF2
GTF2A1	AHR
GTF2A1	POLR2A
GTF2A1	PBX1
GTF2A1	ARC
GTF2A1	MYH11
GTF2A1	LEF1
GTF2A1	CREB1
CCT7	NXF1
CCT7	PTPA
CCT7	PPP2R2B
RNF114	SHARPIN
RNF114	UBE2L3
RNF114	HSP90AA1
PRKCA	PRKD1
PRKCA	CHRNA9
PRKCA	AHR
PRKCA	AKAP1
PRKCA	PRKCH
PRKCA	GRIN2A
PRKCA	DSP
PRKCA	HSP90AA1
PRKCA	AR
PRKCA	CACNA1E
PRKCA	ARHGDIA
PRKCA	NXF1
PRKCA	CACNB3
PRKCA	GRIN2B
HIST1H4C	PBX1
HIST1H4C	PRMT3
HIST1H4C	DNMT1
HIST1H4C	LEF1
HIST1H4C	PHF21A
HIST1H4C	MTF1
HIST1H4C	RPA2
HIST1H4C	RBL1
HIST1H4C	POLR2A
HIST1H4C	AR
HIST1H4C	NONO
HIST1H4C	RAPGEF2
HIST1H4C	MECP2
SHARPIN	PSMA6
CACNA1E	CACNB3
CACNA1E	PYGB
CACNA1E	PLN
CACNA1E	MYH11
CACNA1E	LEF1
CACNA1E	SLC24A4
CACNA1E	PRKCH
CACNA1E	MYBPC2
CACNA1E	MYH6
CACNA1E	TPM3
RPA2	POLR2A
RPA2	VSX1
RPA2	HIST1H4D
RPA2	DSP
RPA2	WDR33
RPA2	HIST2H4B
RPA2	MYH11
RPA2	NONO
RPA2	LEF1
GRIN2A	SLC24A4
GRIN2A	CACNB3
GRIN2A	SCNN1D
GRIN2A	GRIN2B
GRIN2A	MYBPC2
GRIN2A	PYGB
GRIN2A	MYH6
GRIN2A	MYH11
GRIN2A	PRKCH
