#tail	head
LYZ	APP
LYZ	HTN3
LYZ	ESR2
SYT1	FKBP1B
SYT1	HGS
SYT1	BTN2A2
SYT1	APP
SYT1	GRB2
APP	SLC17A5
APP	PTGS2
APP	TGFBR1
APP	HGS
APP	HTN3
APP	SIRT1
APP	ESR2
APP	GRB2
APP	ACSL4
APP	ACTR1B
APP	PIP4K2C
PIP4K2C	GRB2
PIP4K2C	HGS
PIP4K2C	ESR2
PIP4K2C	LCK
UGDH	GRB2
UGDH	SIRT1
UGDH	UGT2B28
UGDH	ESR2
ACSL4	PTGS2
ACSL4	SLC2A8
TGFBR1	FKBP1B
TGFBR1	ITGAV
TGFBR1	GDF15
HLA-DQB2	LCK
HLA-DQB2	ACTR1B
GALNT4	ALG13
GALNT4	UGT2B28
GALNT4	MPPE1
MPPE1	BTN2A2
RAB2A	ILF3
HGS	CCDC196
HGS	GRB2
HGS	ESR2
HGS	SLC2A8
NCL	ESR2
NCL	ILF3
NCL	LCK
NCL	GRB2
NCL	ITGAV
ALG13	UGT2B28
HTN3	PTGS2
HTN3	GRB2
HTN3	SIRT1
PTGS2	ITGAV
PTGS2	LCK
PTGS2	ESR2
PTGS2	GDF15
PTGS2	SIRT1
ESR2	ITGAV
ESR2	LCK
ESR2	GRB2
ESR2	PRPH
GDF15	FKBP1B
PRPH	KRT20
PRPH	ILF3
GRB2	LCK
GRB2	SLC2A8
GRB2	ILF3
LCK	ITGAV
KRT20	CCDC196
