#tail	head
LASP1	PAX4
LASP1	KRTAP3-2
LASP1	SEMA7A
LASP1	CANX
KRTAP3-2	ADAMTSL3
RAC2	MYC
RAC2	CYFIP2
RAC2	CDC42
RAC2	IGKV1D-16
RAC2	BRK1
RAC2	TRIP10
RAC2	SRGAP1
PIK3R5	IGKV1D-16
PIK3R5	BRK1
PIK3R5	TRIP10
PIK3R5	CYFIP2
TCTN1	CANX
TCTN1	RCN2
TCTN1	CLCC1
CLCC1	CANX
CLCC1	SEMA7A
CLCC1	CUL3
TRIP10	MYC
TRIP10	CDC42
TRIP10	AP1B1
SRGAP1	CDC42
SRGAP1	CD9
CDC42	CYFIP2
CD9	CANX
RCN2	CUL3
CYFIP2	IGKV1D-16
CYFIP2	PAX4
CYFIP2	BRK1
PAX4	SEMA7A
PAX4	AP1B1
AP1B1	CUL3
AP1B1	SEMA7A
CANX	MYC
CANX	CUL3
MYC	SEMA7A
MYC	ADAMTS20
POFUT2	ADAMTSL3
POFUT2	ADAMTS20
IGKV1D-16	BRK1
