#tail	head
SLC1A7	QARS
SLC1A7	PPFIA1
STAT1	HNRNPK
STAT1	PRKAA2
STAT1	CTNNBL1
STAT1	CAND1
STAT1	ZNF582
STAT1	SF3B4
SUGP1	PPWD1
SUGP1	HNRNPK
SUGP1	WBP11
SUGP1	PRPF8
SUGP1	CTNNBL1
SUGP1	SF3B4
SUGP1	SNRPD3
TRPC5	PPFIA1
TRPC5	TPM2
SF3B4	SNRPD3
SF3B4	CAND1
SF3B4	PPWD1
SF3B4	WBP11
SF3B4	QARS
SF3B4	HNRNPK
SF3B4	PRPF8
SF3B4	CTNNBL1
PPWD1	SNRPD3
PPWD1	WBP11
PPWD1	HNRNPK
PPWD1	PRPF8
PPWD1	CTNNBL1
WBP11	PRPF8
WBP11	SNRPD3
WBP11	STK17B
WBP11	HNRNPK
WBP11	CTNNBL1
PRPF8	HNRNPK
PRPF8	SNRPD3
PRPF8	CTNNBL1
TPM2	STK17B
QARS	PRKAA2
CAND1	HNRNPK
CAND1	TFDP1
CAND1	SNRPD3
SNRPD3	HNRNPK
SNRPD3	CTNNBL1
SMC6	TFDP1
HNRNPK	CTNNBL1
