#tail	head
SEC24C	CDH1
SEC24C	HNRNPA1
SEC24C	CAPZA1
SEC24C	GNAI2
SEC24C	ACAT1
SEC24C	MAZ
SEC24C	ALPI
GNAI2	HNRNPA1
GNAI2	MTHFD1
GNAI2	PDE11A
GNAI2	AK1
STAT4	CAPZA1
STAT4	NUDT4
CDH1	POF1B
CDH1	CAPZA1
FECH	PPOX
ACSL3	ALPI
ACSL3	OLAH
ACSL3	ACAT1
ACSL3	HADH
ACSL3	AK1
ACSL3	MTHFD1
ACSL3	PDE11A
ASPA	MTHFD1L
ASPA	MTHFD1
ASPA	CES3
HADH	MTHFD1
HADH	ACAT1
HADH	FKBP2
HADH	OLAH
SMAD1	HNRNPA1
SMAD1	SKIDA1
SMAD1	BMP3
POF1B	HNRNPA1
ALPI	MAZ
ALPI	MTHFD1
ALPI	CES3
ALPI	MTHFD1L
MAZ	FKBP2
MAZ	PPOX
MAZ	PDE11A
MAZ	SKIDA1
NUDT4	MTHFD1L
NUDT4	MTHFD1
MTHFD1	AK1
MTHFD1	MTHFD1L
CES3	OLAH
MTHFD1L	AK1
ACAT1	OLAH
PDE11A	AK1
FKBP2	BMP3
