#tail	head
SIPA1L2	RPGRIP1L
SIPA1L2	NOG
ACTB	NIPSNAP2
ACTB	INO80B
ACTB	RAB1A
ACTB	EIF5A
ACTB	ATP6V0D1
ACTB	PLEKHG6
ACTB	HIST1H2BF
ACTB	GABARAP
ACTB	KPNB1
ACTB	KAT5
ACTB	SET
ACTB	CORO1B
ACTB	HIST1H2BC
ACTB	HIST2H4A
CCDC155	TMEM199
CCDC155	DERL1
SLC24A5	PYGM
SLC24A5	ATP6V0D1
NOG	PYGM
NOG	AHR
NOG	PLEKHG6
NOG	EIF5A
NOG	ALAD
NOG	ATP6V0D1
NOG	EPPK1
GABARAP	HIST2H4A
GABARAP	NIPSNAP2
GABARAP	EIF5A
EPPK1	RPGRIP1L
EPPK1	CORO1B
ATP6V0D1	SET
ATP6V0D1	PYGM
ATP6V0D1	TMEM199
KAT5	HIST2H4A
KAT5	INO80B
KAT5	HIST1H2BC
KAT5	HIST1H2BF
HIST1H2BC	KPNB1
HIST1H2BC	HIST2H4A
EIF5A	HIST2H4A
EIF5A	RAB1A
RAB1A	ALAD
RAB1A	HIST2H4A
KPNB1	SET
KPNB1	HIST1H2BF
KPNB1	DERL1
KPNB1	AHR
ALAD	DERL1
INO80B	HIST2H4A
HIST2H4A	DERL1
HIST2H4A	SET
HIST2H4A	HIST1H2BF
PYGM	NIPSNAP2
SET	CORO1B
SET	AHR
SET	NIPSNAP2
HIST1H2BF	AHR
