#tail	head
STK11	TNFRSF1A
STK11	H2AFX
STK11	BCAS3
STK11	XPA
STK11	FOXO3
STK11	ATM
REPIN1	EGR1
REPIN1	SUPT5H
REPIN1	EPOR
REPIN1	BCAS3
REPIN1	MED13
POLR2C	CCNK
POLR2C	SUPT5H
POLR2C	H2AFX
POLR2C	XPA
POLR2C	MED28
POLR2C	POLR2L
POLR2C	ATM
ATM	BCAS3
ATM	MLH3
ATM	MAP3K7
ATM	CCNK
ATM	SEC61B
ATM	SUPT5H
ATM	H2AFX
ATM	XPA
ATM	FOXO3
ATM	POLR2L
H2AFX	XPA
H2AFX	SPI1
H2AFX	EED
H2AFX	FOXO3
H2AFX	COPG1
H2AFX	POLR2L
H2AFX	SUPT5H
AATK	SSR4
AATK	DUPD1
SSR4	TNFRSF1A
SSR4	CDH2
SSR4	SEC61B
DUPD1	TIE1
CANX	COPG1
CANX	SEC61B
CANX	EHBP1
CANX	TNFRSF1A
COPG1	HIF1AN
COPG1	COG5
EPOR	IL13RA2
EPOR	PTPRC
CCNK	POLR2L
CCNK	SUPT5H
CDH2	SUPT5H
CDH2	PTPRC
CDH2	EGR1
DCAF6	BMPR1B
DCAF6	SUPT5H
DCAF6	TRIM63
CLPX	HIF1AN
CLPX	SUPT5H
CLPX	FOXO3
HIF1AN	POLR2L
HIF1AN	SEC61B
HIF1AN	MAP3K7
CPLX2	PCBD1
CPLX2	PDX1
SEC61B	MLH3
SEC61B	EED
PIAS1	TRIM63
PIAS1	XPA
ZNF195	IL13RA2
ZNF195	PCBD1
MED28	MED13
MED28	POLR2L
FOXO3	TRIM63
FOXO3	PDX1
FOXO3	POLR2L
EED	TNFRSF1A
EED	EGR1
XPA	POLR2L
XPA	MLH3
XPA	TNFRSF1A
SUPT5H	PCBD1
SUPT5H	POLR2L
BMPR1B	TLL2
BMPR1B	MAP3K7
TRIM63	SPI1
EGR1	EHBP1
EGR1	MAP3K7
PDX1	MED13
SPI1	TIE1
TNFRSF1A	MAP3K7
MAP3K7	TLL2
TIE1	PTPRC
