#tail	head
STAT3	CDK4
STAT3	RPS6KB2
STAT3	MNDA
STAT3	ACVR1B
MARK3	TLN1
SEZ6	NOG
ALDH1L1	HSD17B10
FBXO6	OS9
FBXO6	YBX1
FBXO6	FOXRED2
FBXO6	UBE2N
RPS19	MAGOH
RPS19	RPL24
CENPE	E2F1
PRDX2	METTL3
PRDX2	SGSH
PRDX2	SULT1E1
PRDX2	HINT1
CYP2C9	HSD3B2
CD247	COMT
CD247	ETS2
CD247	PTPN3
CD247	GNAO1
PFKL	SFPQ
PFKL	NDUFA4
CEP78	ALMS1
CEP250	SDCCAG8
CEP250	ANKIB1
CEBPA	PAK1IP1
PAX6	GLRA1
PAX6	PDE4C
SLC30A2	SERPINA4
MRPL2	YBX1
MRPL2	MRPL55
SNCA	PTK2
VASP	ACTB
EPX	PCYOX1
HIST1H4D	PHF1
HIST1H4D	TNK2
HIST1H4D	HOXA9
HIST1H4D	KDM6A
TMEM86A	OR1D4
ETV7	PTPN6
THTPA	PHKG1
DZIP3	HIST1H2AB
MTHFD2L	DHPS
FXYD7	FABP4
TLR3	SIGLEC11
XPNPEP1	ATP6V1A
DSTN	SRF
SLC8A3	NOG
SLC8A3	SCN4A
SLC8A3	VDAC1
PRKCSH	E2F1
CNN3	STOML2
BRCA1	CREBBP
BRCA1	RPS7
BRCA1	DDX23
BRCA1	FBXO44
BRCA1	RPL30
BRCA1	CAND1
BRCA1	YWHAZ
GFER	CDK4
HNRNPUL1	NEK4
HNRNPUL1	POLR2D
HAGH	APP
HADHB	SNW1
HADHB	KCNA6
HADHB	SHKBP1
HIST2H3A	RERE
TRIM25	COMTD1
TRIM25	POLR1D
TRIM25	GTPBP6
TRIM25	HIST1H2AG
TRIM25	PITPNM1
TRIM25	RAB13
TRIM25	BLMH
EPCAM	STON2
DPF3	TAF1
CUL4B	PIK3CA
ESR1	MAPRE1
ESR1	APP
ESR1	GAPDH
ESR1	ABCC3
ESR1	MT-ATP6
ESR1	SMARCD3
ESR1	GNL3
ESR1	SLC35F6
ESR1	MRPS2
MAPRE1	CKAP5
MAPRE1	CEP57
MAPRE1	HSPA5
HSP90B1	EBP
HSP90B1	CRELD2
ACSM1	CPT1A
GADD45G	SH3GLB2
U2AF2	FTSJ1
U2AF2	NCBP2
U2AF2	CTNNB1
TP53RK	RANGAP1
RXRA	CTNNB1
BEND7	NOG
SLBP	EPS15
SQSTM1	JUN
SQSTM1	COPS4
SQSTM1	OAS1
SQSTM1	RARA
SQSTM1	PSMD3
COPS4	SYT1
CD3D	PTK2
IGHV1-46	IGLV1-44
IGHV1-46	FGF19
FLOT2	PTK2
FLOT2	CBX1
FLOT2	ESR2
CDC34	RANGAP1
CDC34	RNF115
PKM	SLC36A1
MYCN	GJA1
HOXA9	TBL1X
HOXA9	ASXL1
IL13RA1	IL2RG
GRIN2D	SLC5A1
GRIN2D	SYT1
SPTLC2	ACAA2
PLK4	CETN2
NOG	IRF7
NOG	ALDH2
NOG	APOE
NOG	C21orf58
NOG	IRF1
NOG	PRMT1
NOG	SRCIN1
NOG	BST2
NOG	ASCL1
CDK4	PPP2R1A
SHKBP1	SEC24C
FXYD6	MYC
GLCE	ATP5F1B
MTA1	HIST1H2BF
NBN	MDC1
IGLV1-44	TEC
IGLV1-44	NTRK3
BTRC	COMT
HIST1H2BF	YWHAB
HIST1H2BF	KPNB1
HIST1H2BF	RARA
HIST1H2BF	NCOA3
MDC1	POLR2D
DLD	ASS1
DLD	PSMC6
DLD	ATIC
MUC5AC	GALNT11
NEK4	PRPF31
EME1	RAD51
DDX39B	HNRNPC
GLRX	MOXD1
MAZ	CHM
MAZ	SNX12
MAZ	DDX6
MAZ	LCE5A
MAZ	TEAD3
PPIL1	HNRNPK
CREBBP	EGLN3
CREBBP	HMGB2
CREBBP	KAT5
MRPL38	MRPS5
AGXT	CAD
AGXT	CYP1A2
AGXT	SPTLC1
CCT2	FKBP9
CCT2	MAPK6
MTREX	EXOSC2
MTREX	YWHAB
MAPKAPK3	EEF2
TMEM222	MOV10
PCDHGB1	CTNNB1
POLR2D	DCTN2
POLR2D	TIA1
POLR2D	HOXB3
STIM1	PTK2
STIM1	G3BP2
STIM1	APCS
CATSPER1	ANXA1
ACAA2	CPT1A
ACAA2	ATP1B1
PIK3R1	VDAC1
HDAC3	SPTAN1
CTNNB1	SLC25A3
HAUS8	NINL
RPS16	CKAP5
DDX49	RIOK1
IL10RA	PTPN6
IL10RA	SLC38A7
SLC18A3	STON2
ATP6V1A	ATP5F1B
ATP6V1A	ACTB
ATP6V1A	SHMT2
ATP6V1A	SFPQ
ATP6V1A	ESR2
SFPQ	PNN
TKT	AKR1B15
TKT	AKR1A1
TKT	OGA
TKT	MYC
FYN	PCDHGA10
FYN	EXTL3
FYN	EREG
FYN	PTPRR
FYN	VSX1
SBF1	ESR2
UGGT1	IKBKE
HNF1A	SUPT16H
HNF1A	SLC10A2
BRMS1	EP300
EDC3	SH3KBP1
MYL6B	NEFL
RAB43	ETS1
FAAH	CYP1A2
PPP2R1A	SPTAN1
PPP2R1A	PSMB1
PPP2R1A	RPSA
BCAR1	FXR2
IRF1	GNAO1
IRF1	ZADH2
TMEM216	UBE2G2
CHRNA10	SLURP1
SLC25A3	AAR2
SLC25A3	C1QBP
MED25	COMT
COPB2	DCTN2
AEBP2	KBTBD7
PLA2G2D	LCAT
DUSP6	FGFR1
CNBP	EIF6
NME7	PIGH
NME7	LNX1
NME7	GCLC
LCLAT1	BCKDHB
SH3KBP1	GTSE1
SH3KBP1	EREG
IL7	IL2RG
IL7	IL6R
RBMS3	MEF2A
SF3A3	SNRPD2
SF3A3	NCBP2
GPC1	CLDN3
FARP1	RPN1
EP300	HIST1H3F
EP300	ACTB
EP300	ASXL2
EP300	ZNF609
EP300	NCOA6
EP300	HIST1H2AC
EP300	DDX21
EP300	SREBF2
MBD1	SHMT2
TBCE	OGA
MTHFD1L	CDC25A
PTPN2	G3BP1
G3BP1	APP
SNRNP70	RCN1
SNRNP70	HNRNPK
SNRNP70	APP
SNRNP70	DDX6
SNRNP70	SRSF10
IL1A	SERPINA4
EEF2	SEC13
MRPS5	MRPL17
TIMP3	E2F1
SPTAN1	RPSA
SPTAN1	RFC4
TLN1	TRPV2
IL3	PTPN6
IL3	PTK2
ERLEC1	IHH
MRPS10	PTCD3
CBX1	DNMT3B
IFI16	CDC42
PFKM	NME6
CUL3	SEC23B
CUL3	ESR2
CUL3	DDX21
CUL3	PYCR2
GJC1	GTF2A1
GTF3C5	POLR2E
EMP2	RPN1
ATP6V0E1	SLC34A1
ATP6V0E1	SLC24A2
RFC4	SRRT
RFC4	XPA
RFC4	USP10
RFC4	RPN1
GLYATL1	ALDH3B2
LARS	MTR
LARS	GFPT1
SLC4A4	SLC5A1
PIM1	MYC
PIGH	PIGC
HDAC8	SLC39A6
RPRD1B	PSMC6
ITGA11	ITGA3
AREG	CDC42
TFCP2	TRAPPC12
TFCP2	ESR2
DUSP26	ERBB2
DUSP26	ABL1
KRT6A	APOE
PPP2CA	CKAP5
DLL1	GRM5
PEPD	OGA
GAPDH	S100A6
GAPDH	AASS
GAPDH	PTK2
GAPDH	HIST1H2AE
ASXL1	AR
SYT2	VAMP4
ACSM6	ALDH2
MINOS1	MOV10
CHRNA2	TNNC1
METTL3	RUVBL1
DNAJA2	SEC13
DNAJA2	METTL23
BRICD5	CD69
TMEM187	NKX2-1
PI4K2A	PIK3C2A
UPF1	YBX1
RPS7	CAND1
ACLY	SEC13
ALDH2	NDUFA9
ALDH2	DHPS
ALDH2	NDUFA3
SRRT	RARA
SRRT	DHPS
SRRT	POLR2L
SRRT	DNAJA1
SRRT	PRMT1
PSMD3	HSD17B10
NDST1	EXT2
ERLIN1	E2F1
DHRS9	DECR1
GRK5	SIN3A
NUFIP1	ESR2
EIF3L	RIOK1
RELA	SPRY1
RELA	PYCR2
RELA	NFKB1
HLA-DPB1	SEC13
CPT1A	ACADM
IL3RA	CSF2RA
RBP1	DHPS
SEC13	PIK3C2A
SEC13	PSMC6
PIK3R3	EREG
PIK3R3	HNF4A
IGF2	CGB8
PPARG	SREBF2
SIPA1L3	ESR2
PPIH	MAGOH
WIPF2	PTK2
HIST1H2AC	E2F1
ITGB7	ETS2
SLC24A4	RYR3
FGFR3	PDGFRB
CATSPERD	ACTA2
MTX2	IKBKE
SP1	PTPN6
SP1	RABGGTA
SP1	NCBP2
SP1	VPS16
SP1	CGB5
MYO1B	SNW1
RPS9	ACTA2
SEC23B	PIK3C2A
SEC23B	HSPA5
SEC23B	MYO18A
SEC23B	GJA1
SEC23B	OAS1
H1F0	TCF3
NCOA6	HIST1H4B
APOE	STOML2
SLC7A3	JUN
CAD	DNAJA1
NOL12	SF3B3
KLHL20	CKAP5
CD3EAP	JUN
CEP57	TUBB4A
IKBKG	CDC37
SLC38A4	NME6
PCNA	TAF1
INIP	APP
GLYR1	ESR2
ACTB	MAOA
ACTB	SMARCB1
ACTB	CAND1
MTUS2	NEFL
MTUS2	KAT5
MTUS2	CDC20B
MTUS2	SNX9
STAM	EREG
OGDHL	HIBCH
GINM1	TFIP11
KAT5	YEATS4
KAT5	POLR2E
NBEAL2	TUBB4A
NEFL	SLC5A10
E2F1	CENPB
E2F1	NRGN
EIF3C	RPSA
EIF3C	EIF2S2
IL18	CSF2RA
ATP5F1B	FDX1
GNL2	CAND1
LNX1	MSC
LPXN	PSTPIP2
CAND1	C1QBP
CAND1	ESR2
CAND1	HIST4H4
TMEM214	PTPRN
PTPN6	SIGLEC9
PTPN6	ABL1
RBM15	RPA2
PRMT1	HIST1H2AB
PRMT1	JUN
DMD	RYR1
DMD	HNF4A
CSF2RA	YWHAZ
DNAJA1	SNW1
SAP30L	TCF3
MLF1	NMT1
UBE2E1	HERC6
FGFR1	FGF19
SMOX	DHPS
MYO19	CAVIN1
PPP2R5B	JUN
CPNE7	HTR3B
RASD2	ETS2
VPS53	YEATS4
SLC31A2	PFN1
HIST1H4B	CENPC
HIST1H4B	MYH8
HIST1H4B	NKX2-1
HIST1H4B	HIST1H2AG
PICALM	MYO18A
PICALM	SOX2
PTK2	PTPRR
ITGAL	RABGGTA
SCO1	SRSF1
TENT5D	APP
AATK	PTPN11
HAUS1	HSPA1A
FBXW12	COMMD4
ERBB3	IGKV1D-33
HNRNPK	SRSF1
HNRNPK	PNN
HIST1H2AB	H3F3A
HIST1H2AB	ESR2
TEX10	TAF1
RUVBL1	HINT1
ARPC2	ETS2
ARPC2	SNW1
SMARCB1	RPN1
CKAP5	RANGAP1
CKAP5	BUB3
MSX1	HNRNPA1
TFIP11	TCF3
TCF3	TTC28
CGB5	GATA2
EXT2	HSPG2
EXT2	RBFA
MCM3	RIOK1
FAM114A2	MAPK1
YBX1	SNW1
ETS2	CRX
ETS2	RPL41
RIOK1	TCP1
UBA52	APC
UBA52	RPL41
UBA52	FGF19
UBA52	UBE2G2
ACSBG1	APP
ALDH3B2	CROT
HSD17B4	ESR2
SUPT4H1	MOV10
SUPT4H1	WDR61
PACSIN3	JUN
NCKAP1	IL2RG
POLR2L	DDX21
HTR5A	IRF7
SRPK2	OGA
DCUN1D3	COPS3
DCUN1D3	RPN1
CDC42	USP7
CDC42	TNK2
NCBP2	RPSA
FLOT1	RPSA
GOLGA4	APP
SNRPB	HNRNPA1
TCERG1	LSM3
HIST1H2AE	H3F3A
HIST1H2AE	SUPT16H
KPNB1	SEH1L
QSER1	OGA
EVC	EFCAB7
HSPA5	HNF4A
HSPA5	SHMT2
HERC6	UBE2Q1
OSGEP	MYC
COMT	CD28
KRTAP10-8	KRTAP5-2
SLC45A4	SREBF2
DDX21	SUPT16H
PHKB	PTPRK
PRDX6	ESR2
EIF6	RPL13
AR	ALPP
BCHE	PTPRK
HNRNPC	HNRNPA3
SERPINH1	GJA1
EBF2	SNCB
SLC34A2	APP
HSD17B10	APP
TAC1	AGTR2
MS4A2	IGLV1-40
FGF19	DHCR7
MOV10	SRSF1
MOV10	NT5C3B
FAM120C	ESR2
TNIK	BUB3
SLC34A1	HNF4A
VAMP4	COG1
OAS1	RPN1
SNW1	DDX23
SNW1	RPN1
SNW1	PSMC6
YWHAB	CDC37
HPRT1	APP
MYC	MYO18A
MYC	KLF4
IFNGR1	HNF4A
ZC3H3	MZT1
HIST1H2BL	ZNF217
SRSF1	OGA
ZNF217	ESR2
CD3E	HNF4A
ETS1	PTPN11
HNF4A	ERBB2
HNF4A	FGF10
APP	SLC5A1
APP	PAPSS2
HNRNPA1	ACTA2
HNRNPA1	MRPL37
SMARCC2	CHAF1A
NFYA	SHMT2
KBTBD7	DCUN1D2
KBTBD7	COMMD5
SEC24C	RPSA
EMP1	JUN
S100A4	ZIC1
CCDC6	PDE4DIP
ESR2	RPSA
ESR2	MRPL19
ESR2	NEPRO
GLO1	IKBKE
G0S2	NCOA2
GRM5	GNAI1
MYO18A	CLINT1
MYO18A	RCN1
MYO18A	CDC37
RPSA	EIF3A
SRF	OSM
USP7	PLEKHG5
USP7	STON2
RDH12	AASS
SLC38A1	SLC5A1
