#tail	head
PTK2	GNAS
PTK2	FAS
PTK2	SPTB
PTK2	SULT1E1
PTK2	KL
PTK2	RBP1
PTK2	GIP
PTK2	IL1B
PTK2	SORBS1
PTK2	IQGAP1
PTK2	CPD
PTK2	PTH
SPTB	E2F1
SPTB	TCF3
SPTB	SULT1E1
TNFRSF14	TAF1
TNFRSF14	DRAP1
P2RX7	PANX1
P2RX7	SORBS1
P2RX7	TNNI1
P2RX7	IL1B
P2RX7	PTH
TSG101	IQGAP1
TSG101	ONECUT1
TSG101	TAF1
CDK8	HIVEP1
CDK8	E2F1
CDK8	TAF1
CDK8	PCSK4
CDK8	DRAP1
ONECUT1	E2F1
ONECUT1	TCF3
ONECUT1	FAS
PANX1	GNAS
PANX1	APOA2
PANX1	BCL2L2
CPD	IL1B
CPD	TCF3
SORBS1	TCF3
SORBS1	SULT1E1
SORBS1	GNAS
SORBS1	IQGAP1
SORBS1	HNRNPA3
SULT1E1	FAS
SULT1E1	KL
SULT1E1	IL1B
RBP1	HIST1H4E
RBP1	TCF3
RBP1	APOD
HNRNPA3	HIST1H4E
HNRNPA3	CLK1
HNRNPA3	E2F1
CLK1	HIVEP1
APOA2	IL1B
APOA2	TCF3
APOA2	APOD
IL1B	HIST1H4E
IL1B	PTH
IL1B	KL
FAS	TP53BP2
E2F1	TCF3
E2F1	PCSK4
BCL2L2	TP53BP2
HIVEP1	TCF3
KL	PTH
PTH	GNAS
TAF1	HIST1H4E
TNNI1	TCF3
GIP	GNAS
IQGAP1	TCF3
IQGAP1	GNAS
DRAP1	PCSK4
GNAS	TCF3
PCSK4	TCF3
