#tail	head
FGFR1	ACP1
FGFR1	IFNG
FGFR1	KDR
FGFR1	IL1B
FGFR1	PTPRM
FGFR1	NCOA3
FGFR1	MAPK14
KNL1	HIST2H2AC
KNL1	EGLN3
KNL1	CENPE
KNL1	DYNC1LI1
CWC27	HNRNPD
CWC27	DDX5
CWC27	CSTF2
CWC27	SF3A3
UBC	PTBP1
UBC	TOM1L1
UBC	UBE2A
UBC	FAAP100
UBC	AMPD2
UBC	AKTIP
UBC	TRIM50
UBC	YWHAZ
UBC	COPB1
UBC	PRAME
UBC	HIST1H2BO
GNAQ	TAC1
GNAQ	KDR
GNAQ	NAPA
GNAQ	MAPK14
GNAQ	SSR1
MATK	PTPRM
MATK	PTPRA
SNRPA	TIAL1
SNRPA	CD2BP2
SNRPA	NOG
SNRPA	IGF2BP3
ZBTB14	KDM1A
ZBTB14	ZIC2
ZBTB14	NF2
ZBTB14	TNPO2
ZBTB14	CACNG7
NFE2L1	CACNB1
NFE2L1	SSR1
RBM15	SF3A3
MYCN	GJA1
MYCN	CELF1
C17orf102	MYB
APBA3	PIP4K2C
COG5	VPS53
CIAO1	SMN1
CIAO1	SSR1
CIAO1	CDKAL1
CIAO1	TRIM28
CIAO1	SLBP
CIAO1	SERPINH1
UBE2A	TRIM50
UBE2A	NF2
UBE2A	TOMM40
UBE2A	GJA1
UBE2A	TPM4
UBE2A	TP53
SERPINH1	TP53
SERPINH1	ANXA2
SERPINH1	SMN1
SERPINH1	NOG
SERPINH1	TMEM43
SERPINH1	AIMP2
SERPINH1	PDHA1
SERPINH1	SSR1
SERPINH1	RPN1
SERPINH1	ACAA1
SERPINH1	GJA1
SERPINH1	HSD17B10
SERPINH1	VIM
SERPINH1	NUFIP2
SERPINH1	TOMM40
TMEM237	NOG
TMEM237	SRPRA
TMEM237	GRM2
C1GALT1	HSP90B1
E2F1	GMPS
E2F1	SRPRA
E2F1	HIST2H2AC
E2F1	NUFIP2
E2F1	SLBP
E2F1	ZEB1
E2F1	TRIM16
E2F1	BIRC2
E2F1	HSP90B1
E2F1	EEF1G
E2F1	SCO1
IGLV2-11	INPP5B
VPS53	NOG
FGD1	RHOJ
FGD1	RHOT1
HSD11B1	POMC
HSD11B1	IL1B
LRRK2	MTHFD2
LRRK2	TP53
LRRK2	VIM
LRRK2	ATP2A2
LRRK2	YWHAZ
LRRK2	EEF1G
LRRK2	PSMC6
CSGALNACT1	NCAN
RAB43	TP53
SSR1	DDX5
SSR1	CNP
SSR1	RRBP1
SSR1	MYH9
SSR1	RTF2
SSR1	TRIM28
SSR1	EGLN3
ITGA2B	NCAN
ITGA2B	TNC
ITGA2B	HIST2H2AC
ARHGEF17	TP53
ERCC4	APAF1
ERCC4	TP53
TPM4	NDUFB10
TPM4	TP53
TPM4	CATSPER1
TPM4	TMOD1
TPM4	SORBS1
TPM4	CACNB1
TPM4	MYH9
TPM4	CENPE
PTBP1	CSTF2
PTBP1	TRIM50
PTBP1	RRBP1
PTBP1	NAPA
PTBP1	AIMP2
TMOD1	RPN1
TMOD1	SMN1
TMOD1	SLBP
TMOD1	VIM
TMOD1	NOG
TMOD1	MYH9
TMOD1	MYL2
TMOD1	GRIN2D
TMOD1	CATSPER1
AMPD2	PPCS
AMPD2	AIMP2
AMPD2	LARS
NCOA3	MYH9
NCOA3	PTH
NCOA3	ANXA2
MYL2	PLGRKT
MYL2	CACNB1
MYL2	CATSPER1
MYL2	GRIN1
MYL2	MYL5
MYL2	TRIM16
MYL2	GRIN2D
TNNI1	GRIN1
TNNI1	CACNB1
TNNI1	VIM
PTH	ANXA2
PTH	IL1B
PTH	KDR
HSD11B2	POMC
HSD11B2	HSD17B6
HSD11B2	IL1B
SHH	GRM2
SHH	NOTUM
AIMP2	BIRC2
AIMP2	SLC1A7
AIMP2	KDR
AIMP2	PYCR3
AIMP2	TP53
AIMP2	RPN1
AIMP2	RRBP1
PTPRA	PTPRM
IGF2BP3	TRIM50
IGF2BP3	SF3A3
IGF2BP3	NOG
IGF2BP3	RRBP1
INTU	PSMC6
PRKCD	CATSPER1
PRKCD	CNP
PRKCD	PLSCR1
PRKCD	CNGA1
PRKCD	TP53
SF3A3	DDX5
PIP4K2C	NF2
PIP4K2C	KDR
PIP4K2C	IGLV3-1
PIP4K2C	HSD17B10
CACNB1	CNGA1
CACNB1	CACNG7
PPP2R5A	CENPE
MYCL	CATSPER1
MYCL	JAZF1
ACAA1	PYCR3
ACAA1	NOG
ACAA1	RPN1
ACAA1	SMN1
ACAA1	SLBP
TRIM50	NUFIP2
HSD17B6	NR3C2
HSD17B6	LDHA
KDM1A	HIST1H2BO
KDM1A	SMN1
KDM1A	HIST2H2AC
GRK6	NOG
GRK6	GRM2
GRK6	ZEB1
TXNDC9	EGLN3
TXNDC9	MPPED1
PPFIA1	NF2
PPFIA1	EGLN3
PPFIA1	SLC1A7
RBFOX2	PLEKHB1
RBFOX2	SMN1
RBFOX2	DDX5
RBFOX2	EGLN3
PRSS8	NAPA
PRSS8	SORBS1
CDC42	MECP2
CDC42	KDR
CDC42	NF2
CDC42	MAPK14
CDC42	INPP5B
CDC42	KAT6B
CDC42	YWHAZ
CDC42	LARS
CDC42	ANXA2
EGLN3	YWHAZ
EGLN3	NAB1
EGLN3	EGLN2
EGLN3	BIRC2
EGLN3	CD2BP2
EGLN3	PYCR3
EGLN3	LDHA
CSTF2	EEF1G
CSTF2	CD2BP2
CSTF2	HNRNPD
TIAL1	KRTAP8-1
TIAL1	TOMM40
SORBS1	ANXA2
SORBS1	EEF1G
SORBS1	MYL5
SORBS1	NAPA
SORBS1	CNGA1
SORBS1	DDX5
SORBS1	CNP
SORBS1	MAPK14
TRIM28	IFNG
TRIM28	NAPA
TRIM28	AMFR
TRIM28	HSD17B10
TRIM28	MYB
TRIM28	SLBP
TRIM28	TP53
SRPRA	COX14
PYCR3	GMPS
PYCR3	LARS
SHMT1	HACD1
SIRT6	PSMC6
SIRT6	PRAME
SIRT6	EEF1G
SMN1	CNP
SMN1	HIST2H2AC
SMN1	RRBP1
SMN1	HSP90B1
SMN1	TOMM40
SMN1	LDHA
SMN1	PSMD7
CNP	NAPA
CNP	ZDHHC17
IL1B	TP53
IL1B	TP73
IL1B	MT-CO3
IL1B	SIRT3
EEF1G	LARS
EEF1G	NAPA
PLSCR1	SCNM1
NAPA	PSMD7
NAPA	RPN1
