#tail	head
PCNX3	PCDHAC2
PCNX3	PTH1R
RNF7	COPS4
RNF7	CSNK2B
RNF7	TP53
RNF7	DCUN1D5
RNF7	CBFB
RNF7	UBB
RNF7	GHR
RNF7	COPS5
RNF7	ASB10
HIST1H4L	HIST1H3C
HIST1H4L	UTP15
HIST1H4L	CTNNB1
HIST1H4L	PRMT6
HIST1H4L	RIOK1
HIST1H4L	HIST1H3F
HIST1H4L	RPA1
HIST1H4L	KMT2E
HIST1H4L	HDAC5
HIST1H4L	SRSF1
HIST1H4L	CDK4
HIST1H4L	HIST1H2AD
HIST1H4L	HIST2H2BE
HIST1H4L	CBFB
HIST1H4L	TBL1XR1
HIST1H4L	CHD3
HIST1H4L	KMT2C
HIST1H4L	MBD3
HIST1H4L	COPS5
HIST1H4L	RRP1B
HIST1H4L	MAPK3
HIST1H4L	HIST1H2AI
HIST1H4L	L3MBTL1
HIST1H4L	POLR1E
HIST1H4L	SMN2
HIST1H4L	MRGBP
HIST1H4L	VCAM1
NF1	ATP2A3
NF1	KMT2E
NF1	VCAM1
NF1	SDC2
NF1	GHR
NF1	FOXO4
NF1	SREBF1
NF1	PPP2R5B
NF1	TARBP2
NF1	RAI14
NF1	PTH1R
NF1	FGF21
NF1	GBA2
CXCR4	FGF21
CXCR4	STAM
CXCR4	RYR1
RPS7	RPA1
RPS7	RPS24
RPS7	RPL28
RPS7	TP53
RPS7	HIST1H3C
RPS7	RPS3
RPS7	RPS27L
RPS7	HIST1H3F
RPS7	TSR1
RPS7	CEP76
RPS7	RSL1D1
RPS7	UBB
RPS7	RIOK1
RPS7	RPL23
RPS7	BRIX1
RPS7	CHD3
RPS7	SRRM2
RPS7	RBM28
RPS7	VCAM1
RPS7	RPL21
RPS7	COPS5
RPS7	UPF3B
RPS7	UTP15
RPS7	RRP1B
P4HA1	L3MBTL1
P4HA1	SMN2
P4HA1	COL4A5
ATP2A3	CHRNA9
ATP2A3	RYR1
ATP2A3	TFCP2
ATP2A3	IQCF1
DRD2	FGF21
DRD2	HBEGF
CBFB	CSNK2B
CBFB	PRMT6
CBFB	HIST1H2AD
CBFB	FOXO4
CBFB	MYOD1
CBFB	KMT2E
CBFB	HIST2H2BE
CBFB	CDK4
CBFB	TCF12
CBFB	HIST1H3C
CBFB	KMT2C
CBFB	CTNNB1
CBFB	MAPK3
CBFB	HIST1H3F
FIG4	MYOD1
FIG4	MTMR2
COL4A5	SDC2
COL4A5	SMN2
COL4A5	FOXO4
KLHL9	DCUN1D5
KLHL9	UBB
KLHL9	COPS5
KLHL9	COPS4
SREBF1	STX1A
SREBF1	MAPK3
SREBF1	TP53
SREBF1	GBA2
SREBF1	PLA2G16
SREBF1	UBB
SREBF1	TFAP4
SREBF1	REL
SREBF1	KMT2E
SREBF1	RPL28
SREBF1	ITPRIP
RPL28	UPF3B
RPL28	CHD3
RPL28	RBM28
RPL28	RPS3
RPL28	RPL21
RPL28	RIOK1
RPL28	API5
RPL28	COPS5
RPL28	RSL1D1
RPL28	RPS24
RPL28	AKAP11
RPL28	RPS27L
RPL28	CTNNB1
RPL28	VCAM1
RPL28	RRP1B
RPL28	RPL23
RPL28	ZNF644
RPL28	BRIX1
RPL28	TP53
REL	MBD3
REL	FOXO4
REL	PNKD
REL	THOC1
REL	POLR1E
