#tail	head
IGKV5-2	FGR
IGKV5-2	ERBB2
IGKV5-2	RASGRP1
IGKV5-2	DGKE
IGKV5-2	FGF7
IGKV5-2	LAT2
IGKV5-2	PIK3CB
MYO10	NOG
MYO10	PIK3CB
MYO10	HGS
DGKE	BLNK
DGKE	GNAQ
DGKE	IGKV3D-20
DGKE	PLCB3
PITX2	FEZF2
PITX2	FOXO1
PITX2	PDZRN4
PITX2	HOXB6
PITX2	NOG
PITX2	SPI1
PITX2	NYAP1
PITX2	AR
PITX2	TRAF4
PDZRN4	CAMTA1
PDZRN4	CRB1
PDZRN4	CTSL
GNAQ	RASGRP1
GNAQ	AR
PIK3CB	NOG
PIK3CB	BLNK
PIK3CB	ERBB2
PIK3CB	LAT2
PIK3CB	IGLV3-1
PIK3CB	FGF7
PIK3CB	UBC
PIK3CB	IGKV3D-20
PIK3CB	IGKV2D-30
IGKV3D-20	FGR
IGKV3D-20	ERBB2
IGKV3D-20	RASGRP1
IGKV3D-20	FGF7
NYAP1	AR
UBC	ERBB2
UBC	HIST1H2BF
UBC	SREBF1
UBC	FGF7
FOXO1	AR
FOXO1	ERBB2
FOXO1	SREBF1
FOXO1	NOG
EVA1C	AR
CXCR2	PTK2
CXCR2	NOG
CXCR2	P2RX3
CXCR2	FGF7
GSTO1	PTK2
CEBPA	ERBB2
CEBPA	SPI1
CEBPA	AR
CEBPA	PON2
CEBPA	HOXC4
CEBPA	PTK2
CEBPA	NUMA1
PARP2	HIST1H2BF
GSTM1	CYP3A43
GSTM1	PTK2
FEZF2	AR
FEZF2	SREBF1
IGKV2D-30	FGR
IGKV2D-30	FGF7
IGKV2D-30	ERBB2
IGKV2D-30	RASGRP1
RASGRP1	IGLV3-1
RASGRP1	FGR
RASGRP1	BLNK
RASGRP1	LAT2
LAT2	BLNK
LAT2	ERBB2
LAT2	IGLV3-1
LAT2	FGF7
SREBF1	NOG
SREBF1	PLCB3
SREBF1	HOXC4
SREBF1	BLNK
SREBF1	FGF7
PTK2	AR
PTK2	ERBB2
PTK2	NOG
CAMTA1	CRB1
CAMTA1	CTSL
HOXB6	AR
CDC73	HIST1H2BF
ACSS1	NOG
ACSS1	PON2
ERBB2	PON2
ERBB2	IGLV3-1
ERBB2	FGF7
NOG	STXBP1
NOG	AR
NOG	PRKACB
AR	BLNK
AR	FGR
AR	SPI1
CRB1	CTSL
PON2	CTSL
SPI1	STAP1
STXBP1	HGS
STXBP1	P2RX3
GTF2A2	BCAT2
FGF7	IGLV3-1
FGF7	BLNK
TRAF4	HGS
