#tail	head
TGFB1	ORM1
TGFB1	PPARA
TGFB1	HSD3B1
TGFB1	HELZ2
TGFB1	ADIPOQ
TGFB1	THBS2
TGFB1	CYP1A1
TGFB1	AKR1C1
TGFB1	HSF2
TGFB1	CDK2
TGFB1	CYP11A1
TGFB1	GATA3
FGF19	FGF5
FGF19	CYP1A1
ADIPOQ	HSF2
ADIPOQ	HELZ2
ADIPOQ	CDK2
ADIPOQ	MED26
ADIPOQ	PPARA
ADIPOQ	ORM1
ADIPOQ	CYP1A1
ADIPOQ	AKR1C1
TRIM59	RHOU
TRIM59	SNAP47
ORM1	CYP11A1
ORM1	HSD3B1
CDK2	CYP11A1
CDK2	HSD3B1
CDK2	GATA3
CDK2	UBE2N
CDK2	TRIM21
PPARA	CYP1A1
PPARA	CYP11A1
PPARA	HELZ2
PPARA	SNAP47
PPARA	AKR1C1
PPARA	THBS2
CYP1A1	HSD3B1
CYP1A1	CYP11A1
CYP1A1	AKR1C1
CYP1A1	CYP11B2
CYP1A1	HELZ2
H1FNT	MBLAC1
H1FNT	RNF217
UBE2N	RNF217
UBE2N	TRIM21
CYP11A1	HSD3B1
CYP11A1	CYP11B2
CYP11A1	AKR1C1
HSF2	FGF5
HELZ2	MED26
MED26	GATA3
CYP11B2	HSD3B1
ARHGAP9	RHOU
ARHGAP9	RAC3
STXBP5L	MBLAC1
RAC3	ARHGAP40
AKR1C1	HSD3B1
ARHGAP40	RHOU
