#tail	head
OCLN	SEPHS1
OCLN	SEMA7A
OCLN	SEC13
OCLN	PLSCR1
HSD17B10	HNF4A
HSD17B10	SNU13
HSD17B10	NOP58
HSD17B10	EEF1A1
HSD17B10	HIBCH
HSD17B10	HMGCS2
TLR4	ARHGEF2
TLR4	PPP4C
TLR4	TBK1
TLR4	NOS2
YARS2	HNF4A
YARS2	SEPHS1
YARS2	HNRNPK
SRSF11	CCAR1
SRSF11	CPSF3
SRSF11	HNRNPK
SRSF11	DDX3X
SRSF11	POLR2D
SRSF11	LSM7
SRSF11	PPM1G
SRSF11	PHF5A
SRSF11	SF3B1
SRSF11	EEF1A1
SRSF11	POLR2K
SRSF11	SNU13
TNIK	RPS14
VPS37C	SORBS2
VPS37C	PLSCR1
VPS37C	TFAP2D
HNF4A	PRG4
HNF4A	PLSCR1
HNF4A	CNFN
HNF4A	SF3B1
HNF4A	AR
HNF4A	BIN3
HNF4A	ARHGEF2
HNF4A	POLR2K
HNF4A	POLL
HNF4A	PHF5A
HNF4A	RPS14
HNF4A	SEMA7A
HNF4A	PNMA1
HMGCS2	DUOX2
PSPH	SLC30A3
PSPH	ERH
PSPH	GDPGP1
PPP4C	RPA3
PPP4C	EEF1A1
LSM12	NBEAL2
LSM12	IFI16
LSM12	HIBCH
YWHAQ	TUBA1A
YWHAQ	AR
YWHAQ	EEF1A1
YWHAQ	CALM2
YWHAQ	ARHGEF2
YWHAQ	CCAR1
YWHAQ	GCN1
YWHAQ	HNRNPK
YWHAQ	DDX3X
RPS14	IMP3
RPS14	EEF1A1
RPS14	NOP58
RPS14	EIF1B
RPS14	TUBA1A
RPS14	UTP20
RPS14	SNU13
DUOX2	GGCX
SEMA7A	AGO2
SEMA7A	SORBS2
SEMA7A	SEC13
SEMA7A	EEF1A1
SEMA7A	CPSF3
SEMA7A	HNRNPK
SEMA7A	AKAP2
SEMA7A	DDX3X
SEMA7A	HSP90AB1
SEMA7A	SEPHS1
TUBA1A	DDX3X
TUBA1A	HSP90AB1
TUBA1A	ATP6V1B2
TUBA1A	EEF1A1
TUBA1A	SNU13
TUBA1A	NOP58
PHF5A	SNU13
PHF5A	CCAR1
PHF5A	CPSF3
PHF5A	HIST1H3F
PHF5A	HNRNPK
PHF5A	POLR2K
PHF5A	AR
PHF5A	LSM7
PHF5A	SF3B1
SEPHS1	DDX3X
SEPHS1	GDPGP1
SEPHS1	AGO2
SEPHS1	SORBS2
SEPHS1	EIF1B
SEPHS1	AKAP2
SEPHS1	SEC13
SEPHS1	CPSF3
POLR2D	LSM7
POLR2D	AGO2
POLR2D	POLR2K
POLR2D	SF3B1
POLR2D	CCAR1
POLR2D	CPSF3
POLR2D	HIST1H3F
POLR2D	HNRNPK
POLR2D	SNU13
POLR2D	MED19
IFI16	SEC13
IFI16	PPM1G
IFI16	AGO2
IFI16	NOP58
IFI16	AR
IFI16	TBK1
IFI16	UTP20
ATP6V1B2	CKMT1B
ATP6V1B2	HSP90AB1
PRG4	AR
PRG4	F7
PRG4	GCN1
PRG4	SLA2
UTP20	NOP58
UTP20	IMP3
POLR2K	CCAR1
POLR2K	CPSF3
POLR2K	SNU13
POLR2K	HIST1H3F
POLR2K	HNRNPK
POLR2K	MED19
POLR2K	RPA3
POLR2K	LSM7
POLR2K	SF3B1
LSM7	HNRNPK
LSM7	PPM1G
LSM7	CCAR1
LSM7	DDX3X
LSM7	SF3B1
POLL	PNMA1
GCN1	F7
GCN1	AGO2
GCN1	MED19
GCN1	SLA2
GCN1	SF3B1
CALM2	SF3B1
CALM2	DDX3X
CALM2	TBK1
CALM2	EIF1B
CALM2	AR
CALM2	CKMT1B
CALM2	NOS2
SLC30A3	EEF1A1
F7	SLA2
F7	GGCX
EEF1A1	HIST1H3F
EEF1A1	SNU13
EEF1A1	AGO2
EEF1A1	MED19
EEF1A1	HNRNPK
EEF1A1	SEC13
EEF1A1	SORBS2
EEF1A1	RPA3
TBK1	CCAR1
TBK1	TXLNA
TBK1	DDX3X
TBK1	AGO2
TBK1	HSP90AB1
IMP3	NOP58
MED19	DDX3X
MED19	NOP58
SNU13	NOP58
SNU13	CPSF3
SNU13	HNRNPK
SNU13	CCAR1
SNU13	PPM1G
NOS2	DDX3X
NOS2	HSP90AB1
HSP90AB1	AR
HSP90AB1	SEC13
HSP90AB1	AGO2
HSP90AB1	FBXL18
HSP90AB1	CCAR1
HSP90AB1	DDX3X
AR	HIST1H3F
AR	TFAP2D
AR	RPA3
AR	SORBS2
HNRNPK	SEC13
HNRNPK	SORBS2
HNRNPK	DDX3X
HNRNPK	CCAR1
HNRNPK	FBXL18
HNRNPK	RPA3
HNRNPK	CPSF3
PLSCR1	FBXL18
PPM1G	DDX3X
PPM1G	HIST1H3F
ARHGEF2	RPA3
EIF1B	RPA3
EIF1B	CKMT1B
TFAP2D	CNFN
HIST1H3F	CCAR1
HIST1H3F	SF3B1
HIST1H3F	ERH
AGO2	SEC13
AGO2	SF3B1
BIN3	ERH
BIN3	TXLNA
FBXL18	PNMA1
SORBS2	CPSF3
SORBS2	DDX3X
SORBS2	SEC13
DDX3X	SEC13
DDX3X	RPA3
DDX3X	SF3B1
CPSF3	CCAR1
CPSF3	SF3B1
CPSF3	SEC13
CCAR1	SF3B1
RPA3	SF3B1
