#tail	head
CENPQ	ATF2
CENPQ	H2AFZ
CENPQ	CENPM
CENPQ	HIST2H4B
NF1	ADCYAP1
NF1	DDIT4L
NF1	SYT4
NF1	ATF2
FNBP1L	UBB
FNBP1L	AVPR2
AVPR2	GNG4
AVPR2	UBB
ADCYAP1	GNG4
KRT1	ST13
KRT1	AGA
KRT1	FLNA
KRT1	LDB3
KRT1	TNIP2
LDHA	STAU1
LDHA	ATF2
LDHA	TNIP2
LDHA	FLNA
UBB	HSPA2
H2AFZ	CENPM
H2AFZ	HIST2H4B
H2AFZ	TAF1A
H2AFZ	ATF2
GNG4	ATF2
FLNA	TNIP2
FLNA	STAU1
FLNA	DDIT4L
ST13	ATF2
ST13	LDB3
ST13	AGA
ST13	HSPA2
STAU1	CCT2
EAF1	DDIT4L
EAF1	TAF1A
LDB3	AGA
CCT2	TNIP2
CCT2	ATF2
ATF2	HIST2H4B
TAF1A	HIST2H4B
HIST2H4B	CENPM
