#tail	head
FNTB	GRIP1
FNTB	CAST
FNTB	DDIT4L
IDH2	ADHFE1
IDH2	CFTR
NR4A1	FOXA1
NR4A1	SRF
KIF3C	DYRK2
KIF3C	ELF1
CAST	KIF5B
CAST	TEF
CAST	NCK1
LEMD3	HIST1H3I
RPS27A	TGFB1
RPS27A	ARPC1B
RPS27A	CDK1
RPS27A	LRP2
RPS27A	POLR2H
RPS27A	ZNF408
RPS27A	RPL5
RPS27A	CDKN2A
RPS27A	CFTR
TBCC	TEF
DYNC1LI2	SGO1
DYNC1LI2	TUBB4B
DYNC1LI2	CLASP1
DYNC1LI2	OGA
MME	SLC16A1
MME	SMARCA4
CFTR	KIF5B
CFTR	PSMD1
CFTR	ZW10
CFTR	RPL5
CFTR	STON2
CFTR	CCT4
CFTR	TCP1
CFTR	CALR
CFTR	USP10
KXD1	CREB1
ZNF490	ZC4H2
MRPS9	HNRNPDL
MRPS9	AURKAIP1
MRPS9	MRPL53
MRPS9	U2AF2
MRPS9	MRPL13
HNRNPAB	SPTBN1
HNRNPAB	OGA
HNRNPAB	U2AF2
HNRNPAB	HNRNPDL
HNRNPAB	INS
HNRNPAB	STON2
HNRNPAB	HIST1H3I
WIPF3	NCK1
HNRNPDL	OGA
HNRNPDL	U2AF2
HNRNPDL	SRSF1
HNRNPDL	STON2
HNRNPDL	CUL5
MRPL30	MRPL53
ZMAT5	SRSF1
ZMAT5	POLR2H
INS	OGA
INS	RPSA
INS	HAND2
INS	PYCR1
INS	CCT4
INS	PRRC2C
INS	ARPC1B
INS	PPP1R15A
INS	CAMK1
INS	KIF5B
INS	IGF2BP3
PPP1R12A	OGA
PPP1R12A	SPTBN1
PPP1R12A	IL16
PPP1R12A	RPSA
PPP1R12A	ETS2
PPP1R12A	SRF
SCO2	SRSF1
MRPL53	AURKAIP1
SHBG	TGFB1
HAND2	HAND1
TUBB4B	YWHAB
TUBB4B	CLASP1
TUBB4B	CUL5
TUBB4B	PCBD1
TUBB4B	CCT4
PAG1	SMARCA4
PAG1	NF1
PAG1	TEF
NF1	YWHAB
NF1	IL16
NF1	SRF
NF1	KCNK3
NF1	VPS13B
NF1	CBFA2T2
NF1	CREB1
NF1	SMARCA4
ZNF408	ZC4H2
IGF2BP3	U2AF2
ETS2	LRP2
ETS2	CDKN2A
ETS2	CALR
ETS2	DHX15
ETS2	PTPN6
PSMD1	OGA
PSMD1	ICK
PSMD1	CUL5
PSMD1	CDK1
PSMD1	PTPN6
RCC2	ZW10
RCC2	CLASP1
NUPL2	CREB1
NUPL2	CDK1
BATF	CBFA2T2
BATF	STAT3
RPE	POU5F1
INPP4A	STON2
CDKN2A	CASC3
CDKN2A	HIST1H4E
CDKN2A	CBX4
CDKN2A	HIST1H3I
STAT3	SPTBN1
STAT3	SMARCA4
STAT3	CCT4
STAT3	SLC16A1
STAT3	POU5F1
HIST1H3I	RPL5
HIST1H3I	POLR2H
HIST1H3I	CBX4
HIST1H3I	CREB1
HIST1H3I	SRSF1
HIST1H3I	SMARCA4
PNN	OGA
PNN	RPSA
PNN	TRA2A
PNN	NOS1AP
PPIG	TRA2A
PPIG	CREB1
PPIG	CDK1
HIST1H4E	SRSF1
HIST1H4E	PSMC3IP
HIST1H4E	POLR2H
CBX4	HIST1H4H
CBX4	OGA
CBX4	MED14
TCP1	RPSA
TCP1	EIPR1
TCP1	OGA
GNB5	GNAT1
RPSA	SPTBN1
RPSA	KIF5B
RPSA	STON2
RPSA	CALR
RPSA	GLDC
RPSA	FAM221A
ZW10	OGA
ZW10	CDK1
STON2	GLDC
STON2	FAM221A
STON2	DHX15
STON2	SPTBN1
STON2	ARPC1B
STON2	LRP2
OGA	CCT4
OGA	YWHAB
OGA	PDE4DIP
OGA	CAMK1
OGA	CALR
OGA	SPTBN1
OGA	CLASP1
OGA	USP10
TRA2A	CASC3
TRA2A	FOXA1
TRA2A	DHX15
TRA2A	U2AF2
CD200R1	SFTPC
KCNK3	SLC12A2
KCNK3	YWHAB
ZNF696	KRTAP10-6
CALR	HIST1H4H
CALR	CBFA2T2
CALR	U2AF2
ADHFE1	ZADH2
RPL5	CASC3
RPL5	FOXA1
RPL5	CUL5
RPL5	SPTBN1
SLC12A2	GNB3
MAP7D1	POU5F1
MAP7D1	PPP1R15A
HIST1H4H	SRSF1
HIST1H4H	SMARCA4
HIST1H4H	CDK1
KRTAP10-6	HAND1
FAM221A	SPTBN1
MYT1L	PCBD1
PRRC2C	PCBD1
RXRA	SMARCA4
RXRA	FOXA1
RXRA	CDK1
RXRA	MED14
RXRA	GRIP1
RXRA	PSMC3IP
RXRA	NOS1AP
RXRA	POLR2H
SFTPC	FOXA1
ICK	CDK1
SMARCA4	CREB1
SMARCA4	SRF
POLR2H	U2AF2
CLASP1	SGO1
SPTBN1	TGFB1
SPTBN1	GLDC
SPTBN1	ARPC1B
ABCG8	TGFB1
SRSF1	U2AF2
SRSF1	CREB1
NCK1	ARPC1B
U2AF2	CDK1
U2AF2	ARPC1B
TGFB1	SRF
TGFB1	GNB3
TGFB1	PSMC3IP
TGFB1	POU5F1
KIF5B	YWHAB
CDK1	FOXA1
CDK1	IL16
GRIP1	YWHAB
PSMC3IP	FOXA1
PSMC3IP	GTF2A1L
ARPC1B	LRP2
FOXA1	ZADH2
FOXA1	IL16
FOXA1	YWHAB
CREB1	SRF
IL16	DDIT4L
