#tail	head
HIST1H2BA	SCMH1
HIST1H2BA	APP
HIST1H2BA	RPA3
HIST1H2BA	RTF1
HIST1H2BA	YY1
GTF3A	TEAD2
GTF3A	ESRRA
GTF3A	CPEB4
GTF3A	STARD13
SLC27A5	AASDHPPT
SLC27A5	ACOT6
SLC27A5	CERS5
SLC27A5	AACS
SLC27A5	ACOT2
SLC27A5	SPTLC2
SLC27A5	CERS1
CCNH	RFC1
CCNH	RPA3
CCNH	RTF1
AAR2	HSPA1A
AAR2	EFTUD2
AAR2	SLC16A1
TEAD2	MYOD1
TEAD2	RFC1
SMAD3	HSPA1A
SMAD3	YY1
SMAD3	EGF
SMAD3	APP
SMAD3	ZADH2
SMAD3	MYOD1
EFTUD2	HSPA1A
EFTUD2	RFC1
EFTUD2	RPA3
EFTUD2	MTF1
EFTUD2	RTF1
EFTUD2	YY1
MYOD1	CALN1
MYOD1	MT1E
MYOD1	STARD13
MYOD1	RPA3
DNAJC30	APP
DNAJC30	CALN1
SCMH1	APP
SCMH1	YY1
SCMH1	HSPA1A
HNF1A	GADD45A
HNF1A	ZADH2
HNF1A	APP
HNF1A	CERS1
HNF1A	CPEB4
STARD13	ZBTB14
STARD13	ESRRA
SLC16A1	EGF
SLC16A1	AACS
SLC16A1	DEGS1
CERS1	DEGS1
CERS1	ACOT2
CERS1	AACS
CERS1	AASDHPPT
HSPA1A	EGF
HSPA1A	NUAK1
HSPA1A	YY1
HSPA1A	APP
HSPA1A	RPA3
HSPA1A	MTF1
YY1	APP
YY1	CPEB4
YY1	ZADH2
ACOT2	AACS
ACOT2	AASDHPPT
ESRRA	EGF
ESRRA	APP
MTF1	MT1E
MTF1	NUAK1
MTF1	EGF
RFC1	RPA3
ZBTB14	ZADH2
ACOT6	SPTLC2
ACOT6	AACS
ACOT6	EGF
APP	RTF1
APP	CERS5
APP	NUAK1
APP	EGF
APP	MT1E
APP	ZADH2
CERS5	AACS
CERS5	AASDHPPT
CERS5	DEGS1
AASDHPPT	SPTLC2
AASDHPPT	AACS
EGF	GADD45A
AACS	SPTLC2
