#tail	head
ITGA7	UROD
ITGA7	MEF2A
ITGA7	COL2A1
MEF2A	HNRNPA1
MEF2A	DIRAS1
MEF2A	PPARA
HIST1H4J	SUV39H1
HIST1H4J	PPARA
HIST1H4J	HNRNPU
HIST1H4J	SAP130
HIST1H4J	DNTTIP2
HIST1H4J	CUL4B
HIST1H4J	ERCC6
ZNF57	SUV39H1
ZNF57	EFEMP2
RPL13A	RPL27
RPL13A	RPS27
RPL13A	HNRNPA1
RPL13A	PPP2CA
RPL13A	HNRNPU
RPL13A	RPL17
SYT2	PI4K2B
SYT2	BACH2
SUPT7L	CDCA4
SUPT7L	SAP130
CYP39A1	ACP6
CYP39A1	PPARA
ERCC6	HNRNPU
ERCC6	UROD
ERCC6	POR
ERCC6	GTF2H4
ERCC6	CUL4B
PPARA	PI4K2B
PPARA	RPL27
PPARA	POR
DIRAS1	BACH2
EFEMP2	TCAF1
SAP130	HNRNPU
SAP130	CUL4B
ERAP2	RPL27
ERAP2	TAPBP
ACP6	POR
PDIA2	COL2A1
PDIA2	TAPBP
SREK1IP1	TCAF1
SREK1IP1	GTF2H4
SUV39H1	CUL4B
SUV39H1	CDCA4
CFAP157	CUL4B
CFAP157	GOLGB1
CUL4B	HNRNPA1
CUL4B	RPL27
CUL4B	GTF2H4
RPL27	RPS27
RPL27	HNRNPA1
RPL27	RPL17
RPL27	PPP2CA
RPL27	HNRNPU
PPP2CA	BACH2
PPP2CA	RPL17
PPP2CA	CDCA4
PPP2CA	RPS27
RPS27	RPL17
RPS27	HNRNPU
HNRNPU	HNRNPA1
HNRNPU	GOLGB1
HNRNPU	RPL17
HNRNPU	CDCA4
HNRNPU	IFIT3
DNTTIP2	HNRNPA1
HNRNPA1	RPL17
HNRNPA1	IFIT3
POR	UROD
