#tail	head
PTK2	PON1
PTK2	SLC2A1
PTK2	CYP3A4
PTK2	IFNGR1
PTK2	MYLK
PTK2	CXCR2
PTK2	PTPN9
PTK2	SMN1
PTK2	PTPRE
PTK2	BMI1
PTK2	BCL2
PTK2	GCG
PTK2	SP1
PTK2	DUSP3
PTK2	ERBB2
PTK2	NCAM1
PTK2	MMP14
PTK2	CA1
PTK2	HSP90AA1
PTK2	NOX4
PTK2	PRKAA2
PTK2	BAX
PTK2	RB1
PTK2	MYL9
PTK2	AKR1C2
PTK2	F2R
PTK2	GSTA1
PTK2	CYP1A2
PTK2	NF1
PTK2	FGF21
PTK2	BIRC2
PTK2	HSD17B10
PTK2	CEBPA
PTK2	ARHGAP26
PTK2	TRPV6
PTK2	GNRH1
PTK2	ORM2
PTK2	COL7A1
PTK2	UNC5C
PTK2	PARK7
NOX4	BCL2
NOX4	PRKAA2
NOX4	AKR1C2
NOX4	CYP1A2
NOX4	GPX5
NOX4	SRY
NOX4	PXDNL
NOX4	CYP3A4
ATXN1	GTF2A2
ATXN1	FOXF2
ATXN1	SRY
ATXN1	NCAM1
ATXN1	RNF4
ATXN1	SP1
ATXN1	PRRC2A
PRKAA2	DYNLL1
PRKAA2	NAB2
PRKAA2	ASS1
PRKAA2	QARS
PRKAA2	USP10
PRKAA2	PSMD11
PRKAA2	NMRAL1
PRKAA2	AMOTL2
PRKAA2	BCL2
PRKAA2	GOLGA2
PRKAA2	PFKFB2
PRKAA2	PRKAR1B
PRKAA2	HSP90AA1
SIN3A	GTF2A2
SIN3A	FOXF2
SIN3A	HIST1H4I
SIN3A	SMC2
SIN3A	HDAC1
SIN3A	H2AFZ
SIN3A	RNF4
SIN3A	MAZ
SIN3A	SMN1
SIN3A	EZH2
SIN3A	TAB2
SIN3A	MAX
SIN3A	SP1
SIN3A	H2BFS
SIN3A	GOLGA2
SIN3A	SPI1
SIN3A	SF3B3
SIN3A	HSP90AA1
TWISTNB	HIST1H4I
TWISTNB	CDK7
TWISTNB	H2BFS
TWISTNB	H2AFZ
INPP4A	UPP2
INPP4A	SMAD1
INPP4A	PHKB
INPP4A	CEBPA
INPP4A	AP2A2
INPP4A	GDPGP1
INPP4A	CLTC
INPP4A	PYGL
INPP4A	SP1
NF1	SP1
NF1	FOXF2
NF1	GCM1
NF1	EPHA5
NF1	AXIN2
NF1	CYP1A2
NF1	MYLK
NF1	RB1
NF1	AMOTL2
NF1	PCGF1
NF1	MAZ
NF1	CKAP4
NF1	FGF11
NF1	PON1
NF1	ELK1
NF1	ERBB2
NF1	PPP6R3
NF1	HDAC1
NF1	NCAM1
NF1	FGF21
NF1	NPHP4
DHX57	KRTAP10-8
DHX57	ELK1
DHX57	PLAGL2
DHX57	FKBP5
DHX57	DCUN1D1
ATP6V1B1	STX12
ATP6V1B1	ATP1B3
ATP6V1B1	UPP2
ATP6V1B1	CCT6B
ATP6V1B1	SUV39H1
ATP6V1B1	NME7
ATP6V1B1	SLC24A5
ATP6V1B1	CA1
ATP6V1B1	ATP1A2
ATP6V1B1	PYGL
ELK1	TFB2M
ELK1	PCGF1
ELK1	HDAC1
ELK1	GTF2A2
ELK1	NCBP1
ELK1	MCRS1
ELK1	CALU
ELK1	NME7
ELK1	EDC4
ELK1	CFAP298
ELK1	PSMA5
ELK1	BAX
ELK1	SP1
ELK1	CBX8
ELK1	NUP98
ELK1	PSMA6
ELK1	TRAPPC10
ELK1	AIP
ELK1	PRPF18
ELK1	PHKB
ELK1	NUP214
ELK1	SF3B3
ELK1	STX12
DCUN1D1	SOCS6
DCUN1D1	HSP90AA1
DCUN1D1	CUL1
DCUN1D1	CLTC
DCUN1D1	MCC
DCUN1D1	SEC23A
ATP1B3	SMN1
ATP1B3	SLC8A3
ATP1B3	SSR1
ATP1B3	QARS
ATP1B3	KCNE3
ATP1B3	GDPGP1
ATP1B3	CANX
ATP1B3	KCNJ11
ATP1B3	SEC23A
ATP1B3	ATP1A2
ATP1B3	SLC1A1
ATP1B3	RAB1B
ATP1B3	FGF11
ATP1B3	VDAC3
ATP1B3	PYGL
ATP1B3	UPP2
ATP1B3	SPI1
ATP1B3	HSD17B10
ATP1B3	PHKB
ATP1B3	RNF4
SEC23A	COL7A1
SEC23A	GOLGA2
SEC23A	TRAPPC10
SEC23A	OCLN
SEC23A	CANX
SEC23A	HSP90AA1
SEC23A	CD74
SEC23A	CKAP4
SEC23A	CUL1
SEC23A	EDC3
SEC23A	SMN1
SEC23A	EDC4
SEC23A	QARS
SEC23A	CLTC
SEC23A	SSR1
SEC23A	DNAJB2
SEC23A	CEBPA
SEC23A	BUB3
SEC23A	TRAPPC6A
SEC23A	STARD10
SEC23A	NCBP1
SEC23A	HIST1H4I
SEC23A	SLC2A1
SEC23A	ZNF703
SEC23A	CCT8
SEC23A	PSMD11
SEC23A	RAB1B
SEC23A	HLA-DQA2
SEC23A	AP2A2
SEC23A	GABARAPL1
SEC23A	PREB
CCDC196	AMOTL2
CCDC196	TFIP11
KCNJ11	SLC2A1
KCNJ11	ATP1A2
KCNJ11	FGF21
KCNJ11	SLC24A5
KCNJ11	MAZ
EZH2	BMI1
EZH2	H2BFS
EZH2	SRSF3
EZH2	KLC1
EZH2	CUL1
EZH2	FKBP5
EZH2	SMN1
EZH2	AXIN2
EZH2	H2AFZ
EZH2	SP1
EZH2	ZRANB1
EZH2	ATP5F1B
EZH2	SSR1
EZH2	HDAC1
EZH2	RB1
EZH2	SUV39H1
EZH2	TDRD1
EZH2	SATB2
EZH2	SF3B3
EZH2	HIST1H4I
EZH2	PCGF1
ENTPD1	PYGL
ENTPD1	UPP2
ENTPD1	MAZ
ENTPD1	NME7
ENTPD1	SRY
ENTPD1	ESD
ENTPD1	GDPGP1
ENTPD1	ALDH7A1
ENTPD1	CA1
ENTPD1	SMAD1
ENTPD1	PHKB
GDPGP1	ENOPH1
GDPGP1	KLC1
GDPGP1	PTPRE
GDPGP1	PYGL
GDPGP1	DUSP3
GDPGP1	ATP1A2
GDPGP1	UPP2
GDPGP1	FBP2
GDPGP1	PHKB
GDPGP1	PTPN9
GDPGP1	PFKFB2
GDPGP1	PPA2
PARK7	GSTA1
PARK7	HDAC1
PARK7	HSD17B10
PARK7	BAX
PARK7	CCT8
PARK7	TAB1
PARK7	CYP3A4
ATP1A2	HIST1H4I
ATP1A2	KCNE3
ATP1A2	SLC1A1
ATP1A2	CLTC
ATP1A2	FGF11
ATP1A2	PYGL
ATP1A2	UPP2
ATP1A2	PHKB
ATP1A2	GTF2A2
ATP1A2	MAZ
ATP1A2	SLC8A3
HSD17B10	PYGL
HSD17B10	PSMD3
HSD17B10	CCT8
HSD17B10	GABARAPL1
HSD17B10	GNRH1
HSD17B10	CALU
HSD17B10	NCBP1
HSD17B10	ESD
HSD17B10	BAX
HSD17B10	CUL1
HSD17B10	AKR1C2
HSD17B10	F2R
HSD17B10	GSTA1
HSD17B10	PGRMC1
HSD17B10	HDAC1
HSD17B10	PSMD11
HSD17B10	BUB3
IFNGR1	CANX
IFNGR1	IFNA16
IFNGR1	BMPR1A
IFNGR1	MAX
IFNGR1	CXCR2
PON1	CA1
PON1	GSTA1
PON1	NCAM1
PON1	TRPV6
PON1	SEMA5B
PON1	CYP3A4
PON1	GCG
PCGF1	CEBPA
PCGF1	CBX8
PCGF1	SP1
PCGF1	YLPM1
PCGF1	BMI1
PCGF1	SATB2
PCGF1	HSP90AA1
PSMA6	DNAJB2
PSMA6	PSMD11
PSMA6	BIRC2
PSMA6	GABARAPL1
PSMA6	PSMA5
PSMA6	ANAPC15
PSMA6	FGF11
PSMA6	MCC
PSMA6	BMPR1A
PSMA6	PSMD3
PSMA6	BUB3
PSMA6	CUL1
PSMA6	CCT8
TUBA3E	TUBB2B
TUBA3E	CCT8
TUBA3E	TCP1
TUBA3E	CCT6B
ORAI3	SP1
ORAI3	CEBPA
ORAI3	MAZ
OCLN	RNF4
OCLN	MAZ
OCLN	SMN1
OCLN	CXCR2
OCLN	SSR1
OCLN	TRPV6
OCLN	PREB
OCLN	FOXF2
PSMD3	SLC2A1
PSMD3	BMPR1A
PSMD3	BUB3
PSMD3	PSMD11
PSMD3	BIRC2
PSMD3	ANAPC15
PSMD3	MAX
PSMD3	RNF4
PSMD3	PSMA5
PSMD3	MAZ
PSMD3	CUL1
PSMD3	FGF11
KCNE3	QARS
KCNE3	SLC24A5
SYTL4	PRKAR1B
SYTL4	H2BFS
SYTL4	ZRANB1
AIP	MAZ
AIP	PPA2
AIP	NPHP4
AIP	MAX
AIP	HSP90AA1
AIP	SP1
FZD7	FGF21
FZD7	GNRH1
FZD7	MAZ
FZD7	IFNA16
FZD7	GCG
FZD7	FGF11
FZD7	SP1
MAX	SLC1A1
MAX	VDAC3
MAX	BMI1
MAX	MYL9
MAX	BCL2
MAX	SP1
MAX	ERBB2
MAX	C5orf38
MAX	HSP90AA1
MAX	BAX
MAX	RNF4
MAX	GTF2A2
MAX	FOXF2
MAX	SPDL1
MAX	MAZ
MAX	PCF11
MAX	SATB2
MAX	SLC25A11
MAX	HDAC1
MAX	H2AFZ
MAX	SSR1
MAX	CEBPA
MAX	SPI1
MAX	FKBP5
MAX	BUB3
MAX	SUV39H1
MAX	CBX8
MAX	NCBP1
MAX	CCT8
MAX	SLC2A1
MAX	COX7C
MAX	RAC2
MAX	ENOPH1
MAX	ATP5F1B
MAX	PSMA5
RNF111	CFAP298
RNF111	MAZ
RNF111	HSP90AA1
RNF111	SPI1
RNF111	AXIN2
RNF111	RBM27
RNF111	UBE2J1
RNF111	RNF4
PCF11	NCBP1
PCF11	SF3B3
PCF11	SP1
PCF11	CDK7
PCF11	SRSF3
PCF11	MAZ
PCF11	SRY
PCF11	RBM27
PCF11	GTF2A2
PCF11	FOXF2
SP1	HDAC1
SP1	SOCS6
SP1	PGRMC1
SP1	DNAJB2
SP1	RAB1B
SP1	H2AFZ
SP1	CEBPA
SP1	ARHGAP26
SP1	GABARAPL1
SP1	STX12
SP1	CDK7
SP1	WHRN
SP1	MCRS1
SP1	TFB2M
SP1	NCBP1
SP1	RNF4
SP1	COL7A1
SP1	PSMA5
SP1	SSR1
SP1	ANLN
SP1	TRPV6
SP1	CYP3A4
SP1	PFKFB2
SP1	MAZ
SP1	HSP90AA1
SP1	SLC2A1
SP1	CD74
SP1	ENOPH1
SP1	DUOX1
SP1	MYL9
SP1	FGF11
SP1	ZNF703
SP1	NMRAL1
SP1	BMI1
SP1	CLTC
SP1	CALU
SP1	PLAGL2
