#tail	head
AGA	QTRT2
AGA	CAMTA1
AGA	APOC3
AGA	APOC1
AGA	LAT
AGA	MOB4
AGA	CDCP1
AGA	SCAF1
AGA	PLAG1
AGA	AP1M1
SNRNP70	SCAF1
SNRNP70	GNAS
SNRNP70	AP1M1
SCAF1	APOC1
SCAF1	PLAG1
SCAF1	CDCP1
SCAF1	APOC3
SCAF1	AP1M1
SCAF1	LAT
SCAF1	CAMTA1
SCAF1	QTRT2
RAD18	GNAS
TIMM13	MOB4
APOC1	QTRT2
APOC1	LAT
APOC1	CAMTA1
APOC1	AP1M1
APOC1	CDCP1
APOC1	APOC3
APOC1	PLAG1
APOC3	AP1M1
APOC3	LAT
APOC3	CAMTA1
APOC3	CDCP1
APOC3	PLAG1
APOC3	QTRT2
CAMTA1	CDCP1
CAMTA1	PLAG1
CAMTA1	QTRT2
CAMTA1	AP1M1
CAMTA1	LAT
PLAG1	AP1M1
PLAG1	LAT
PLAG1	CDCP1
PLAG1	QTRT2
QTRT2	AP1M1
QTRT2	LAT
QTRT2	CDCP1
AP1M1	LAT
AP1M1	CDCP1
LAT	CDCP1
