#tail	head
LIMA1	NXF1
LIMA1	HIST1H3D
LIMA1	MYH9
LIMA1	WASF1
LIMA1	EDC3
LIMA1	CDH1
HSF2BP	LMO4
HSF2BP	NXF1
HSF2BP	SLC6A1
HSF2BP	WASF1
HSF2BP	GPKOW
LMO4	TINAGL1
LMO4	HDAC2
LMO4	NXF1
HIP1	MYH9
HIP1	TF
SLC6A1	SLC28A3
SLC6A1	SLC24A5
SLC6A1	SLC6A4
SLC6A1	SLC8A3
SLC6A1	SLC4A8
SLC6A1	DLG4
SLC6A1	SLC8A1
SLC6A1	SLC9A2
SLC6A1	FXYD2
GNPDA2	FPGS
GNPDA2	FBP2
GNPDA2	SNX12
GNPDA2	SLC9A2
GNPDA2	PIR
GNPDA2	PFKFB4
FPGS	SLCO1A2
FPGS	HMGCL
MYH9	PPIA
MYH9	CDH1
PLRG1	CPSF3
PLRG1	GPKOW
PLRG1	PRPF6
PLRG1	SYMPK
PLRG1	PRCC
PLRG1	U2AF2
PLRG1	PHF5A
PLRG1	HNRNPUL1
S100A9	U2AF2
S100A9	F2
S100A9	SLC30A10
S100A9	MCOLN1
S100A9	FXYD2
ZNF71	HNRNPUL1
VDAC1	PPIA
VDAC1	SLC24A5
VDAC1	U2AF2
VDAC1	MCC
VDAC1	NXF1
VDAC1	MCOLN1
VDAC1	F2
VDAC1	DLG4
VDAC1	SLC8A3
SNX3	MCC
SNX3	PIR
SNX3	PPIA
SYMPK	PHF5A
SYMPK	CPSF3
SYMPK	MCC
SYMPK	PRCC
SYMPK	U2AF2
SYMPK	GPKOW
SYMPK	PRPF6
SYMPK	HDAC2
SYMPK	HNRNPUL1
FAM98A	MCAT
FAM98A	NXF1
SLCO1A2	SHBG
SLCO1A2	SLC4A8
SLCO1A2	SLC9A3R2
HDAC2	HIST1H2AI
HDAC2	TFDP1
HDAC2	NXF1
HDAC2	CDH1
HDAC2	HIST1H3D
TF	SLC30A10
TF	MCOLN1
TF	SLC8A1
TF	CLDN3
TFDP1	SLC6A4
TFDP1	PHF5A
TFDP1	TINAGL1
TFDP1	HNRNPUL1
TFDP1	WASF1
MCAT	ADH1A
MCAT	ACADS
MCAT	ACADL
MCAT	GLYAT
HNRNPUL1	U2AF2
HNRNPUL1	PHF5A
HNRNPUL1	CPSF3
HNRNPUL1	GPKOW
HNRNPUL1	PRCC
HNRNPUL1	NXF1
HNRNPUL1	PRPF6
SDHB	ACADS
SDHB	MCC
SDHB	ACADL
PFKFB4	FBP2
PFKFB4	NXF1
ELK1	PRPF6
ELK1	U2AF2
ELK1	PHF5A
ELK1	PPP1R35
ELK1	SNX12
ELK1	CPSF3
CLDN3	PPIA
CLDN3	F2
NXF1	ZFR
NXF1	CPSF3
NXF1	U2AF2
NXF1	BUB1
NXF1	PIR
ZFR	HIST1H3D
SLC24A5	SLC28A3
SLC24A5	SLC6A4
SLC24A5	DLG4
SLC24A5	SLC6A9
SLC24A5	TSPOAP1
SLC24A5	SLC8A1
SLC24A5	SLC9A2
SLC24A5	SLC4A8
SLC24A5	SLC8A3
BUB1	FBP2
BUB1	CYLC2
BUB1	HIST1H2AI
BUB1	CTSV
PHF5A	HIST1H3D
PHF5A	PRPF6
PHF5A	U2AF2
PHF5A	CPSF3
PHF5A	GPKOW
PHF5A	PRCC
HIST1H3D	HIST1H2AI
HIST1H3D	CDH1
WASF1	SLC9A3R2
CTSV	PDGFRL
FBP2	PDGFRL
GPKOW	PRPF6
GPKOW	CPSF3
GPKOW	PRCC
GPKOW	U2AF2
HMGCL	PIR
HMGCL	ADH1A
SLC28A3	SLC9A2
SLC28A3	SLC4A8
SLC28A3	DLG4
SLC28A3	SLC6A4
SLC28A3	FXYD2
SLC28A3	SLC8A3
ACADS	GLYAT
ACADS	ADH1A
ACADS	ACADL
CYLC2	MCC
PPP1R35	EDC3
ACADL	GLYAT
ACADL	ADH1A
SLC8A3	SLC9A2
SLC8A3	SLC4A8
SLC8A3	DLG4
SLC8A3	MCOLN1
SLC8A3	SLC8A1
SLC8A3	TSPOAP1
SLC8A3	FXYD2
SLC8A3	SLC6A9
SLC8A3	SLC6A4
CPSF3	PRPF6
CPSF3	U2AF2
CPSF3	PRCC
PIR	PPIA
U2AF2	PPIA
U2AF2	HIST1H2AI
U2AF2	PRCC
U2AF2	PRPF6
SLC6A4	DLG4
SLC6A4	SLC9A2
SLC6A4	SLC4A8
SLC6A4	FXYD2
SLC6A4	SLC8A1
SLC6A4	TSPOAP1
ADH1A	GLYAT
SLC8A1	SLC4A8
SLC8A1	DLG4
SLC8A1	MCOLN1
SLC8A1	FXYD2
SLC8A1	SLC6A9
SLC8A1	SLC9A2
SLC8A1	F2
PRCC	PRPF6
SLC6A9	FXYD2
SLC6A9	GLYAT
SLC6A9	SLC4A8
SLC6A9	DLG4
TINAGL1	SHBG
F2	MCOLN1
F2	SHBG
F2	SLC30A10
TSPOAP1	MCOLN1
TSPOAP1	DLG4
SLC9A3R2	MCC
SLC9A3R2	CDH1
SLC9A2	SLC4A8
SLC9A2	DLG4
SLC9A2	FXYD2
PPIA	CDH1
SLC30A10	SHBG
SLC30A10	CDH1
CDH1	MCOLN1
SHBG	MCOLN1
DLG4	FXYD2
DLG4	SLC4A8
SLC4A8	FXYD2
