#tail	head
CEP57	SMAD1
CEP57	CSNK2A1
CEP57	POLR2H
CEP57	HAUS1
CEP57	MEIS1
CEP57	KRT31
CEP57	NME7
CEP57	MYC
CEP57	LEF1
CEP57	TTN
MOAP1	MAX
MOAP1	LEF1
MOAP1	ETS2
MOAP1	CRX
MOAP1	CUX1
ETS2	TPM3
ETS2	FGFR4
ETS2	CD86
ETS2	EGFL7
ETS2	CRX
ETS2	CDKN2A
ETS2	CD247
ETS2	NT5C2
ETS2	STAT5B
ETS2	NDUFS2
ETS2	IGF1
ETS2	RPS6KA3
ETS2	EP300
ETS2	PICALM
TTN	HTR3A
TTN	DLG4
TTN	MYC
TTN	LEF1
TTN	SMURF2
TTN	GRIN2D
TTN	YWHAQ
TTN	TMOD1
TTN	CALM1
TTN	MEIS1
TTN	H2BFS
TTN	TPM3
TTN	CACNB4
SEC23A	GAPDH
SEC23A	TMOD1
SEC23A	KCTD3
SEC23A	NDUFS2
SEC23A	SSB
SEC23A	CSNK2A1
SEC23A	TRIM28
SEC23A	SEPHS1
SEC23A	AP2A1
SEC23A	SEMA7A
SEC23A	PICALM
SEC23A	SET
IGKV1-17	CD86
IGKV1-17	CUX1
IGKV1-17	ERBB4
IGKV1-17	RHOG
IGKV1-17	CD247
IGKV1-17	CD79B
IGKV1-17	IGHV3-30
IGKV1-17	FCGR3A
IGKV1-17	CALM1
IGKV1-17	FGFR4
SCN9A	SPTB
SCN9A	DLG4
SCN9A	SPTBN4
SCN9A	GRIN2D
SCN9A	CALM1
KRTAP11-1	ATG9A
KRTAP11-1	HEY2
EP300	HIST1H2BB
EP300	BIRC5
EP300	CSNK2A1
EP300	CRX
EP300	MYC
EP300	LEF1
EP300	MAX
EP300	HEY2
EP300	SET
EP300	CDKN2A
EP300	ITGA2B
EP300	H2BFS
EP300	ZEB1
EP300	CYP2A6
EP300	HIST2H3A
EP300	CDC25A
EP300	SMAD1
EP300	STAT5B
EP300	POLR2H
EP300	ATP7B
EP300	FOXO1
EP300	SOD1
EP300	IGF1
EP300	ATP7A
EP300	MEIS1
EP300	IFNA16
EP300	SMAD2
EP300	HIST1H3C
EP300	STAT1
EP300	CEBPD
EP300	GAPDH
SET	SEMA7A
SET	SEPHS1
SET	MYC
SET	LEF1
SET	STAT1
SET	SSB
SET	CALM1
SET	TMOD1
SET	SOX2
SET	PICALM
SET	NDUFS2
SET	HIST2H3A
SET	CSNK2A1
SET	GAPDH
SET	KCTD3
SET	FOXO1
SET	TRIM28
SET	HIST1H3C
SET	AP2A1
PGLYRP2	ATP7A
PGLYRP2	CA1
PGLYRP2	ATP7B
SLC12A6	SLC12A7
SLC12A6	ZEB1
SLC12A6	CLCN4
SLC12A6	HTR3A
SLC12A6	SDS
SLC12A6	MYC
SLC12A6	PRDX6
SLC12A6	ALDH1A3
SLC12A6	CD79B
SLC12A6	HIBCH
BIRC5	CDKN2A
BIRC5	CYP2A6
BIRC5	CSNK2A1
BIRC5	RANGAP1
BIRC5	MYC
BIRC5	MAX
BIRC5	PPP2R5B
BIRC5	HIST2H3A
BIRC5	IGF1
KRT31	ATG9A
KRT31	HAUS1
KRT31	TMEM8A
MAX	CDC25A
MAX	ASAH1
MAX	MYC
MAX	FZD5
MAX	CSNK2A1
MAX	SSB
MAX	GAPDH
MAX	ETFA
MAX	BCAT1
MAX	RNF4
MAX	ACSS2
MAX	POLR2H
MAX	TAF5L
MAX	SOD1
MAX	SMAD2
MAX	RPS6KA3
MAX	PICALM
MAX	CSK
MAX	CUX1
MAX	ATG9A
MAX	CDKN2A
MAX	LEF1
MAX	AMMECR1
MAX	CES2
MAX	DARS
MAX	CD79B
MAX	CEBPD
MAX	SEMA7A
MAX	CALM1
RHOT2	ARHGAP23
RHOT2	ARHGAP17
RHOT2	DEPDC1B
RHOT2	RASGRF2
CD79B	CALM1
CD79B	ERBB4
CD79B	RHOG
CD79B	IGHV3-30
CD79B	FCGR3A
CD79B	FGFR4
CD79B	CD86
CD79B	MEIS1
CD79B	CD247
CD79B	CUX1
CD79B	CSK
CD79B	PIGA
CD79B	MYC
SEPHS1	TMOD1
SEPHS1	ALDH1A3
SEPHS1	DARS
SEPHS1	AK1
SEPHS1	PICALM
SEPHS1	PFAS
SEPHS1	SSB
SEPHS1	OXSM
SEPHS1	NDUFS2
SEPHS1	CSNK2A1
SEPHS1	NME7
SEPHS1	SOX2
SEPHS1	GAPDH
SEPHS1	ACSS2
SEPHS1	KCTD3
SEPHS1	NT5C2
SEPHS1	NME3
