#tail	head
ERRFI1	FOXA1
ERRFI1	WDR61
ERRFI1	CDC5L
ERRFI1	ACTB
PTPRQ	TPST1
PTPRQ	FLT3
PTPRQ	ROR2
BCAR1	MPRIP
BCAR1	MAPK8
BCAR1	PPP2CA
BCAR1	COL8A1
BCAR1	ALB
BCAR1	ACTB
SNRNP200	SRSF3
SNRNP200	PSMD13
SNRNP200	SUZ12
POLR2C	COPS5
POLR2C	MED21
POLR2C	MED29
POLR2C	WDR61
POLR2C	SRC
POLR2C	HNRNPA2B1
POLR2C	HIST1H2BM
PTPRK	INSR
PTPRK	TPST1
PTPRK	SIPA1L3
PTPRK	ROR2
PTPRK	FLT3
ACTB	MPRIP
ACTB	CDC5L
ACTB	EZH2
ACTB	COPS5
ACTB	HNRNPA2B1
ACTB	DUSP19
ACTB	PCDHB12
ACTB	SRC
ACTB	TPST1
ACTB	SIPA1L3
ACTB	AAR2
ACTB	CAPZA2
ACTB	ALB
ACTB	COPS4
RPL23	PPP2CA
RPL23	COPS5
RPL23	AAR2
RPL23	EIF3E
CAPZA2	GLI1
CAPZA2	MPRIP
CAPZA2	SRC
CAPZA2	NUMB
SRC	PLCG1
SRC	HNRNPA2B1
SRC	PPP2CA
SRC	SIPA1L3
SRC	MPRIP
SRC	BZW1
SRC	PCDHB12
SRC	PSMD13
NUMB	GLI1
NUMB	RPS27A
NUMB	PSMD13
NUMB	SIPA1L3
MED21	MED6
MED21	MED29
FBXO27	COPS5
FBXO27	COPS4
FBXO27	UBE2R2
FBXO27	RPS27A
SRSF3	HNRNPA2B1
SRSF3	SUZ12
SRSF3	COPS5
SRSF3	CDC5L
SRSF3	MED29
MAPK3	NRAS
MAPK3	ALB
MAPK3	MAP2K4
MAPK3	MPRIP
MAPK3	PPP2CA
MAPK3	HLA-DRA
MAPK3	INSR
RPS27A	PPP2CA
RPS27A	UBE2R2
RPS27A	HIST1H2BM
RPS27A	COPS4
RPS27A	RPL11
RPS27A	AAR2
RPS27A	EIF3E
RPS27A	PSMD13
RPS27A	HNRNPA2B1
PSMD13	SIPA1L3
PSMD13	ABCF1
PSMD13	CDC5L
HNRNPA2B1	DICER1
HNRNPA2B1	CDC5L
HNRNPA2B1	SIPA1L3
HNRNPA2B1	ABCF1
HNRNPA2B1	EIF3E
HNRNPA2B1	COPS5
HNRNPA2B1	RPL11
HNRNPA2B1	AAR2
WDR61	HIST1H2BM
TCTN2	PRKACA
TCTN2	HLA-DRA
HLA-DRA	TRBV7-9
NRAS	PLCG1
NRAS	FLT3
NRAS	CDC5L
NRAS	PPP2CA
BZW1	AAR2
BZW1	CDC5L
BZW1	SIPA1L3
CD40	MAPK8
AAR2	PPP2CA
AAR2	ABCF1
AAR2	EIF3E
DICER1	ALB
DICER1	MED29
RPL11	PPP2CA
RPL11	HIST1H2BM
RPL11	COPS5
INSR	PPP2CA
COPS5	COPS4
COPS5	DDX52
COPS5	CDC5L
FLT3	GNB3
FLT3	PLCG1
GNB3	PLCG1
GNB3	CDC5L
GNB3	PTH2R
UBE2R2	HECW2
FOXA1	ALB
FOXA1	DDX52
FOXA1	HIST1H2BM
PLCG1	TRBV7-9
ABCF1	CDC5L
PCDHB12	COPS4
ROR2	MAPK8
PRKACA	EZH2
PRKACA	GLI1
CDC5L	MAP2K4
MED29	DDX52
MAPK8	HIST1H2BM
MAPK8	MAP2K4
MAPK8	EZH2
EZH2	HIST1H2BM
LGALS7	SUZ12
