#tail	head
HUWE1	PSMC3
HUWE1	CALM1
HUWE1	FGF11
HUWE1	TOX4
HUWE1	RBBP4
HUWE1	MDM2
HUWE1	RPL5
HUWE1	HSP90AA1
HUWE1	EFTUD2
HUWE1	PCBP2
HUWE1	IFI16
HUWE1	TUFM
HUWE1	TCP1
HUWE1	RPL27A
HUWE1	RPS13
HUWE1	PTP4A3
HUWE1	RARA
HUWE1	MYL6B
HUWE1	TRIM28
HUWE1	RPL6
HUWE1	NUDT21
SLC24A1	CALM1
SLC24A1	P2RX5
SLC24A1	SLC4A9
SLC24A1	TRPV3
SLC24A1	CHRNA4
SLC24A1	SLC9A8
SF3A2	PCBP2
SF3A2	EFTUD2
SF3A2	POLR2B
SF3A2	SNRNP70
SF3A2	RBM8A
SF3A2	API5
SF3A2	PABPN1
SF3A2	CPSF3
SF3A2	SRSF6
SF3A2	NUDT21
SF3A2	HIST1H3D
SF3A2	HIST1H3C
SF3A2	HIST1H3F
SF3A2	DHX16
SF3A2	THOC3
SF3A2	PRPF6
SF3A2	U2AF1
SF3A2	PPM1G
SF3A2	PRPF4
SF3A2	HNRNPF
SF3A2	HIST1H3J
PIK3CA	OPTN
PIK3CA	LYN
PIK3CA	HIST1H2BI
PIK3CA	HSP90AA1
PIK3CA	BDNF
PIK3CA	BRK1
PIK3CA	BAG4
PIK3CA	SORBS2
PIK3CA	KLF9
PIK3CA	PPM1G
PIK3CA	CALM1
PIK3CA	NOG
RPL27A	NOG
RPL27A	RPLP2
RPL27A	TUFM
RPL27A	RPS13
RPL27A	HIST1H3J
RPL27A	RARA
RPL27A	RPS26
RPL27A	EFTUD2
RPL27A	RPL17
RPL27A	CUL1
RPL27A	RPL6
RPL27A	FGF11
RPL27A	RPL5
RPL27A	RBM8A
RPL27A	U2AF1
RPL27A	RPL11
RPL27A	HIST1H3D
RPL27A	EIF5B
RPL27A	RPS28
RPL27A	PAX3
RPL27A	HIST1H3C
RPL27A	MDM2
RPL27A	HIST1H3F
SLC34A1	SLC4A9
SLC34A1	ATP6V1D
SLC34A1	HNF4A
SLC34A1	UPP2
SLC34A1	SLC9A8
SLC34A1	HSP90AA1
SH2D4A	HCLS1
SH2D4A	NOG
SH2D4A	LYN
SH2D4A	VPS52
SH2D4A	SORBS2
SH2D4A	PPP1CC
SH2D4A	SPAG5
DYRK1B	CDKN1A
DYRK1B	HNF4A
DYRK1B	HSP90AA1
