#tail	head
PPL	TP53
PPL	RRBP1
PPL	LCE2C
PPL	SLBP
PPL	ALAS1
PPL	PBX4
PPL	SPINT1
PPL	MRPL28
PPL	NOG
PPL	USP7
PPL	CTTN
GCHFR	HNF4A
GCHFR	NOG
GCHFR	NEBL
GCHFR	CAMKK2
KRT20	PRKCA
KRT20	KRT84
KRT20	NOTCH2NLA
KRT20	KRTAP10-9
NDC1	SP1
NDC1	SLBP
NDC1	POLDIP3
NDC1	UPF3B
NDC1	LEF1
NDC1	TPR
NDC1	HNF4A
NDC1	ZNRF4
NDC1	PML
NDC1	NOG
NDC1	LYPD3
C6orf62	TFAP4
C6orf62	SP1
C6orf62	PITX2
C6orf62	CREB1
C6orf62	CRX
C6orf62	TP53
CGA	HR
CGA	SP1
CGA	CREB1
CGA	GRM3
CGA	F2
CGA	ESR1
CGA	AGT
CGA	AKR1D1
CGA	FZD6
CGA	HNF4A
CGA	HSF2
CGA	NEMF
CGA	ADIPOQ
CGA	TP53
CGA	NOG
CGA	KRT19
CGA	VDR
IFNA6	FZD6
IFNA6	IFNGR2
IFNA6	GRM3
IFNA6	IFNAR1
TTYH1	NOG
TTYH1	PITX2
ELK1	PSMB1
ELK1	PMPCB
ELK1	ATP2C1
ELK1	PCSK5
ELK1	YWHAB
ELK1	GRB2
ELK1	ACTA2
ELK1	OGA
ELK1	TP53
ELK1	GABARAPL2
ELK1	RPS14
ELK1	LEF1
ELK1	KRAS
ELK1	CSTF2T
ELK1	PABPC1
ELK1	SP1
ELK1	PRKAG2
ELK1	SLC25A5
ELK1	FN1
ELK1	DNAJC1
ELK1	PITX2
ELK1	SF3B3
ELK1	MEIS1
ELK1	KDM6A
SARDH	AOC1
SARDH	ALAS1
PCSK5	LCE2C
PCSK5	REN
PCSK5	NOG
PCSK5	SP1
PCSK5	NGF
PCSK5	NOTCH2NLA
PCSK5	KRTAP10-9
CALD1	HTR3E
CALD1	SPINT1
CALD1	MEIS1
CALD1	OGA
CALD1	DLG4
CALD1	ACTA2
CALD1	TRPV1
CALD1	CTTN
CALD1	LEF1
CALD1	TRPM2
CALD1	TRPA1
CALD1	GRB2
CALD1	TP53
CALD1	NOG
CALD1	TRPC1
CALD1	SLBP
CALD1	GRIK2
CALD1	CREB1
CALD1	RRBP1
TRPM2	AGT
TRPM2	ACTA2
TRPM2	TRPV1
TRPM2	AOC1
TRPM2	MYL2
TRPM2	ATP2C1
TRPM2	PRKCA
TRPM2	PPFIA3
TRPM2	PRKCB
TRPM2	F2
TRPM2	TRPA1
TRPM2	TRPC1
TRPM2	MYBPC1
TRPM2	SLC8A1
CMSS1	CREB1
CMSS1	RPL10
CMSS1	HNF4A
CMSS1	ATF3
LCE2C	KRTAP10-9
LCE2C	EFEMP2
LCE2C	NOTCH2NLA
GPKOW	SF3B3
GPKOW	OGA
GPKOW	GOLGA2
GPKOW	UPF3B
GPKOW	CSTF2T
GPKOW	HNF4A
GPKOW	SNRNP200
IFNB1	AGT
IFNB1	ABCB1
IFNB1	FZD6
IFNB1	TNFRSF1A
IFNB1	NOS3
IFNB1	IL5
IFNB1	IFNAR1
IFNB1	TP53
IFNB1	ESR1
IFNB1	IFNGR2
IFNB1	GUCY1B1
IFNB1	GRM3
IFNB1	PML
IFNB1	PRKCB
IFNB1	PRKCA
IFNB1	CFTR
TSSK3	VDR
TSSK3	MRPL28
TSSK3	GOLGA2
TSSK3	HSF2
TSSK3	SP1
TSSK3	PBX4
ATF3	TRPV1
ATF3	DNAJC1
ATF3	CREB1
ATF3	NEBL
ATF3	CFTR
ATF3	CRX
ATF3	TP53
ATF3	NOG
ATF3	NR2E1
ATF3	SP1
ATF3	ARID4B
ATF3	LMO3
ATF3	WISP1
ATF3	EEF2
ATF3	PITX2
NR2E1	PITX2
NR2E1	ZBTB14
NR2E1	LEF1
NR2E1	MEIS1
NR2E1	NOG
NR2E1	CREB1
NR2E1	UPF3B
NR2E1	SP1
NR2E1	CRX
RPS14	SLC25A5
RPS14	RPL10
RPS14	TP53
RPS14	PABPC1
RPS14	CEBPZ
RPS14	KRAS
RPS14	SP1
RPS14	EEF2
RPS14	ESR1
RPS14	PRKAB2
RPS14	FN1
RPS14	UPF3B
RPS14	HNF4A
RPS14	GRB2
RPS14	ACTA2
TRAPPC12	MYL2
TRAPPC12	SP1
TRAPPC12	TRPC1
TRAPPC12	VDR
TRAPPC12	LIN7B
TRAPPC12	ABCB1
IFNA8	FZD6
IFNA8	GRM3
IFNA8	IFNAR1
IFNA8	IFNGR2
NOTCH2NLA	PITX2
NOTCH2NLA	NOG
NOTCH2NLA	LEF1
NOTCH2NLA	KRTAP10-9
NOTCH2NLA	CRX
NOTCH2NLA	ESR1
NOTCH2NLA	CCDC26
LAMTOR4	PRKAG2
LAMTOR4	YWHAB
LAMTOR4	NOS1
LAMTOR4	NOS3
LAMTOR4	PRKAB2
LAMTOR4	MTOR
SLC8A1	DLG4
SLC8A1	NOG
SLC8A1	ATP2C1
SLC8A1	HTR3E
SLC8A1	TRPC1
SLC8A1	TRPA1
SLC8A1	AGT
SLC8A1	YWHAB
SLC8A1	NOS3
SLC8A1	GRIK2
SLC8A1	TRPV1
SLC8A1	IL5
SLC8A1	F2
SLC8A1	FN1
SLC25A5	PRKAB2
SLC25A5	SP1
SLC25A5	FN1
SLC25A5	HNF4A
SLC25A5	TP53
SLC25A5	GRB2
SLC25A5	ACTA2
SLC25A5	RPL10
SLC25A5	VDR
SLC25A5	RAB11A
SLC25A5	TNFRSF1A
SLC25A5	SF3B3
SLC25A5	GABARAPL2
SLC25A5	EEF2
SLC25A5	ESR1
AGT	MYL2
AGT	CYSLTR2
AGT	AOC1
AGT	ACTA2
AGT	KRAS
AGT	HNF4A
AGT	CSF1R
AGT	TNFRSF1A
AGT	ABCB1
AGT	TRPA1
AGT	GRB2
AGT	NOS3
AGT	FN1
AGT	IL5
AGT	TP53
AGT	NOG
AGT	PKD1
AGT	TRPC1
AGT	FZD6
AGT	CFTR
AGT	ADIPOQ
AGT	PML
AGT	PRKCB
AGT	GRM3
AGT	F2
AGT	ESR1
AGT	PRKCA
AGT	ERN1
AGT	VDR
AGT	NOS1
AGT	GUCY1B1
AGT	ABCC3
AGT	REN
AGT	TRPV1
LMO3	NOG
LMO3	TFAP4
LMO3	CRX
LMO3	VDR
LMO3	LEF1
LMO3	PITX2
LMO3	MEIS1
LMO3	HNF4A
LMO3	VBP1
LMO3	GOLGA2
NOS3	TNFRSF1A
NOS3	EFEMP2
NOS3	AKR1D1
NOS3	ABCB1
NOS3	GUCY1B1
NOS3	CSF1R
NOS3	AOC1
NOS3	ESR1
NOS3	DHRS4
NOS3	PRKCA
NOS3	TP53
NOS3	IL5
NOS3	PPP2R5A
NOS3	F2
NOS3	ADIPOQ
NOS3	FN1
NOS3	SP1
NOS3	GOLGA2
NOS3	NOS1
SP1	GUCY1B1
SP1	F2
SP1	VDR
SP1	FN1
SP1	GRM3
SP1	MEIS1
SP1	HOXA3
SP1	GABARAPL2
SP1	GRB2
SP1	OGA
SP1	LEMD2
SP1	PITX2
SP1	THOC6
SP1	ABCC3
SP1	ADIPOQ
SP1	ACAT2
SP1	KRT19
SP1	HNF4A
SP1	SIN3B
SP1	TP53
SP1	CHAT
SP1	UPF3B
SP1	PPP2R5A
SP1	TPR
SP1	GOLGA2
SP1	ABCB1
SP1	TRPC1
SP1	MTOR
SP1	NGF
SP1	CREB1
SP1	TBX5
SP1	TFAP4
SP1	CRX
SP1	RAB11A
SP1	PABPC1
SP1	LYPD3
SP1	IFNAR1
SP1	HR
SP1	EFEMP2
SP1	ESR1
SP1	PML
SP1	RRBP1
SP1	REEP1
