#tail	head
PRKAA2	ESR1
PRKAA2	SLC5A1
PRKAA2	IL5
PRKAA2	TNF
PRKAA2	SIRT1
PRKAA2	EXOSC1
PRKAA2	DNMT1
PRKAA2	PRKAB1
PRKAA2	TRIM14
PRKAA2	HSP90AB1
PRKAA2	BID
PRKAA2	PSMD11
PRKAA2	APEX1
PRKAA2	PPARG
PRKAA2	CALM1
PRKAA2	AKT3
PRKAA2	HNF4A
PRKAA2	BCL2
PRKAA2	PARP1
PRKAA2	HMOX1
PRKAA2	HTT
PRKAA2	STAT6
ARHGEF2	PPP2R1A
ARHGEF2	UBE2A
ARHGEF2	KLC2
ARHGEF2	TAL1
ARHGEF2	PSME3
ARHGEF2	RAC3
ARHGEF2	MYC
ARHGEF2	YWHAQ
ARHGEF2	NTRK1
ARHGEF2	HNF4A
ARHGEF2	RHOA
ARHGEF2	RELA
ARHGEF2	CLTC
ARHGEF2	MARK4
ARHGEF2	COPS7A
ARHGEF2	PPARG
ARHGEF2	ETS2
ARHGEF2	RHOBTB2
PSMF1	ESR1
PSMF1	PSMD11
PSMF1	UBB
PSMF1	FBXL7
PSMF1	TNF
PSMF1	HNF4A
PSMF1	PSMD13
PSMF1	RELA
PSMF1	FBXO7
PSMF1	HNRNPD
PSMF1	PSME3
PSMF1	AR
PSMF1	CUL2
PSMF1	SKP2
PSMF1	PSMA8
PSMF1	GATA1
PSMF1	CD40LG
PSMF1	TNFRSF13C
PSMF1	UBE2A
PSMF1	PPP2R1A
SKP2	RAD50
SKP2	PSME3
SKP2	UBE2V1
SKP2	ESR1
SKP2	PPP1CA
SKP2	UBB
SKP2	UBE2B
SKP2	PSMD11
SKP2	CEBPA
SKP2	UBE2A
SKP2	MYC
SKP2	OFD1
SKP2	HSP90AB1
SKP2	COPS7A
SKP2	TAL1
SKP2	AR
SKP2	HNF4A
SKP2	CUL2
SKP2	PSMD13
IL10	SRC
IL10	MYC
IL10	TRPV6
IL10	STAT6
IL10	HSF1
IL10	CYP19A1
IL10	CCL2
IL10	IL5
IL10	SLCO1B1
IL10	AR
IL10	ETS2
IL10	CYP2D6
IL10	TGFB1
IL10	PSME3
IL10	MYOG
IL10	SOX9
IL10	CSF1R
IL10	CD40LG
IL10	CYP26B1
IL10	TNF
IL10	CEBPA
IL10	HSPA1A
IL10	ZEB1
IL10	HMOX1
IL10	PPARG
IL10	GTF2A1
IL10	EDNRB
IL10	ESR1
IL10	FGF2
IL10	PARP1
IL10	CALR
IL10	SLC5A1
IL10	HNRNPD
IL10	HNF4A
IL10	PPARA
IL10	JAK1
CEP131	HAUS5
CEP131	CSNK1D
CEP131	NTRK1
CEP131	TUBG2
CEP131	RAB3IP
CEP131	PPP2R1A
CEP131	MARK4
CEP131	DCTN3
CEP131	NME7
CEP131	OFD1
CEP131	TUBB4B
CEP131	TUBGCP3
DIS3L	CEBPA
DIS3L	GATA1
DIS3L	HNF4A
DIS3L	EXOSC1
DIS3L	HSPA1A
PLRG1	TOP2A
PLRG1	HNRNPK
PLRG1	DDX5
PLRG1	DHX16
PLRG1	MDC1
PLRG1	NTRK1
PLRG1	NCBP1
PLRG1	SNU13
PLRG1	SF3B4
PLRG1	HNRNPF
PLRG1	PCBP2
PLRG1	SNRPD1
PLRG1	HNRNPM
PLRG1	HNRNPD
PLRG1	RBM5
PLRG1	CFAP20
PLRG1	RNF4
PLRG1	U2AF1
PLRG1	SMU1
PLRG1	PHF5A
PLRG1	POLR2K
PLRG1	PPP1CA
PLRG1	PNN
PLRG1	PTBP1
PLRG1	SRRM1
PLRG1	FUS
PLRG1	HNRNPA0
PLRG1	CWC15
PLRG1	PUF60
GTF2A1	ERCC3
GTF2A1	SUPT4H1
GTF2A1	RNF4
GTF2A1	PHF12
GTF2A1	ATF2
GTF2A1	TGFB1
GTF2A1	CALM2
GTF2A1	MYOG
GTF2A1	ESR1
GTF2A1	POLR2K
GTF2A1	ZEB1
GTF2A1	CFAP20
GTF2A1	NCBP1
GTF2A1	KLC2
GTF2A1	UNC119
GTF2A1	FHL2
GTF2A1	FBXO11
GTF2A1	SIRT1
GTF2A1	HJV
GTF2A1	PSME3
GTF2A1	MYC
GTF2A1	SLC9A9
GTF2A1	CSNK2A1
GTF2A1	DDX5
LYST	KLC3
LYST	HNRNPM
LYST	CALM1
LYST	YWHAQ
LYST	TACC1
LYST	CALM2
RHOBTB2	ARHGEF7
RHOBTB2	GATA1
RHOBTB2	CEBPA
RHOBTB2	SRGAP2
RHOBTB2	ATF2
RHOBTB2	FGFR2
RHOBTB2	ARHGAP27
RHOBTB2	HSP90AB1
RHOBTB2	CHN2
SLCO1B1	BMP2
SLCO1B1	BID
SLCO1B1	GAPDH
SLCO1B1	CCL2
SLCO1B1	AR
SLCO1B1	SIRT1
SLCO1B1	GSTT1
SLCO1B1	RELA
SLCO1B1	PARP1
SLCO1B1	CSNK2A1
SLCO1B1	CEBPA
SLCO1B1	TNF
SLCO1B1	HMOX1
SLCO1B1	PPP2R1A
SLCO1B1	ESR1
SLCO1B1	INHBA
SLCO1B1	THRB
SLCO1B1	PPARG
SLCO1B1	HNF4A
SLCO1B1	PDGFB
SLCO1B1	TGFB1
SLCO1B1	PPARA
SLCO1B1	VAMP3
RAD50	SIRT1
RAD50	MDC1
RAD50	MCM5
RAD50	NTRK1
RAD50	HIST2H4A
RAD50	EEF2
RAD50	PPARA
RAD50	MYC
RAD50	OFD1
RAD50	HIST1H4K
RAD50	APEX1
RAD50	MSH2
RAD50	RNF4
RAD50	ZUP1
RAD50	POLR2K
RAD50	HNF4A
RAD50	UBB
RAD50	RANBP2
RAD50	PARP1
RAD50	MCM2
RAD50	HSPA1A
RAD50	SUMO1
RAD50	HIST1H4J
RAD50	ERCC3
RAD50	MCM4
RAD50	SLC5A1
RAD50	ESR1
RAD50	NCL
PNRC1	HNF4A
PNRC1	TGFB1
PNRC1	SOX9
PNRC1	BMP2
PNRC1	HSF1
PNRC1	CYP19A1
PNRC1	AR
PNRC1	DCP1B
PNRC1	ESR1
PNRC1	COMT
PNRC1	SLC5A1
PNRC1	TNF
PNRC1	ATF2
PNRC1	PPARA
PNRC1	PPARG
PPARA	COMT
