#tail	head
COG4	GCC2
COG4	COPG2
COG4	NTRK1
COG4	GABPA
COG4	EGFR
COG4	PSMC5
CLCN4	SLC12A7
CLCN4	ONECUT1
CLCN4	ESR2
PRPF31	HIST1H3E
PRPF31	ZNF792
PRPF31	PLRG1
PRPF31	HIST1H3J
PRPF31	HSF2BP
PRPF31	YBX1
PRPF31	SRSF6
PRPF31	POLR2L
PRPF31	DVL2
PRPF31	SRRM1
PRPF31	HIST1H3I
PRPF31	EIF4A3
PRPF31	DHX16
LHCGR	GNG7
KRTAP1-5	LCE1D
UBC	VCAM1
UBC	NFATC4
UBC	PSMC5
UBC	SYNCRIP
UBC	ZNF792
UBC	YWHAQ
UBC	NCOA6
UBC	BRCA1
UBC	MRPS22
UBC	UBE2A
UBC	RPN1
UBC	CDC37
UBC	PRKAB1
UBC	SKP1
UBC	AMFR
UBC	CRBN
UBC	NARS
UBC	H2AFX
UBC	NTRK1
UBC	DVL2
UBC	PSMA5
UBC	SYNJ2
UBC	TGFB1
UBC	RBM39
UBC	CCNE1
UBC	CTNNB1
UBC	NUMB
UBC	HNRNPM
UBC	YBX1
UBC	FCHO1
UBC	PALB2
UBC	ATF1
TMEM223	HTR3C
RUNDC3A	ETV7
RUNDC3A	GABPA
RUNDC3A	TCF3
UBE2I	PRSS23
UBE2I	TCF3
UBE2I	BRCA1
UBE2I	TGFB1
UBE2I	ZEB1
UBE2I	TRIM27
UBE2I	CEBPE
UBE2I	PUF60
UBE2I	DTX3L
FIS1	GABPA
FIS1	UBA52
FIS1	ESR2
FIS1	PIGP
FIS1	NOS3
FIS1	SLC10A6
FIS1	BCAP31
KDM5C	HIST1H3I
KDM5C	HIST1H3E
KDM5C	HIST1H3J
CRBN	PUF60
CRBN	SNRPD1
CRBN	BRCA1
CRBN	COPS3
CACNG4	TCF3
NUMB	PSMC5
NUMB	SPTAN1
NUMB	ESR2
NUMB	GLI1
NUMB	NAPA
NUMB	PRKCH
NUMB	EGFR
NUMB	RPN1
GABPA	ONECUT1
GABPA	PALB2
GABPA	SYNCRIP
GABPA	NOG
GABPA	MRPL3
GABPA	NIPBL
GABPA	FCHO1
GABPA	GMPR2
