#tail	head
IDH1	BBOX1
IDH1	AGPAT4
IDH1	CYP2C9
IDH1	SGTA
IDH1	PRDM14
IDH1	CYP7A1
IDH1	SLC25A16
RAF1	STIP1
RAF1	CYP2C9
RAF1	PRKACA
RAF1	MYC
PRDM6	PRDM14
PRDM6	LONRF1
AGPAT4	BBOX1
AGPAT4	SLC25A16
ME2	PDHA1
ME2	CYP2C9
CYP2C9	PDHA1
CYP2C9	PRKACA
GNA15	PRKACA
SLC25A16	PDHA1
TRMT10A	NR1H4
TRMT10A	PRKACA
SGTA	RTF2
SGTA	PDHA1
SGTA	TRIP13
SGTA	CALCOCO2
SGTA	PRKACA
SGTA	PRMT1
STIP1	TUBG1
PRMT1	NR1H4
PRMT1	MYC
PRMT1	C4orf17
MYC	DPM1
MYC	TFB2M
MYC	PDHA1
MYC	CALCOCO2
MYC	TUBG1
MYC	TRIP13
MYC	PRKACA
NR1H4	PRKACA
NR1H4	CYP7A1
LONRF1	C4orf17
LONRF1	CALCOCO2
DPM1	FBXO6
DPM1	TUBG1
TRIP13	FBXO6
PRDM14	BAHD1
BAHD1	CALCOCO2
CALCOCO2	BBOX1
TUBG1	FBXO6
TUBG1	TFB2M
TUBG1	PRKACA
BBOX1	RTF2
FBXO6	TFB2M
