#tail	head
KNL1	NPM1
KNL1	HIST1H2BD
KNL1	KIF2C
KNL1	DYNLL1
KNL1	CENPI
KNL1	INS
KNL1	CCNB1
KNL1	NOG
KNL1	CENPS
KNL1	HIST1H4D
WTAP	SUPT16H
WTAP	CENPI
WTAP	RBM39
WTAP	INS
WTAP	PABPC1
WTAP	MOV10
WTAP	MAGEA11
WTAP	SF3B4
WTAP	ELK1
WTAP	HIST1H4D
WTAP	TUBB
WTAP	GTF2F1
WTAP	IGKV1D-12
WTAP	SLU7
WTAP	DYNLL1
WTAP	SNRPA1
WTAP	CEBPG
ITGB8	MAZ
ITGB8	SRF
ITGB8	REPIN1
ITGB8	LEF1
ITGB8	TLN1
ITGB8	COL1A2
ITGB8	NOG
ITGB8	FYN
ITGB8	ITGB4
ITGB8	SP1
ITGB8	SHC2
ITGB8	NCAN
ITGB8	COL4A3
ITGB8	ITGA8
CCT3	HSPE1
CCT3	SETD1A
CCT3	G3BP1
CCT3	UBASH3B
CCT3	IGSF8
CCT3	RPN1
CCT3	NTRK1
CCT3	RIPK4
CCT3	SP1
CCT3	DNAJC7
CCT3	PHGDH
CCT3	SPTAN1
CCT3	MCM2
CCT3	TUBB
CCT3	XRN2
CCT3	PPP1R15A
CCT3	GABARAPL2
CD1B	MBLAC2
CD1B	KCNJ8
CD1B	RNF130
FAM83B	NOG
FAM83B	CDH1
FAM83B	CLTB
LRIF1	RFC5
LRIF1	RPA2
LRIF1	HIST1H3D
LRIF1	NPM1
LRIF1	HSPE1
LRIF1	MRPS12
LRIF1	RAP1B
NUP62	G3BP1
NUP62	NPM1
NUP62	MCM2
NUP62	POM121C
NUP62	CCDC121
NUP62	PELI2
NUP62	HSPA1L
NUP62	MAX
NUP62	SP1
NUP62	INS
NUP62	CPSF2
NUP62	KPNA2
NUP62	NEK6
NUP62	CCNB1
PFAS	PABPC1
PFAS	MTHFD1L
PFAS	RIPK4
PFAS	DNAJC7
PFAS	IARS
PFAS	GART
PFAS	NTRK1
PFAS	GCLM
PFAS	MOV10
SETD1A	SP1
SETD1A	C1orf35
SETD1A	IARS
SETD1A	ITM2B
SETD1A	MOV10
SETD1A	TJP1
SETD1A	XRN1
SETD1A	YAP1
SETD1A	SPTAN1
SETD1A	HIST1H4D
SETD1A	XRN2
SETD1A	PHGDH
SETD1A	HNRNPDL
SETD1A	ACTR1A
SETD1A	PABPC1
SETD1A	CDH1
SETD1A	G3BP1
SETD1A	CLTB
SETD1A	NPM1
SETD1A	CSNK2A1
SETD1A	HIST1H2BD
SETD1A	KIF5B
SETD1A	HIST1H3D
SETD1A	RPN1
SETD1A	GNPDA1
XRN1	SPTAN1
XRN1	ARMCX1
XRN1	CDH1
XRN1	RPA2
XRN1	NTRK1
XRN1	RPS4X
XRN1	RPN1
XRN1	XRN2
XRN1	LSM5
XRN1	PHGDH
COPS6	HNRNPDL
COPS6	EHBP1
COPS6	LRRC41
COPS6	NOD1
COPS6	NTRK1
COPS6	NPM1
COPS6	PABPC1
COPS6	SP1
COPS6	RPS4X
COPS6	COMMD2
COPS6	MAZ
COPS6	TUBB
COPS6	ASB5
COPS6	RFC5
COPS6	HSPA1L
COPS6	RPA2
NPM1	MEPCE
NPM1	TUBB
NPM1	TRIM32
NPM1	HIST1H2BD
NPM1	EGFR
NPM1	MAX
NPM1	GABARAPL2
NPM1	CENPI
NPM1	SRPK1
NPM1	JAK2
NPM1	RPS6
NPM1	NCOA3
NPM1	POM121C
NPM1	H1FX
NPM1	SRF
NPM1	CALM1
NPM1	PDX1
NPM1	MOV10
NPM1	KPNA2
NPM1	KNOP1
NPM1	EIF3L
NPM1	CENPS
NPM1	RPN1
NPM1	NTRK1
NPM1	HIST1H4D
NPM1	SMARCA4
NPM1	PABPC1
NPM1	CSNK2A1
NPM1	ABCC1
NPM1	SP1
NPM1	MCM2
NPM1	RPA2
NPM1	SUPT16H
NPM1	SNRPA1
NPM1	RPS4X
NPM1	USP15
NPM1	HIST1H3D
NPM1	CPSF2
NPM1	PHGDH
NPM1	BDP1
NPM1	YAP1
NPM1	IGSF8
NPM1	G3BP1
NPM1	SPTAN1
NPM1	MTHFD1L
SLC27A4	LEF1
SLC27A4	RIPK4
SLC27A4	NOG
SLC27A4	PNLIPRP1
SLC27A4	PTPN1
SLC27A4	TMBIM4
SLC27A4	NTRK1
CALM1	PABPC1
CALM1	TLN1
CALM1	JAK2
CALM1	SUPT16H
CALM1	MAPK9
CALM1	INS
CALM1	MOV10
CALM1	KCNQ5
CALM1	NOG
CALM1	SMARCA4
CALM1	FYN
CALM1	VAV1
CALM1	SP1
CALM1	ARAF
CALM1	EGFR
CALM1	PTPN1
CALM1	IGHV3-7
CALM1	GNG12
CALM1	IGKV1D-12
CALM1	CSNK2A1
CALM1	GCLM
CALM1	YAP1
CALM1	HNF1A
CALM1	EIF3L
CALM1	MCM2
CALM1	PDE4B
CALM1	CLTB
CALM1	HIST1H4D
CALM1	MAX
PTPN1	TLN1
PTPN1	MTHFD1L
PTPN1	EGFR
PTPN1	REPIN1
PTPN1	MAX
