#tail	head
ST3GAL6	NOG
ST3GAL6	CRLS1
ST3GAL6	SLC35A1
ST3GAL6	AP3D1
IKBKG	POLR2H
IKBKG	POLR1D
IKBKG	CPNE2
IKBKG	TPM1
IKBKG	HSPA1A
ANG	NOG
ANG	PSMC3
NR2F2	NOG
RNF13	INS
MED1	GLI3
BOLA2	INS
BOLA2	DDIT4L
BOLA2	XIAP
BOLA2	MCM2
BOLA2	COX15
TRAPPC2L	NOG
TRAPPC2L	INS
C2orf68	INS
C2orf68	NOG
XIAP	RPS27A
XIAP	NOG
GTF3C4	POLR1D
GTF3C4	MCM2
GTF3C4	GTF3C2
GTF3C4	POLR2H
NUP54	HSPA1A
NUP54	SNRPG
RPS27A	MCM2
RPS27A	AP2S1
RPS27A	POLR2H
RPS27A	SLC13A2
RPS27A	PSMC3
GLI3	NOG
GLI3	PSMC3
SLC13A2	FXYD3
ANXA2	CHRNA1
ANXA2	MCM2
ANXA2	GRIK2
ANXA2	GRIK1
ANXA2	GRIK5
ANXA2	PCSK9
ANXA2	NOG
GDF9	SNRPG
GDF9	TTF1
DNAL4	INS
DNAL4	AP2S1
GRIK1	TMOD3
GRIK1	GRIK2
GRIK1	FXYD3
GRIK1	GRIK5
GRIK1	TPM1
FIP1L1	NOG
FIP1L1	POLR2H
MYL3	GRIK2
MYL3	DDIT4L
MYL3	TPM1
MYL3	GRIK5
MYL3	CHRNA1
MYL3	TMOD3
FXYD3	GRIK2
FXYD3	SLC35A1
TTF1	POLR1D
TTF1	POLR2H
NOG	CPNE2
NOG	DDIT4L
NOG	MCM2
NOG	PCSK9
NOG	ST6GALNAC1
NOG	TPM1
POLR1D	POLR2H
POLR1D	GTF3C2
INS	TPM1
INS	SNRPG
INS	HSPA1A
CPNE6	MCM2
CRLS1	SLC35A1
CRLS1	ST6GALNAC1
GRIK2	TPM1
CHRNA1	TPM1
CHRNA1	TMOD3
CPNE2	MCM2
DDIT4L	SNRPG
DDIT4L	RAB3IL1
MCM2	HSPA1A
POLR2H	GTF3C2
POLR2H	SNRPG
TPM1	GRIK5
TPM1	COX15
TPM1	TMOD3
PCSK9	AP2S1
TMOD3	COX15
TMOD3	GRIK5
SLC35A1	ST6GALNAC1
