#tail	head
PRKACG	ADCY7
PRKACG	ADCY4
PRKACG	KCNJ11
PRKACG	SRC
CYSRT1	GEM
CYSRT1	MKRN3
CYSRT1	PITX2
PEX5	MKRN3
PEX5	NUDT7
SYCP1	STAG1
SYCP1	UBE2I
UBE2I	MKRN3
UBE2I	GFI1
UBE2I	SMURF2
UBE2I	HIST1H2BL
UBE2I	SEC13
UBE2I	MARCH5
UBE2I	STAG1
UBE2I	HIST1H4F
HOXA4	PITX2
HOXA4	HIST1H2BL
HOXA4	HIST1H4F
HOXA4	RIPK4
FOXF2	PITX2
FOXF2	MKRN3
FOXF2	ACSL1
FOXF2	TRPC4
FOXF2	SOBP
FOXF2	MARCH5
FOXF2	PRG4
FOXF2	SMURF2
FAR1	NUDT7
FAR1	ACSL1
FAR1	RIPK4
FAR1	AGPAT4
SLC2A8	KCNJ11
SLC2A8	SOD1
SLC2A8	ACSL1
P4HA1	RIPK4
P4HA1	PXN
EHMT2	GFI1
EHMT2	HIST1H2BL
EHMT2	L3MBTL2
EHMT2	ERCC6
EHMT2	HIST1H4F
ACSL1	ADCY7
ACSL1	AGPAT4
ACSL1	ADCY4
ACSL1	NME5
CPN2	SLC30A1
CPN2	SLC30A6
LMOD1	PXN
LMOD1	TRPC4
PXN	TRPC4
PXN	SRC
PXN	HIST1H4F
NME5	PDE8A
NME5	ADCY4
NME5	ADCY7
INCENP	SEC13
INCENP	STAG1
INCENP	ADCY7
EIF3G	SRC
EIF3G	SF1
EIF3G	SEC13
EIF3G	SORBS2
PRG4	PITX2
PRG4	QTRT2
ADCY7	PDE8A
KCNJ11	SLC30A1
GEM	MKRN3
QTRT2	IGHA1
HIST1H4F	STAG1
HIST1H4F	HIST1H2BL
HIST1H4F	SRC
HIST1H4F	L3MBTL2
HIST1H4F	SF1
HIST1H4F	ERCC6
SORBS2	SRC
SORBS2	PDLIM1
SORBS2	PITX2
SORBS2	SF1
SORBS2	SEC13
SORBS2	EPCAM
SORBS2	DPP4
GFI1	PDLIM1
GFI1	PITX2
GFI1	AGPAT4
GFI1	SRC
GFI1	MARCH5
SLC30A6	AMBP
SLC30A6	SOD1
ADCY4	PDE8A
DPP4	SRC
DPP4	SF1
DPP4	SEC13
SOD1	SLC30A1
SOD1	MARCH5
SOD1	NFE2L2
SOD1	ERCC6
MKRN3	SF1
SLC30A1	PITX2
SLC30A1	AMBP
PDLIM1	SEC13
PDLIM1	PITX2
PDLIM1	SRC
PDLIM1	SF1
PDLIM1	NUBP1
SF1	SRC
SF1	SEC13
SF1	EPCAM
CIAO2B	RIPK4
CIAO2B	NUBP1
STAG1	SEC13
STAG1	HIST1H2BL
HIST1H2BL	ERCC6
SEC13	SRC
SEC13	EPCAM
AMBP	IGHA1
MARCH5	TMEM139
ERCC6	NFE2L2
SOBP	NFE2L2
NFE2L2	SRC
TMEM139	SMURF2
EPCAM	SRC
