#tail	head
HERC2	OBSL1
HERC2	MLEC
HERC2	GNA13
HERC2	KIFC3
MLEC	NKX2-1
MLEC	GATA3
SLC30A7	HPR
SLC30A7	A2M
CBY1	CDK6
RAB11FIP2	FAM90A1
RPL9	RPS28
RPL9	RPS25
RPL9	IGSF8
RPL9	GSPT1
RPL9	CUL3
RPL9	VCAM1
MFSD5	NKX2-1
MFSD5	CREB3L1
MFSD5	GPR42
MFSD5	LAT
AIP	GNA13
AIP	CLEC7A
CUL3	DDX6
CUL3	MTHFD2
CUL3	RPS25
GNA13	SFPQ
GNA13	GNG11
GNA13	RHOF
PTEN	SH3GL3
PTEN	LAT
PTEN	VAV3
PTEN	EGF
PTEN	RPS25
PTEN	TRIO
PTEN	CLTB
PTEN	GNG11
PTEN	MTHFD2
PTEN	PIK3CA
ADIPOQ	CNR2
ADIPOQ	GRK2
ADIPOQ	NKX2-1
ADIPOQ	GPR42
ADIPOQ	CREB3L1
GRK2	CLTB
GRK2	GNG11
GRK2	EGF
GRK2	CNR2
GRK2	DDX6
CREB3L1	CEBPG
CREB3L1	ADAM33
GATA3	RBPMS
UTP20	RPS28
UTP20	SFPQ
UTP20	PRPF3
UTP20	OBSL1
RPS28	IGSF8
RPS28	VCAM1
RPS28	RPP38
RPS28	RPS25
RPS28	GSPT1
RPP38	CDC23
RPP38	RPS25
KIFC3	FAM90A1
KIFC3	CCDC28A
HHEX	PIK3CA
HHEX	NKX2-1
HHEX	ANAPC10
FPR2	GNG11
CDC23	ANAPC10
CDC23	RBPMS
TRIO	RHOF
LAT	GNG11
LAT	PIK3CA
LAT	VAV3
LAT	OBSL1
LAT	EGF
LAT	GPR42
CDK6	RBPMS
CDK6	CEBPG
EGF	PIK3CA
EGF	NKX2-1
EGF	CEBPG
EGF	VAV3
EGF	HPR
EGF	NAV2
EGF	SH3GL3
EGF	CLTB
EGF	GNG11
RHOF	A2M
RHOF	VAV3
VCAM1	SFPQ
VCAM1	PRPF3
VCAM1	CNR2
VCAM1	DDX6
VCAM1	RPS25
DDX6	SFPQ
DDX6	OBSL1
CNR2	GNG11
GSPT1	RPS25
VAV3	GNG11
VAV3	PIK3CA
LDLRAP1	SH3GL3
LDLRAP1	PIK3CA
LDLRAP1	CLTB
GNG11	PIK3CA
RPS25	IGSF8
SH3GL3	PIK3CA
NAV2	PRPF3
SFPQ	OBSL1
SFPQ	NKX2-1
SFPQ	CLTB
CLTB	PIK3CA
OBSL1	PRPF3
IGSF8	A2M
CEBPG	DMP1
CLEC7A	ADAM33
NKX2-1	ANAPC10
NKX2-1	DMP1
