#tail	head
SEC22B	ARCN1
SEC22B	ARF1
SEC22B	ESR1
SEC22B	TMED7
SEC22B	VHL
SEC22B	STX2
SEC22B	ELAVL1
SEC22B	ADRB2
GARS	PKLR
GARS	GFPT1
GARS	NTRK1
GARS	OTUB1
GARS	UGDH
GARS	GORASP2
GARS	HIST1H4L
GARS	CDK2
GARS	PPAT
GARS	USP11
GARS	BRCA1
GARS	HNF1A
GARS	CAND1
GARS	PDIA3
GARS	VBP1
GARS	CORO1C
GARS	HIST1H4E
GARS	MAZ
GARS	ATIC
STAR	HGF
STAR	ABCA1
STAR	ADRB2
STAR	CDK2
STAR	ESR1
STAR	APOA1
STAR	TNF
STAR	PGR
STAR	APP
STAR	CCHCR1
ADGRL2	TCF3
ADGRL2	LEF1
ADGRL2	PAX2
ADGRL2	NTRK1
ADGRL2	FOXA1
ADGRL2	FLRT1
ADGRL2	HNF1A
ADGRL2	CUX1
HIST1H4L	ESR1
HIST1H4L	APP
HIST1H4L	LEF1
HIST1H4L	NTRK1
HIST1H4L	BMI1
HIST1H4L	FOXA1
HIST1H4L	PGR
HIST1H4L	PXN
HIST1H4L	TERF1
HIST1H4L	HIST1H2AA
HIST1H4L	CDK2
HIST1H4L	BRCA1
HIST1H4L	TNF
HIST1H4L	MTHFR
HIST1H4L	CCNB1
HIST1H4L	BCL9
HIST1H4L	FLOT2
HIST1H4L	H2AFX
HIST1H4L	GFPT1
HIST1H4L	VHL
HIST1H4L	SMARCD3
HIST1H4L	CAND1
PGR	APP
PGR	MAZ
PGR	STAT5A
PGR	DYNLL2
PGR	BMI1
PGR	FOXA1
PGR	MTHFR
PGR	CDK2
PGR	PXN
PGR	TYRO3
PGR	HIST1H4E
PGR	BRCA1
PGR	MED1
PGR	JDP2
PGR	ESR1
PGR	TNF
PGR	CD36
PGR	SLCO1B1
TXNRD1	NTRK1
TXNRD1	LEF1
TXNRD1	SMARCD3
TXNRD1	ELAVL1
TXNRD1	FLOT2
TXNRD1	MED1
TXNRD1	TGS1
TXNRD1	ESR1
TXNRD1	THOP1
TXNRD1	TNF
LTK	CDC25A
LTK	PTPN3
LTK	STAT5A
LTK	DUSP2
LTK	CDKN3
FLOT2	TARDBP
FLOT2	CAND1
FLOT2	HIST1H4E
FLOT2	APP
FLOT2	GORASP2
FLOT2	ICAM4
FLOT2	GSTT1
FLOT2	UGDH
SLC17A3	ATP6V0A2
SLC17A3	SLC22A5
SLC17A3	SLC7A5
SLC17A3	TCF3
SLC17A3	SLC24A5
SLC17A3	SLC7A6
SLC17A3	NR1H4
SLC17A3	ATP6V1H
SLC17A3	RANGRF
SLCO1B1	CDK2
SLCO1B1	TTR
SLCO1B1	CCNB1
SLCO1B1	GSTT1
SLCO1B1	MPO
SLCO1B1	TNF
SLCO1B1	MED1
SLCO1B1	NR1H4
SLCO1B1	ESR1
SLCO1B1	GPR35
SLCO1B1	APP
SLCO1B1	APOA1
SLCO1B1	VHL
SLCO1B1	STAT5A
SLCO1B1	HNF1A
SLCO1B1	GSTZ1
USP11	CAND1
USP11	H2AFX
USP11	NTRK1
USP11	BMI1
USP11	STAT5A
THOP1	PSMA8
THOP1	NTRK1
PXN	APP
PXN	PKLR
PXN	TPM2
PXN	HIST1H4E
PXN	CDC42
PXN	ARF1
PXN	SLC24A5
PXN	G3BP1
PXN	PDIA3
PXN	CD36
PXN	NCK2
FAM157B	PDIA3
AGPAT1	MAZ
AGPAT1	ELAVL1
AGPAT1	SLC27A6
AGPAT1	LEF1
AGPAT1	TTR
AGPAT1	GPD2
AGPAT1	APOA1
MTHFR	ADRB2
MTHFR	TCF3
MTHFR	LDHC
MTHFR	HIST1H4E
MTHFR	TTR
MTHFR	ARF1
MTHFR	UGDH
MTHFR	TYMS
MTHFR	APP
MTHFR	SERPIND1
MTHFR	APOA1
MTHFR	TNF
MTHFR	PDIA3
NCAPH	NTRK1
NCAPH	CDK2
NCAPH	CCNB1
NCAPH	ESR1
PSMA8	VHL
PSMA8	TNF
PKLR	HNF1A
PKLR	PDE1B
PKLR	PPAT
PKLR	SLC7A6
PKLR	ATP6V0A2
PKLR	GPR161
PKLR	LDHC
PKLR	GFPT1
PKLR	ATP6V1H
PKLR	SLC7A5
CCHCR1	EIPR1
CCHCR1	GNG13
CCHCR1	KRT31
CCHCR1	GOLGA6L9
CDKN3	LEF1
CDKN3	EPHA3
CDKN3	NTRK1
CDKN3	CDC25A
CDKN3	BMI1
CDKN3	TEK
CDKN3	ESR1
CDKN3	TYRO3
CDKN3	CDK2
EPHA3	PIK3CB
EPHA3	DUSP2
EPHA3	HNF1A
EPHA3	PIK3CD
EPHA3	CUX1
EPHA3	PTPN3
EPHA3	CDC25A
ABCA1	MED1
ABCA1	APP
ABCA1	SLC7A5
ABCA1	SMARCD3
ABCA1	CDC42
ABCA1	APOA1
ABCA1	FOXJ1
ABCA1	MAZ
ABCA1	SLC7A6
ABCA1	TNF
ABCA1	TGS1
ABCA1	NR1H4
TERF1	HIST1H4E
TERF1	BRCA1
TERF1	GSTT1
TERF1	DPYSL3
TERF1	S100A7
TERF1	H2AFX
KRT31	ICAM4
KRT31	USP2
KRT31	NUFIP2
KRT31	SLC15A3
KRT31	STK16
ADRB2	PIK3CD
ADRB2	VHL
ADRB2	LEF1
ADRB2	PIK3CB
ADRB2	TCF3
ADRB2	TSPAN7
ADRB2	APOA1
ADRB2	TNF
ADRB2	PAX2
ADRB2	ESR1
ADRB2	GNG13
ADRB2	TARDBP
APP	KAT6B
APP	SERPIND1
APP	GORASP2
APP	TEK
APP	CD36
APP	ESR1
APP	MPO
APP	GNG13
APP	FTH1
APP	GSTZ1
APP	HNF1A
APP	SLC45A4
APP	DUSP2
APP	SLC7A6
APP	TARDBP
APP	S100A7
APP	TPM2
APP	DDX17
APP	TNF
APP	NR1H4
APP	CDC25A
APP	PDIA3
APP	ARCN1
APP	HIST1H4E
APP	FLRT1
APP	PTPN3
APP	SLC22A5
APP	TNNT1
APP	TTLL6
APP	VHL
APP	APOA1
APP	G3BP1
APP	NOB1
APP	TCF3
APP	USP2
APP	CDK2
APP	LEF1
APP	CELF4
APP	ZNF410
APP	TTR
APP	GSTT1
SLITRK2	NR1H4
SLITRK2	CUX1
SLITRK2	TCF3
SLITRK2	FOXJ1
SLITRK2	STAT5A
SLITRK2	LEF1
SLITRK2	FOXA1
ELAVL1	SLC22A5
ELAVL1	SLC7A5
ELAVL1	VHL
ELAVL1	BCL9
ELAVL1	G3BP1
ELAVL1	CDK2
ELAVL1	TCF3
ELAVL1	SLC27A6
ELAVL1	LEF1
ELAVL1	GFPT1
ELAVL1	NTRK1
ELAVL1	CDC42
ELAVL1	STX2
ELAVL1	RSBN1
ELAVL1	CAND1
ELAVL1	ESR1
ELAVL1	ATP6V0A2
ELAVL1	HNRNPC
ELAVL1	JDP2
ELAVL1	S100A10
ELAVL1	TARDBP
ELAVL1	NUFIP2
ELAVL1	TNF
ELAVL1	TOLLIP
ELAVL1	H2AFX
ELAVL1	UGDH
ELAVL1	FOXA1
ELAVL1	MED1
ELAVL1	DDX17
ELAVL1	SLC9A6
ELAVL1	CORO1C
ELAVL1	BMI1
ELAVL1	CCNB1
ELAVL1	TMED7
TEK	DUSP2
TEK	PIK3CB
TEK	CDC25A
TEK	PTPN3
TEK	PIK3CD
TEK	STAT5A
NUFIP2	TARDBP
NUFIP2	NR1H4
NUFIP2	ESR1
NUFIP2	LEF1
NUFIP2	BMI1
NUFIP2	TFDP2
NUFIP2	TCF3
NUFIP2	MAZ
NUFIP2	STAT5A
NUFIP2	BRCA1
NUFIP2	PAX2
NUFIP2	RREB1
NUFIP2	G3BP1
SLC27A6	GPD2
SLC27A6	TCF3
GORASP2	TMED7
GORASP2	CDK2
GORASP2	TCF3
GORASP2	UGDH
GORASP2	GSTZ1
FOXJ1	SYT4
FOXJ1	TNF
FOXJ1	ZKSCAN5
FOXJ1	CELF4
FOXJ1	CD36
GOLGA6L9	ZNF410
GOLGA6L9	USP2
CDK15	SERPINB7
CDK15	CDK2
CDK15	LEF1
CDK15	S100A7
CDK15	NR1H4
OTUB1	H2AFX
OTUB1	PDIA3
OTUB1	MAZ
OTUB1	CNN3
OTUB1	VHL
OTUB1	PPAT
OTUB1	CCNB1
OTUB1	TTR
OTUB1	ARCN1
OTUB1	NTRK1
OTUB1	ATIC
OTUB1	CAND1
OTUB1	ESR1
OTUB1	TARDBP
SPRY4	PIK3CB
SPRY4	TCF3
SPRY4	STAT5A
SPRY4	LEF1
SPRY4	MAZ
SPRY4	PIK3CD
SPRY4	HNF1A
S100A10	CUX1
S100A10	TCF3
S100A10	MAZ
S100A10	FSHR
S100A10	USP2
S100A10	TNF
STK16	DDIT4L
STK16	VHL
STK16	NIF3L1
H2AFX	BCL9
H2AFX	TNF
H2AFX	BRCA1
H2AFX	ESR1
H2AFX	LEF1
H2AFX	HIST1H4E
H2AFX	HNRNPC
H2AFX	BMI1
H2AFX	FOXA1
