#tail	head
RAF1	BAG2
RAF1	CFTR
RAF1	STAT6
RAF1	AKAP9
RAF1	CASP8
RAF1	DYNLL2
RAF1	VEGFA
RAF1	FGA
RAF1	FCER1G
RAF1	AKT1
RAF1	PACSIN3
RAF1	PAK3
RAF1	ESR1
RAF1	CCT8
RAF1	NPHP4
RAF1	NF1
RAF1	AHR
RAF1	PPP2CB
RAF1	MAPK3
RAF1	HGF
RAF1	PRKACA
HSD17B2	PDGFA
HSD17B2	VEGFA
HSD17B2	AKT1
HSD17B2	SHC1
HSD17B2	JUN
HSD17B2	PRKACA
HSD17B2	MT-ATP6
HSD17B2	AHR
HSD17B2	HSD17B4
HSD17B2	STS
HSD17B2	TP53
HSD17B2	PTK2
HSD17B2	KLK3
HSD17B2	SULT1E1
HSD17B2	GSN
HSD17B2	NFKB1
HSD17B2	PAEP
HSD17B2	CYP3A5
HSD17B2	NR1I2
HSD17B2	CREBBP
HSD17B2	CACNA1E
HSD17B2	CXCL8
HSD17B2	MDH2
HSD17B2	ESR1
HSD17B2	CYP17A1
STS	PRKACA
STS	PTK2
STS	HEXA
STS	SULT1E1
STS	JUN
STS	CYP3A5
STS	CXCL8
STS	ESR1
STS	CYP17A1
STS	SLC25A6
STS	HSD17B4
ESR1	CYP17A1
ESR1	IGLV3-1
ESR1	AGFG1
ESR1	MVP
ESR1	NF1
ESR1	MED14
ESR1	GNG10
ESR1	PDGFA
ESR1	AHR
ESR1	ANXA2
ESR1	STAG2
ESR1	VEGFA
ESR1	SHC1
ESR1	FH
ESR1	GSN
ESR1	UBA52
ESR1	MAFG
ESR1	GATA3
ESR1	PIK3R1
ESR1	C4A
ESR1	SKI
ESR1	PTGER2
ESR1	JUN
ESR1	MAPK3
ESR1	PIP4K2B
ESR1	IGLV2-11
ESR1	IGHV4-34
ESR1	HCAR2
ESR1	PRKACA
ESR1	F2R
ESR1	ST3GAL1
ESR1	MT-ATP6
ESR1	KAT2A
ESR1	HIST1H4B
ESR1	HSD17B4
ESR1	TP53
ESR1	PTK2
ESR1	KLK3
ESR1	TCF3
ESR1	SULT1E1
ESR1	SMPD1
ESR1	KRT1
ESR1	KIF5A
ESR1	ADRB2
ESR1	AKT1
ESR1	CA1
ESR1	NFKB1
ESR1	IGHV4-59
ESR1	CYP3A5
ESR1	SLC25A6
ESR1	PAEP
ESR1	CREBBP
ESR1	FUBP1
ESR1	PPP2CB
ESR1	CACNA1E
ESR1	NR1I2
ESR1	PTPN1
ESR1	CUL4B
ESR1	CXCL8
PTGER2	GNG10
PTGER2	ADRB2
PTGER2	VEGFA
PTGER2	HGF
PTGER2	PDGFA
PTGER2	PTK2
DYNLL2	ACTR10
DYNLL2	RAB3GAP1
DYNLL2	INCENP
DYNLL2	PAFAH1B1
DYNLL2	PPP2CB
DYNLL2	RAB6B
DYNLL2	COPE
DYNLL2	ESPL1
DYNLL2	DCTN5
DYNLL2	STAG2
DYNLL2	CDC42
RHOG	ACTG1
RHOG	IGLV3-1
RHOG	AKT1
RHOG	IGHV4-59
RHOG	GDI2
RHOG	IGHV4-34
RHOG	SHC1
RHOG	TRIP10
RHOG	KIF5A
RHOG	PAK3
RHOG	PIP4K2B
RHOG	JUN
RHOG	MAFG
RHOG	PAK5
RHOG	PIK3R1
RHOG	IGLV2-11
RHOG	GNG10
PTPN1	MVP
PTPN1	HGF
PTPN1	JUN
PTPN1	PTK2
PTPN1	PIK3R1
PTPN1	FGA
PTPN1	ACTG1
PTPN1	AKT1
PTPN1	PYGL
PTPN1	SHC1
PTPN1	COX14
CFTR	ATP2A2
CFTR	PRKACA
CFTR	HSD17B4
CFTR	TP53
CFTR	PTK2
CFTR	TRIP10
CFTR	PACSIN3
CFTR	ADRB2
CFTR	VAPA
CFTR	APOA2
CFTR	BAG2
CFTR	PYGL
CFTR	NCBP2
CFTR	PPP2CB
CFTR	LRRFIP2
CFTR	LGALS3BP
CFTR	CEP170
CFTR	GDI2
CFTR	AGFG1
CFTR	MDH2
CFTR	MVP
CFTR	AP2A1
CFTR	HGF
CFTR	PDGFA
CFTR	PIK3CD
CFTR	VEGFA
CFTR	GSN
CFTR	UBA52
CFTR	COPE
