#tail	head
ST3GAL6	CDIPT
HMGCR	ATP1B3
HMGCR	DLD
HMGCR	ACSBG1
MEF2A	XK
MEF2A	C2CD2L
MEF2A	IFNB1
WTAP	VIM
WTAP	HNF4A
AK2	DLD
AK2	RPS27A
AK2	HNF4A
AK2	ACSBG1
AK2	PDE3A
AK2	ATP5ME
HNF4A	ADSS
HNF4A	XK
HNF4A	NSF
HNF4A	C2CD2L
HNF4A	NDUFA6
HNF4A	CDIPT
HNF4A	RPS27A
HNF4A	ATP1B1
HNF4A	WDR19
HNF4A	ATM
HNF4A	DCAF11
HNF4A	DDX41
ATP5ME	C15orf48
ATP5ME	NSF
ATP1B1	MTCH2
ATP1B1	KCNC2
ATP1B1	DLD
ATP1B1	CHRNA3
ATP1B3	KCNC2
ATP1B3	MTCH2
ATP1B3	LRRC7
ATP1B3	PTP4A3
ATP1B3	DLD
EGR1	XK
GJA8	C2CD2L
GJA8	P2RY13
RPS13	VIM
RPS13	RPS11
RPS13	RPS27A
GNAZ	PDE3A
GNAZ	RAPGEF3
RPS27A	ATAD2
RPS27A	POLR2H
RPS27A	RPS11
RPS27A	MTCH2
RPS27A	ATM
RPS27A	ACSBG1
CHRNA3	GNAI1
CHRNA3	VIM
CHRNA3	LRRC7
RPS11	ADSS
NDUFA6	MTCH2
NDUFA6	C15orf48
XK	NLRC4
GOT1L1	ADSS
MICU1	DCAF11
MICU1	DOCK5
WDR19	DOCK5
WDR19	RAPGEF3
WDR19	PDE3A
LRRC7	VIM
C15orf48	MTCH2
GNAI1	PDE3A
GNAI1	P2RY13
NLRC4	ATM
RAPGEF3	CCT2
ATAD2	ACSBG1
DLD	CCT2
DCAF11	CCT2
DOCK5	CCT2
