#tail	head
RIF1	CUL7
RIF1	RNF4
RIF1	HIST1H3D
RIF1	RMI1
RIF1	NFKB1
RIF1	PPP1R3A
RIF1	GRB2
RIF1	NOTCH1
RIF1	MRGBP
RIF1	HIST1H4B
RIF1	LAMTOR5
RIF1	LMNA
RIF1	HIST1H3J
AGO2	TRIM25
AGO2	HIST1H4B
AGO2	TOP2A
AGO2	PTEN
AGO2	EIF4E
AGO2	MOV10
AGO2	UBR5
AGO2	LEF1
AGO2	SET
AGO2	HNRNPF
AGO2	POLR2D
AGO2	NPM1
AGO2	CTR9
AGO2	INS
AGO2	NOTCH1
AGO2	HNRNPA1
AGO2	SEC24C
AGO2	HIST1H3J
AGO2	BTRC
AGO2	SH3GL1
AGO2	HIST1H3D
AGO2	HNRNPL
AGO2	TSNAX
AGO2	NUP133
ALAD	AFF4
ALAD	KRT5
ALAD	MT2A
ALAD	ISOC2
ALAD	NT5C2
ALAD	SERPINB3
UBQLN4	TCF3
UBQLN4	DAZAP2
UBQLN4	PRPF40A
SNRPG	MOV10
SNRPG	SNRPF
SNRPG	HNRNPA1
SNRPG	NUP133
SNRPG	HIST1H3J
SNRPG	POLR2D
SNRPG	INS
SNRPG	SRSF7
SNRPG	PRPF40A
SNRPG	U2AF2
SNRPG	CPSF4
SNRPG	TRAP1
SNRPG	SYNCRIP
SNRPG	HNRNPL
SNRPG	HIST1H3D
SNRPG	HNRNPF
SNRPG	CWC22
GNG12	FFAR3
GNG12	GNA15
GNG12	IGKV2D-30
GNG12	GRB2
GNG12	GNAI1
GNG12	NTSR1
GNG12	PRKCA
GNG12	PRKCG
GNG12	CCL5
GNG12	SOS1
GNG12	FLT3LG
GNG12	VAV1
GNG12	PRKCD
GNG12	IGHV3-7
GNG12	PIK3AP1
GNG12	HNRNPL
GNG12	AKT1
GNG12	PTEN
GNG12	GNB1
TAOK2	RCHY1
TAOK2	GRB2
TAOK2	INS
TAOK2	TCF3
TAOK2	ZIC1
PRDX5	TRAP1
PRDX5	KHSRP
PRDX5	ADH6
PRDX5	ZIC1
PRDX5	PRDX4
PRDX5	NME1
PRDX5	FERMT3
PRDX5	GABPB1
INS	SLC2A1
INS	DDX19B
INS	HMGA1
INS	TOP2A
INS	PDX1
INS	HIST1H2AA
INS	PTEN
INS	MOV10
INS	LAMTOR5
INS	MT2A
INS	HSD17B6
INS	UTP15
INS	TRPC1
INS	L3MBTL2
INS	GNAI1
INS	RMI1
INS	MGAT2
INS	SET
INS	RARA
INS	POLR1C
INS	NFKB1
INS	EIF5
INS	HLA-DRA
INS	EIF4E
INS	GRB2
INS	CCL5
INS	PRKAG1
INS	PRKCA
INS	SNRPF
