#tail	head
LEF1	TP53
LEF1	CDK1
LEF1	WEE1
LEF1	SMPD3
LEF1	APC
LEF1	TTYH2
LEF1	FYN
LEF1	KAT6A
HNF4A	TTYH2
HNF4A	OSMR
HNF4A	TP53
HNF4A	APC
HNF4A	EDEM1
HNF4A	TSEN34
HNF4A	SMPD1
HNF4A	C2
HNF4A	JUN
PRKCZ	JAK1
PRKCZ	TRAF2
PRKCZ	VAV1
PRKCZ	GEM
PRKCZ	SMPD1
PRKCZ	SMPD3
PRKCZ	FYN
APC	POM121C
APC	JAK1
APC	IL24
APC	TP53
APC	VAV1
DERL2	OS9
DERL2	EDEM1
WEE1	TP53
WEE1	CDK1
TRAF2	GEM
TRAF2	SMPD1
TRAF2	SMPD3
TRAF2	JUN
SMPD1	TP53
SMPD1	JAK1
SMPD1	OS9
SMPD1	SMPD3
SDHB	GEM
SDHB	JUN
IL1A	JAK1
IL1A	JUN
IL1A	OSMR
IL1A	TP53
IL1A	IL12RB1
IL1A	CXCL1
OSMR	JUN
OSMR	JAK1
OSMR	IL12RB1
OSMR	IL31
FYN	PCDHGA7
FYN	CD2AP
FYN	IGHV4-39
FYN	JAK1
FYN	VAV1
FYN	CDK1
FYN	CD2
GEM	JUN
GZMB	IL12RB1
GZMB	JUN
GZMB	CD2AP
CXCL1	IL12RB1
CD2	CD2AP
IGHV4-39	VAV1
IGHV4-39	C2
VAV1	JAK1
VAV1	SHB
VAV1	JUN
POM121C	CDK1
KAT6A	TP53
KAT6A	L1TD1
JAK1	SHB
JAK1	IL12RB1
JAK1	IL24
JAK1	IL31
CDK1	JUN
CDK1	TP53
L1TD1	TP53
L1TD1	TSEN34
IL24	IL12RB1
IL24	JUN
IL24	TP53
CD2AP	JUN
JUN	TP53
