#tail	head
GOLT1B	MMGT1
GOLT1B	STOM
AHSA1	EGLN3
AHSA1	CKAP5
AHSA1	RPS11
AHSA1	HIST1H4E
AHSA1	CCT4
AHSA1	NAP1L1
AHSA1	HIST2H2BE
AHSA1	CUL3
ATG5	MAX
ATG5	SP1
ATG5	NAP1L1
ATG5	TGFA
ATG5	CAMP
CUL3	CAND1
CUL3	ACTA2
CUL3	SART3
CUL3	RPL19
CUL3	PYCR2
CUL3	TCP1
CUL3	CCT4
CUL3	UBE2C
CUL3	NAP1L1
CUL3	UBE2A
CUL3	RPLP2
GPI	NANS
GPI	PA2G4
GPI	TKT
GPI	CUL7
FHIT	AMPD3
FHIT	ASNS
FHIT	ACSM5
DAGLA	AR
DAGLA	STOM
DAGLA	IGLC6
UBE2C	SRF
UBE2C	CDK1
UBE2C	CDC26
UBE2C	CUL7
UBE2C	ASB12
UBE2C	FBXW11
GPR52	ESRRA
CAND1	HIST2H2BE
CAND1	PARP1
CAND1	PLOD3
CAND1	EGLN3
CAND1	CCNB1
CAND1	ASB12
CAND1	HIST1H4E
CAND1	SART3
CAND1	RPLP2
CAND1	UNK
CAND1	ACTA2
CAND1	FBXW11
CAND1	RPS11
CAND1	TSR1
CAND1	SP1
MOGAT3	PLA2G4A
MOGAT3	ACSM1
MOGAT3	MOGAT2
MOGAT3	ACSM4
BYSL	RPS11
BYSL	RPSA
BYSL	TSR1
UBE2A	RLIM
UBE2A	ASB12
UBE2A	FBXW11
UBE2A	TSR1
UBE2A	ASB11
UBE2A	CDK1
UBE2A	CDC26
UBE2A	CALCOCO2
UBE2A	HIST1H2BI
UBE2A	SP1
UBE2A	HIST2H2BE
HIST2H2BE	MAX
HIST2H2BE	HIST1H4E
HIST2H2BE	AR
HIST2H2BE	STOM
HIST2H2BE	CDK1
HIST2H2BE	H2AFB2
HIST2H2BE	CUL7
DCUN1D1	ASB11
DCUN1D1	ASB8
DCUN1D1	ASB12
DCUN1D1	ASNS
CCNB1	CDC26
CCNB1	MAX
CCNB1	CKAP5
CCNB1	PARP1
CCNB1	HIST1H2BI
ASB11	AMPD3
ASB8	UBE2Q1
PYCR2	CDK1
PYCR2	AMPD3
PYCR2	AGPAT5
PYCR2	ASNS
PYCR2	FKBPL
PYCR2	MOGAT2
AKAP2	BABAM2
SMAD4	SLC25A35
TRIP4	TCP1
TRIP4	AR
TRIP4	SRF
KCTD9	PLOD3
KCTD9	CDPF1
TRAPPC2	YKT6
TRAPPC2	RAB3IP
TRAPPC2	TGFA
TRAPPC2	MAX
AMPD3	ASNS
AMPD3	RLIM
AMPD3	CUL7
AMPD3	LDB3
AMPD3	FBXW11
AMPD3	CDC26
LBP	TRPV6
CASK	STARD10
CASK	RPSA
CASK	PRPF3
CASK	SP1
P2RY4	TRPV6
P2RY4	S100A13
P2RY4	ORAI1
P2RY4	PARP1
CALCOCO2	RPSA
UBE2Q1	CUL7
UBE2Q1	ASB12
CUL7	RPL19
CUL7	CCT4
CUL7	TCP1
CUL7	HIST1H4E
CUL7	PA2G4
CUL7	RPLP2
CUL7	RPSA
CUL7	NAP1L1
CUL7	CDK1
CUL7	PARP1
FBXW11	CNOT1
FBXW11	MAX
FBXW11	SP1
FBXW11	RIPK4
PRICKLE3	SP1
PRICKLE3	NME7
PRPF3	SART3
PRPF3	SP1
ACSM5	ACSM1
ACSM5	ACSM4
ACSM5	ASNS
ACSM5	AGPAT5
ACSM5	PLA2G2D
ACSM5	ACER1
ACTG2	RPS11
ACTG2	ACTA2
ACTG2	RPL19
ACTG2	SRF
ACTG2	RPLP2
ACTG2	PAK6
ALB	PA2G4
ALB	TRPV6
ALB	RPSA
ESRRA	AR
ESRRA	SART3
