#tail	head
ARID5B	FAM120C
ARID5B	CXCL8
ARID5B	NOG
ARID5B	CHD2
ARID5B	MYC
ARID5B	PARP12
ARID5B	ADARB2
ARID5B	OGT
ARID5B	ESR2
ARID5B	TNF
ARID5B	AR
PTK2	DUSP14
PTK2	MYC
PTK2	ARG2
PTK2	CCND1
PTK2	ATM
PTK2	AR
PTK2	CITED2
PTK2	BMX
PTK2	CDC25A
PTK2	DRD2
PTK2	GJB2
PTK2	GSN
PTK2	PIK3CG
PTK2	ESR2
PTK2	TNF
PTK2	GSK3B
PTK2	CRH
PTK2	STAT6
PTK2	BDKRB1
PTK2	CXCL8
PTK2	RPS6KB1
PTK2	FOXO1
PTK2	TRIM25
PTK2	SLC11A2
PTK2	PTPN6
PTK2	EPM2A
PTK2	TGFA
PTK2	CSK
PTK2	SLC47A2
PTK2	VIP
PTK2	NOG
PTK2	ORM1
SLC44A2	NHLH1
SLC44A2	BDKRB1
PPP2CA	RPS6KB1
PPP2CA	TRIM25
PPP2CA	GSK3B
PPP2CA	ARRB1
PPP2CA	RPL35A
PPP2CA	RPL27A
PPP2CA	WNT8A
PPP2CA	CXCL8
PPP2CA	MTF1
PPP2CA	FBXL16
PPP2CA	NOG
PPP2CA	COPE
PPP2CA	MYC
PPP2CA	TNF
PPP2CA	JUN
PPP2CA	ARAF
PPP2CA	AR
PPP2CA	RPL10
PPP2CA	KIF2A
RPL27A	NOG
RPL27A	RPL35A
RPL27A	MYC
RPL27A	RPL10
RPL27A	JUN
RPL27A	PES1
RPL27A	CUL2
RPL27A	QARS
RPL27A	SEC61B
RPL27A	CUL7
RPL27A	TRIM25
CHD2	NOG
CHD2	FOXO1
CHD2	TNF
CHD2	ADARB2
CHD2	ATP12A
CHD2	PARP12
CHD2	CDC5L
CHD2	OGT
CHD2	ESR2
CHD2	MAZ
CHD2	AR
CHD2	FOXF2
CHD2	FAM120C
CAPZA2	SEC61B
CAPZA2	KIF11
CAPZA2	COPE
CAPZA2	DAB2
CAPZA2	OBSL1
CAPZA2	ESR2
CAPZA2	AR
CAPZA2	TRIM25
CAPZA2	GSN
CAPZA2	TMED3
CAPZA2	CAPZA3
CAPZA2	CUL7
CAPZA2	KIF2A
DRD2	CRH
DRD2	NOG
DRD2	CXCL8
DRD2	CARM1
DRD2	BMP10
DRD2	GNG11
DRD2	TNF
DRD2	TGFA
DRD2	IFNA5
DRD2	VIP
DRD2	GNG10
DRD2	GDF5
DRD2	YIPF3
DRD2	TFF1
DRD2	WNT8A
PARP12	ADARB2
PARP12	NOG
PARP12	TRIM25
PARP12	IRF7
PARP12	MAZ
PARP12	OGT
PARP12	FAM120C
GSK3B	CCND1
GSK3B	TBP
GSK3B	SLC11A2
GSK3B	AR
GSK3B	CDC25A
GSK3B	CDK4
GSK3B	ATP12A
GSK3B	JUN
GSK3B	MYC
GSK3B	QARS
GSK3B	RPS6KB1
GSK3B	GDF15
GSK3B	RXRA
GSK3B	NOG
GSK3B	CXCL8
GSK3B	WNT8A
GSK3B	FOXO1
GSK3B	VIM
GSK3B	TNF
GSK3B	FAM193B
GSK3B	EPM2A
GSK3B	ARRB1
GSK3B	STAT6
GSK3B	OGT
GSK3B	MAZ
TGFA	GNG10
TGFA	TNF
TGFA	CSK
TGFA	GRM3
TGFA	ARRB1
TGFA	ABI2
TGFA	GNG11
TGFA	HPCA
TGFA	CXCL8
TGFA	GRM7
TGFA	DRD5
TGFA	PIK3CG
TGFA	ESR2
TGFA	DAB2
TGFA	JUN
TGFA	AR
GDPGP1	CDC25A
GDPGP1	ATP12A
GDPGP1	PYGB
GDPGP1	EPM2A
GDPGP1	PTPN6
GDPGP1	OPLAH
GDPGP1	DUSP14
GDPGP1	ATP5MC2
FAM120C	ADARB2
FAM120C	OGT
FAM120C	CDC5L
FAM120C	ESR2
FAM120C	JUN
FAM120C	MTF1
PIK3CG	GNG10
PIK3CG	ARRB1
PIK3CG	ABI2
PIK3CG	GNG11
PIK3CG	FOXF2
PIK3CG	CXCL8
PIK3CG	STAT6
PIK3CG	GSN
PIK3CG	RPS6KB1
PIK3CG	DAB2
PIK3CG	PTPN6
CST3	GSN
CST3	ATM
CST3	LDB3
CST3	PF4V1
CST3	NOG
CST3	APOC1
CST3	OBSL1
CST3	SEC61B
KIF11	AR
KIF11	MYC
KIF11	ADARB2
KIF11	CAPZA3
KIF11	COPE
KIF11	CDC5L
KIF11	TNF
KIF11	TMED3
TFF1	GSN
TFF1	ESR2
TFF1	ATM
TFF1	JUN
TFF1	TBP
TFF1	CRH
TFF1	SMARCB1
TFF1	CXCL8
TFF1	CARM1
TFF1	TNF
TFF1	VIP
GSN	SLC47A2
GSN	JUN
GSN	LDB3
GSN	CUL7
GSN	PF4V1
GSN	CARM1
GSN	NOG
GSN	SEC61B
GSN	CSK
GSN	ARRB1
GSN	TNF
GSN	APOC1
GSN	OBSL1
GSN	CCND1
GSN	ATM
GSN	MAZ
GSN	AR
GSN	SLC11A2
GSN	ESR2
COPE	SEC61B
COPE	CAPZA3
COPE	TMED3
COPE	HERC2
COPE	KIF2A
COPE	TRIM25
GPRASP1	NOG
GPRASP1	NPBWR1
GPRASP1	STMN2
CXCL8	ARG2
CXCL8	DRD5
CXCL8	ESR2
CXCL8	GRM7
CXCL8	CRH
CXCL8	GNG10
CXCL8	AR
CXCL8	TNF
CXCL8	SLC47A2
CXCL8	JUN
CXCL8	VIP
CXCL8	HPCA
CXCL8	ARRB1
CXCL8	BDKRB1
CXCL8	SLC11A2
CXCL8	RXRA
CXCL8	NOG
CXCL8	CCND1
CXCL8	MYC
CXCL8	BRD4
CXCL8	GNG11
CXCL8	UGT1A9
CXCL8	GRM3
CARNS1	PDE6G
CARNS1	NME5
CARNS1	NME4
CARNS1	NME1-NME2
APOC1	OBSL1
APOC1	SEC61B
APOC1	RXRB
APOC1	LDB3
APOC1	ATM
APOC1	PF4V1
NME1-NME2	TCIRG1
NME1-NME2	OPLAH
NME1-NME2	PDE6G
NME1-NME2	NME5
NME1-NME2	GPT
NOG	WNT8A
NOG	IRF7
NOG	DUSP14
NOG	VIM
NOG	MYC
NOG	COMMD9
NOG	ARG2
NOG	CCND1
NOG	ENPEP
NOG	AR
NOG	UGT2B28
NOG	CITED2
NOG	CHCHD7
NOG	OBSL1
NOG	GJB2
NOG	STAT6
NOG	SEC61B
NOG	ESR2
NOG	B4GALT4
NOG	IRX3
NOG	STMN2
NOG	ORM1
NOG	CDC5L
NOG	TCIRG1
NOG	DAB2
NOG	TBP
NOG	JUN
NOG	CRH
NOG	GDF15
NOG	THY1
NOG	ABI2
NOG	GNG11
NOG	CARM1
NOG	GDF5
NOG	OPLAH
NOG	THRB
NOG	GNG10
NOG	FOXO1
NOG	NME4
NOG	BRD4
NOG	TRIM25
NOG	GRM3
NOG	SLC11A2
NOG	FBXL16
NOG	ARRB1
NOG	RUFY2
NOG	PPIF
NOG	PTH1R
ACVR1C	BMP10
ACVR1C	SMAD5
ACVR1C	GDF5
ACVR1C	ESR2
ACVR1C	GDF15
ACVR1C	FOXF2
CCND1	CDK4
CCND1	FOXO1
CCND1	TNF
CCND1	ARG2
CCND1	SLC47A2
CCND1	AR
CCND1	VIP
CCND1	THRB
CCND1	CUL7
CCND1	ESR2
CCND1	MAZ
CCND1	RPS6KB1
CCND1	TRIM25
CCND1	FOXF2
CCND1	SLC11A2
CCND1	JUN
CCND1	MYC
BMP10	GRM3
BMP10	DRD5
BMP10	GRM7
BMP10	FOXF2
BMP10	SMAD5
BMP10	GDF5
IRF7	LRMDA
IRF7	GRM7
IRF7	TNF
IRF7	RPS6KB1
IRF7	TRIM25
IRF7	ATP5MC2
IRF7	IFNA5
IRF7	ARAF
IRF7	CUL2
IRF7	GRM3
PIGY	GALNT4
PIGY	OGT
PIGY	GXYLT1
PIGY	UGT1A9
PIGY	B4GALT4
PIGY	UGT2B28
PIGY	A4GALT
PIGY	EXTL1
PIGY	B3GALT4
ARAF	CSK
ARAF	ARRB1
ARAF	CDK4
ARAF	TNF
ARAF	STAT6
ARAF	AIFM1
ARAF	MYC
ARAF	HERC2
HERC2	OBSL1
HERC2	ESR2
HERC2	TRIM25
HERC2	ATM
HERC2	MYC
RPS6KB1	RXRB
RPS6KB1	AR
RPS6KB1	STAT6
RPS6KB1	FOXF2
RPS6KB1	TRIM25
RPS6KB1	MYC
RPS6KB1	RXRA
RPS6KB1	CDK4
RPS6KB1	ESR2
RPS6KB1	TNF
KIF2A	PES1
KIF2A	SLC11A2
KIF2A	SMARCB1
KIF2A	OBSL1
KIF2A	HDGF
KIF2A	CAPZA3
KIF2A	ESR2
KIF2A	TMED3
KIF2A	JUN
FOXO1	THRB
FOXO1	OGT
FOXO1	MAZ
FOXO1	ATM
FOXO1	AR
FOXO1	CITED2
FOXO1	CHCHD7
FOXO1	CDK4
FOXO1	VIP
FOXO1	ESR2
FOXO1	SMAD5
FOXO1	CRH
FOXO1	FOXF2
FOXO1	TNF
GNG11	GRM7
GNG11	BDKRB1
GNG11	ABI2
GNG11	TRHR
GNG11	VIP
GNG11	DRD5
GNG11	ESR2
GNG11	PTH1R
GNG11	CRH
GNG11	NPBWR1
GNG11	GNG10
GNG11	GRM3
PTH1R	ESR2
PTH1R	MAZ
PTH1R	AR
PTH1R	GNG10
PTH1R	ALG10
PTH1R	JUN
PTH1R	ARRB1
PTH1R	FOXF2
PTH1R	ATP12A
YIPF3	ALG10
ESR2	CRH
ESR2	PPIF
ESR2	AR
ESR2	JUN
ESR2	MYC
ESR2	PRPF31
ESR2	VIM
ESR2	CARM1
ESR2	MTF1
ESR2	SMARCB1
ESR2	BRD4
ESR2	NME4
ESR2	DAAM1
ESR2	CAPN1
ESR2	OGT
ESR2	SEC61B
ESR2	ABI2
ESR2	DUSP14
ESR2	PYGB
ESR2	TNF
ESR2	ATM
ESR2	C1QBP
ESR2	TMED3
ESR2	RPL10
ESR2	SLC47A2
ESR2	UBP1
ESR2	VIP
ESR2	GNG10
ESR2	CDC5L
ESR2	TRIM25
ESR2	PES1
FRK	CSK
FRK	PTPN6
FRK	EPM2A
FRK	CDC25A
FRK	DUSP14
SCNM1	VIM
SCNM1	CCDC33
STAT6	FOXF2
STAT6	TRIM25
STAT6	PTPN6
STAT6	CDK4
STAT6	MAZ
STAT6	CITED2
STAT6	IRX3
STAT6	THY1
STAT6	CSK
STAT6	JUN
STAT6	VIP
OPLAH	NME5
OPLAH	PYGB
OPLAH	QARS
OPLAH	GPT
OPLAH	NME4
OPLAH	GLUD1
FOXF2	RXRB
FOXF2	CRH
FOXF2	CITED2
FOXF2	TBP
FOXF2	MYC
FOXF2	SMAD5
FOXF2	MTTP
FOXF2	ENPEP
FOXF2	CHCHD7
TMED3	CAPZA3
IFNA5	GRM7
IFNA5	GRM3
IFNA5	DRD5
IFNA5	PTPN6
RXRA	COPS2
RXRA	UGT1A9
RXRA	CITED2
RXRA	DAB2
RXRA	TBP
RXRA	TNF
RXRA	CARM1
RXRA	THRB
RXRA	SMARCB1
RXRA	TRIM25
B3GALT4	NME5
B3GALT4	B4GALT4
B3GALT4	UGT1A9
B3GALT4	UGT2B28
B3GALT4	OGT
B3GALT4	GALNT4
B3GALT4	GXYLT1
B3GALT4	EXTL1
B3GALT4	A4GALT
B3GALT4	NME4
B3GALT4	DAAM1
MUC13	TRIM25
MUC13	GJB2
MUC13	GALNT4
WNT8A	GNG10
WNT8A	GRM3
WNT8A	ARRB1
WNT8A	GRM7
WNT8A	DRD5
AIFM1	JUN
AIFM1	CUL2
AIFM1	TRIM25
