#tail	head
EDEM3	HSPA5
EDEM3	DNAJC10
EDEM3	PDIA4
EDEM3	FBXO6
EDEM3	HNF4A
BTBD9	KIAA1143
BTBD9	COPS6
BTBD9	COPS5
GRIN2B	FXYD4
GRIN2B	RASGRP2
GRIN2B	FYN
GRIN2B	SCN7A
GRIN2B	SRC
GRIN2B	SLC9A9
RAD9A	ABL1
RAD9A	RAD1
RAD9A	FAAP100
RAD9A	ERCC4
RAD9A	YWHAZ
RAD9A	COPS5
RAD9A	E2F1
RAD9A	BARD1
CCT6A	FBXO4
CCT6A	SRC
CCT6A	FBXO6
CCT6A	HNF4A
CCT6A	CRY2
CCT6A	YWHAZ
HMGB3	PAX5
HMGB3	E2F1
HMGB3	PDIA4
FXYD4	SPZ1
FXYD4	SCN7A
HNF4A	PRKAB2
HNF4A	TIMM23
HNF4A	EZH2
HNF4A	MDFI
HNF4A	SP2
HNF4A	HSPA5
HNF4A	AQP6
HNF4A	OTC
HNF4A	SLC2A8
HNF4A	CRY2
HNF4A	COPS5
HNF4A	FBXO4
HNF4A	PTBP2
HNF4A	RASGRP2
HNF4A	PDIA4
HNF4A	BARD1
HNF4A	SRC
DNAJC10	HSPA5
DNAJC10	COPS5
OR51A4	GNAL
OR51A4	RTP2
SRC	GEMIN5
SRC	RASGRP2
SRC	CCAR2
SRC	DDX20
SRC	DVL1
SRC	FYN
SRC	PDE4D
SRC	CDH18
SRC	ARRB1
SRC	HSPA5
SRC	COL18A1
SRC	COL4A6
SRC	IL6R
SRC	ABL1
SRC	CBL
SRC	SRF
FYN	RASGRP2
FYN	COL18A1
FYN	COL4A6
FYN	ABL1
FYN	MYOD1
FYN	CBL
FYN	IL2RG
FYN	DVL1
FYN	CDH18
FYN	PDE4D
AQP6	TIMM23
AQP6	RTP2
ZBTB25	HSPA5
ZBTB25	E2F1
ZBTB25	MYOD1
ZBTB25	PNMA5
ZBTB25	MDFI
OTC	SEPHS2
OTC	TIMM23
CRY2	EZH2
CRY2	FBXL21
CRY2	DDX20
CRY2	GEMIN5
RNF2	UBE2E2
RNF2	SMARCA4
RNF2	HIST1H2AM
RNF2	HSPA5
RNF2	CCAR2
RNF2	E2F1
RNF2	RNPS1
RNF2	XAB2
RNF2	EZH2
PRKAB2	PDE4D
PRKAB2	MDFI
PRKAB2	SRF
PRKAB2	SEPHS2
COPS6	COPS5
COPS6	FBXL21
COPS6	HSPA5
COPS6	FBXO4
COPS6	FBXO6
SLC9A9	MYOD1
SLC9A9	SCN7A
FBXL21	UBE2E2
FBXL21	COPS5
PDE4D	ARRB1
PDE4D	GNAL
PDE4D	ABL1
HSPA5	COPS5
HSPA5	MYOD1
HSPA5	YWHAZ
HSPA5	FBXO6
HSPA5	PDIA4
HSPA5	CBL
HSPA5	NUP155
HSPA5	ARRB1
IL6R	FAAP100
IL6R	IL2RG
IL6R	CBL
E2F1	SMARCA4
E2F1	HIST1H2AM
E2F1	MYOD1
E2F1	RNPS1
E2F1	EZH2
E2F1	KIAA1143
E2F1	BARD1
E2F1	SP2
DVL1	CBL
DVL1	ARRB1
DVL1	CXXC4
CBL	ABL1
CBL	YWHAZ
CBL	IL2RG
CBL	SLC2A8
CBL	RASGRP2
MDFI	VPS72
MDFI	FAAP100
MDFI	MYOD1
PAX5	RASGRP2
PAX5	PNMA5
PAX5	SRF
TIMM23	FBXO6
TIMM23	SLC2A8
SPZ1	CXXC4
KIAA1143	XAB2
COPS5	RNPS1
COPS5	FBXO4
COPS5	FBXO6
COPS5	NUP155
COPS5	DDX20
COPS5	YWHAZ
COPS5	CCAR2
COPS5	RAD1
COPS5	SMARCA4
COPS5	HIST1H2AM
FBXO4	UBE2E2
ARRB1	SLC2A8
ARRB1	HIST1H2AM
ARRB1	YWHAZ
GNAL	RTP2
BARD1	DDX20
BARD1	GEMIN5
BARD1	YWHAZ
BARD1	RAD1
BARD1	SMARCA4
BARD1	HIST1H2AM
BARD1	FAAP100
BARD1	XAB2
BARD1	ERCC4
BARD1	UBE2E2
HIST1H2AM	YWHAZ
HIST1H2AM	EZH2
HIST1H2AM	VPS72
ERCC4	XAB2
ERCC4	RAD1
ERCC4	FAAP100
UBE2E2	FBXO6
UBE2E2	PTBP2
PHAX	NUP155
PHAX	DDX20
NUP155	FBXO6
NUP155	DDX20
NUP155	RNPS1
NUP155	GEMIN5
SMARCA4	FBXO6
SMARCA4	MYOD1
SMARCA4	EZH2
SMARCA4	YWHAZ
SMARCA4	SRF
COL4A6	COL18A1
COL4A6	CCAR2
RAD1	YWHAZ
RAD1	FAAP100
YWHAZ	ABL1
YWHAZ	MYOD1
YWHAZ	FBXO6
YWHAZ	SRF
YWHAZ	RNPS1
RNPS1	XAB2
RNPS1	GEMIN5
RNPS1	DDX20
ABL1	SRF
GEMIN5	FBXO6
GEMIN5	DDX20
SRF	MYOD1
FBXO6	COL18A1
CCAR2	MYOD1
EZH2	MYOD1
COL18A1	MYOD1
