#tail	head
UXT	TAF1
UXT	ESR1
UXT	APP
UXT	ELK1
UXT	POLR2I
UXT	SUPT6H
RIF1	MLLT3
RIF1	EFTUD2
RIF1	HIST2H2BE
RIF1	FOXG1
RIF1	RPA3
RIF1	SUMO1
RIF1	GRB2
RIF1	OGA
RIF1	MRPS12
RIF1	SMN2
RIF1	HIST1H2BB
RIF1	HIST3H3
RIF1	RNF8
RIF1	SLC15A1
RIF1	HIST1H4D
RIF1	HIST1H3J
EBF2	CALM1
EBF2	PRPF38B
EBF2	REPIN1
EBF2	C2CD2L
EBF2	DUSP4
EBF2	FOXO4
EBF2	FN1
EBF2	MEIS1
ACTR1A	SMN2
ACTR1A	MYH9
ACTR1A	SPTAN1
ACTR1A	MEIS1
ACTR1A	G3BP1
ACTR1A	NXF1
ACTR1A	DYNLL1
ACTR1A	SF1
ACTR1A	AHI1
ACTR1A	MYH14
ACTR1A	CFTR
ACTR1A	PRKAR2B
ACTR1A	PRKACA
ACTR1A	TNIP2
ACTR1A	CEP70
ACTR1A	CETN2
ACTR1A	NTRK1
ACTR1A	YWHAE
ACTR1A	PITX2
ACTR1A	NINL
ACTR1A	CUL1
FOXG1	TNIP2
FOXG1	MYO9B
FOXG1	OGA
FOXG1	SATB1
FOXG1	SMAD4
FOXG1	CHD4
FOXG1	TCERG1
FOXG1	CRX
FOXG1	TP53
FOXG1	NOG
FOXG1	FOXO4
FOXG1	FOXO1
SATB1	CRX
SATB1	SUMO1
SATB1	ZMIZ1
SATB1	ESR1
SATB1	FOXO1
SATB1	MEIS1
SATB1	NOG
SATB1	CTNNB1
SATB1	FOXO4
SATB1	P4HA3
MYL12A	APP
MYL12A	RPL13
MYL12A	GNAI2
MYL12A	MYH14
MYL12A	AHCYL1
MYL12A	ZNF746
MYL12A	GRB2
MYL12A	SDHA
MYL12A	MYH9
MYL12A	EFTUD2
MYL12A	HSPA8
MYL12A	CFTR
MYL12A	HNRNPD
MYL12A	CALM1
MYL12A	ARHGEF7
MYL12A	ELK1
MYL12A	HNRNPA1
MYL12A	GRIK5
MYL12A	HNRNPH1
IL16	IL10RA
IL16	DUSP7
IL16	HSPA8
IL16	FTO
IL16	MEIS1
IL16	CSNK2A1
SETMAR	LEO1
SETMAR	AHCYL1
SETMAR	HSPA8
SETMAR	OGA
SETMAR	OR5I1
UBFD1	GNS
UBFD1	OGA
UBFD1	SLC11A2
UBFD1	CDH1
UBFD1	SEM1
UBA2	SRSF2
UBA2	BAG3
UBA2	CALU
UBA2	UBE2B
UBA2	USP34
UBA2	SUMO1
UBA2	ELK1
UBA2	AHCYL1
UBA2	NTRK1
UBA2	TAF1
MRPL9	MRPS5
MRPL9	NANOG
MRPL9	MRPS12
MRPL9	RPL13
MRPL9	SLX4
MRPL9	MRPL32
MRPL9	MRPL27
MRPL9	C6orf203
MRPL9	HNRNPA1
MRPL9	MRPS11
MRPL9	MRPL53
MRPL9	POU5F1
GRAP	PIK3CB
GRAP	KRAS
GRAP	HRAS
GRAP	TAF1
GRAP	BCR
GRAP	NRAS
GRAP	FOXO4
GRAP	PRKCG
GRAP	PRKCD
ELK1	EFTUD2
ELK1	SNIP1
ELK1	SIRT2
ELK1	FOS
ELK1	DNAJA2
ELK1	GRB2
ELK1	TOMM40
ELK1	CALU
ELK1	WDR73
ELK1	ARHGEF7
ELK1	OGA
ELK1	TP53
ELK1	DNAJA1
ELK1	PSEN1
ELK1	KRAS
ELK1	PAX6
ELK1	SUPT6H
ELK1	FN1
ELK1	NRAS
ELK1	HNRNPH1
ELK1	ELK4
ELK1	MAPK11
ELK1	APP
ELK1	MRPL27
ELK1	SUMO1
ELK1	SNX1
ELK1	TAF5L
ELK1	HNRNPD
ELK1	YWHAE
ELK1	PITX2
ELK1	POLR2M
ELK1	MEIS1
SERPINA4	SLC30A8
SERPINA4	FN1
SERPINA4	SLC11A2
SERPINA4	PSEN1
SERPINA4	TNNT1
SLC5A1	CXCL10
SLC5A1	NOS2
SLC5A1	FOS
SLC5A1	SLC11A2
SLC5A1	SIRT2
SLC5A1	ESR1
SLC5A1	FOXO1
SLC5A1	APP
SLC5A1	PIK3CB
SLC5A1	ITGB3
SLC5A1	G3BP1
SLC5A1	SUMO1
SLC5A1	PTPN11
SLC5A1	FN1
SLC5A1	HIF1A
SLC5A1	ALOX5
SLC5A1	SMN2
SLC5A1	SPTAN1
SLC5A1	MMP2
SLC5A1	PSEN1
SLC5A1	CXCL1
SLC5A1	SLC27A5
SLC5A1	CTNNB1
SLC5A1	ABL1
SLC5A1	SLC2A1
SLC5A1	FASN
SLC5A1	CALU
SLC5A1	CCL11
SLC5A1	TP53
SLC5A1	BCR
SLC5A1	SLC30A8
SOD3	NCF2
SOD3	ESR1
SOD3	APP
SOD3	HIF1A
SOD3	MMP2
SOD3	UBQLN1
SOD3	CFTR
SOD3	TP53
SOD3	BCL2
SOD3	HRAS
HDAC4	RPL30
HDAC4	HIST1H4D
HDAC4	PSEN1
HDAC4	SF1
HDAC4	NCOR1
HDAC4	HRAS
HDAC4	AGR2
HDAC4	MEF2A
HDAC4	TUBB3
HDAC4	HIST2H2BE
HDAC4	SUMO1
HDAC4	NOG
HDAC4	HIF1A
HDAC4	GNB1
HDAC4	ESR1
HDAC4	YWHAE
HDAC4	APP
HDAC4	CTNNB1
HDAC4	TARDBP
HDAC4	SMAD4
HDAC4	HNRNPA1
HDAC4	CALM1
HDAC4	SLC30A8
HDAC4	SDHA
HDAC4	GRB2
HDAC4	HSPA8
HDAC4	SMAD5
HDAC4	CEP70
HDAC4	HNRNPL
HDAC4	TRIM28
HDAC4	BAG2
HDAC4	RPL9P8
HDAC4	REPIN1
HDAC4	SLC11A2
TTN	ARRB1
TTN	TP53
TTN	AHCYL1
TTN	NTRK1
TTN	UBE2A
TTN	SRPK2
TTN	PRKACA
TTN	MYH9
TTN	APP
TTN	SF1
TTN	FN1
TTN	FOXO4
TTN	TNNT1
TTN	CALM1
TTN	MEIS1
TTN	CALU
TTN	CDH1
TTN	MEF2A
TTN	DDX56
TTN	CHD4
TTN	GRIK5
TTN	TARDBP
TTN	TCF3
TTN	ERP29
TTN	ESR1
TTN	RSL1D1
TTN	SRSF2
TTN	HIST2H2BE
TTN	AGR2
OR5I1	PRKCG
OR5I1	REEP5
OR5I1	RTP4
OR5I1	NOG
OR5I1	GNB1
OR5I1	C2CD2L
OR5I1	SRSF2
OR5I1	RTP3
OR5I1	CDX1
OR5I1	ACY1
MRPL53	MRPL32
MRPL53	MRPL27
MRPL53	MRPS5
MRPL53	C6orf203
MRPL53	HNRNPH1
MRPL53	PAX6
MRPL53	APP
MRPL53	MRPS12
MRPL53	MRPS11
DDX23	HNRNPA1
DDX23	PPIH
DDX23	MTREX
DDX23	RRP1B
DDX23	PPIL4
DDX23	HSPA8
DDX23	HNRNPL
DDX23	SRSF2
DDX23	RBM25
DDX23	HNRNPD
DDX23	SF1
DDX23	PRPF31
DDX23	NTRK1
DDX23	TCERG1
DDX23	EFTUD2
DDX23	RET
DDX23	CHD4
DDX23	CWC27
DDX23	HNRNPM
DDX23	RPA3
DDX23	THOC2
DDX23	HNRNPH1
DDX23	PRPF38A
DDX23	POLR2I
PSAT1	AHCYL1
PSAT1	NTRK1
PSAT1	NOG
PSAT1	RPL5
PSAT1	MYH9
PSAT1	APP
PSAT1	SPTAN1
PSAT1	FASN
PSAT1	BAG3
PSAT1	P4HA3
PSAT1	ACY1
PSAT1	TAF1
PSAT1	HNRNPL
PSAT1	HACD1
PSAT1	ALDH3A2
PSAT1	GNAI2
MPHOSPH8	NOG
MPHOSPH8	MRPS12
MPHOSPH8	HIST1H3J
MPHOSPH8	IFI16
MPHOSPH8	NXF1
ZNF317	ZNF174
ZNF317	RPL13
ZNF317	SUMO1
ZNF317	TRIM28
SUPT6H	TP53
SUPT6H	POLR2I
SUPT6H	TCF3
SUPT6H	CHD4
SUPT6H	GTF2H4
SUPT6H	HIST1H3J
SUPT6H	MLLT3
SUPT6H	CSNK2A1
SUPT6H	HNRNPL
SUPT6H	POLR2M
SUPT6H	LEO1
SUPT6H	PAAF1
SUPT6H	FOS
SUPT6H	ESR1
CXCL1	GNB1
CXCL1	ESR1
CXCL1	HIF1A
CXCL1	CXCL5
CXCL1	CXCL10
CXCL1	GNAI2
CXCL1	CCL11
CXCL1	HRAS
CXCL1	MEF2A
NCF2	TARDBP
NCF2	GNB1
NCF2	MMP2
NCF2	PRKCD
NCF2	HSPA8
NCF2	HIF1A
NCF2	BCL2
NCF2	TP53
NCF2	MAPK11
NCF2	GNAI2
PPIL4	SRSF2
PPIL4	HNRNPH1
PPIL4	PRPF31
PPIL4	HNRNPL
PPIL4	NTRK1
PPIL4	OGA
PPIL4	HNRNPM
PPIL4	HSPA8
PPIL4	HNRNPD
PPIL4	MEIS1
PPIL4	PRPF38A
PPIL4	POLR2I
PPIL4	PAX6
PPIL4	CWC27
PPIL4	PSMD3
PPIL4	HNRNPA1
PPIL4	HIST1H4D
PPIL4	MTREX
PPIL4	EFTUD2
PPIL4	SMAD5
PPIL4	PPIH
MYO9B	NTRK1
MYO9B	HIF1A
MYO9B	TNIP2
MYO9B	RCN1
MYO9B	ARPC3
MYO9B	CALM1
DKK2	MEF2A
DKK2	NOG
DKK2	PAX6
DKK2	ESR1
IGKV2D-40	FGF9
IGKV2D-40	PTPN11
IGKV2D-40	GNB1
IGKV2D-40	ESR1
IGKV2D-40	IRS2
IGKV2D-40	RASGRP2
IGKV2D-40	CALM1
IGKV2D-40	PRKCD
IGKV2D-40	GRB2
IGKV2D-40	RRP1B
IGKV2D-40	PIK3CB
IGKV2D-40	BCR
IGKV2D-40	NRG1
IGKV2D-40	PRKCG
IGKV2D-40	ABI1
DNAJA1	HSPA2
DNAJA1	RRP1B
DNAJA1	SF1
DNAJA1	EFTUD2
DNAJA1	TAF1
DNAJA1	HSPA8
DNAJA1	UBE2A
DNAJA1	WWP2
DNAJA1	OGA
DNAJA1	REPIN1
DNAJA1	TP53
DNAJA1	G3BP1
DNAJA1	CFTR
DNAJA1	NOS2
DNAJA1	NTRK1
DNAJA1	CUL1
DNAJA1	TNIP2
DNAJA1	ESR1
DNAJA1	TUBB3
DNAJA1	HIF1A
DNAJA1	SMN2
DNAJA1	YWHAE
DNAJA1	SPTAN1
GNAI2	PRKAR2B
GNAI2	HNRNPA1
GNAI2	CXCL5
GNAI2	RGS9
GNAI2	CXCL10
GNAI2	AHCYL1
GNAI2	RPL5
GNAI2	EGR4
GNAI2	CCR10
GNAI2	ESR1
GNAI2	SMN2
GNAI2	MYH9
GNAI2	APP
GNAI2	SPTAN1
GNAI2	RASGRP2
GNAI2	CD209
GNAI2	PRKCD
GNAI2	FASN
GNAI2	SF1
GNAI2	FKBP1A
GNAI2	GRIK5
GNAI2	KRAS
GNAI2	HRAS
GNAI2	HSPA8
GNAI2	PRKACA
GNAI2	HNRNPH1
GNAI2	RGS2
GNAI2	CFTR
GNAI2	PRKCG
GNAI2	TP53
GNAI2	GNB1
GNAI2	NOG
GNAI2	CALM1
GNAI2	TCF3
GNAI2	HNRNPD
GNAI2	ADRA1A
PLB1	WDR47
PLB1	SLC27A5
PLB1	PLA2G16
PLB1	ALDH3A2
PLB1	ACSS2
PLB1	CPT1A
WWP1	SF1
WWP1	PSMD3
WWP1	UBE2A
WWP1	ERP29
WWP1	HNRNPL
WWP1	TNIP2
WWP1	UBE2B
WWP1	DAG1
WWP1	WWP2
WWP1	NRG1
WWP1	SEM1
WWP1	ESR1
WWP1	SMAD5
WWP1	SMAD4
WWP1	TP53
WWP1	PSMD9
HNRNPA1	RPL30
HNRNPA1	HSPA2
HNRNPA1	NXF1
HNRNPA1	G3BP1
HNRNPA1	MTREX
HNRNPA1	RRP1B
HNRNPA1	SDHA
HNRNPA1	SF1
HNRNPA1	PRPF31
HNRNPA1	PSMD9
HNRNPA1	ARRB1
HNRNPA1	TAF1
HNRNPA1	HSPA8
HNRNPA1	CWC27
HNRNPA1	HNRNPM
HNRNPA1	MEF2A
HNRNPA1	HNRNPH1
HNRNPA1	TRUB2
HNRNPA1	MRPL32
HNRNPA1	MRPL27
HNRNPA1	UBQLN1
HNRNPA1	APP
HNRNPA1	TUBB3
HNRNPA1	CTNNB1
HNRNPA1	TP53
HNRNPA1	BAG2
HNRNPA1	FN1
HNRNPA1	HNRNPD
HNRNPA1	EXOSC4
HNRNPA1	NOS2
HNRNPA1	NTRK1
HNRNPA1	YWHAE
HNRNPA1	HIST3H3
HNRNPA1	RSL1D1
HNRNPA1	TARDBP
HNRNPA1	GRB2
HNRNPA1	CHD4
HNRNPA1	SRPK2
HNRNPA1	RPA3
HNRNPA1	TNIP2
HNRNPA1	PPIH
HNRNPA1	HIST1H3J
HNRNPA1	RPL5
HNRNPA1	CSNK2A1
HNRNPA1	EFTUD2
HNRNPA1	CUL1
HNRNPA1	MRPS5
HNRNPA1	SMN2
HNRNPA1	PRPF38A
HNRNPA1	HNRNPL
HNRNPA1	MYH9
HNRNPA1	SPTAN1
HNRNPA1	RPL13
HNRNPA1	ESR1
HNRNPA1	POLR2I
HNRNPA1	SRSF2
HNRNPA1	RPL9P8
HNRNPA1	OGA
MLLT3	PITX2
MLLT3	POLR2I
MLLT3	CHD4
MLLT3	GTF2H4
MLLT3	FOXO4
MLLT3	LEO1
MLLT3	NOG
MLLT3	TCF3
MLLT3	MEF2A
MLLT3	APP
PTPRM	TWF2
PTPRM	CDH1
PTPRM	RET
PTPRM	NTRK1
PTPRM	PHKG1
PTPRM	HIST2H2BE
PTPRM	NOG
PTPRM	CTNNB1
PTPRM	ABL1
PTPRM	FOXO4
GNS	CUL1
GNS	GRB2
GNS	OGA
GNS	ARRB1
GNS	TAF1
GNS	HSPA8
GNS	LDHAL6B
GNS	CLPX
GNS	ABL1
GNS	FOXO4
PSMD3	UBE2A
PSMD3	PAAF1
PSMD3	SLC2A1
PSMD3	CD40LG
PSMD3	UBQLN1
PSMD3	NXF1
PSMD3	REPIN1
PSMD3	NTRK1
PSMD3	ZNF746
PSMD3	NOS2
PSMD3	TCF3
PSMD3	POU5F1
PSMD3	PSMD9
PSMD3	UBE3A
PSMD3	BAG3
PSMD3	SEM1
PSMD3	EFTUD2
PSMD3	CFTR
PSMD3	HNRNPD
PSMD3	CUL1
PSMD3	TAF1
APP	S100A2
APP	IL10RA
APP	MAPK11
APP	SLC2A1
APP	MRPL27
APP	ABL1
APP	FGF9
APP	DUSP7
APP	RGS2
APP	CALM1
APP	ESR1
APP	PRKCG
APP	GNB1
APP	LFNG
APP	HIF1A
APP	CSNK2A1
APP	AEBP1
APP	MGAT5
APP	SNX1
APP	TET3
APP	IFI16
APP	ARRB1
APP	PRPF38A
APP	NOS2
APP	SPTAN1
APP	PITX2
APP	RSL1D1
APP	DUSP4
APP	TARDBP
APP	C6orf203
APP	SRPK2
APP	SMAD4
APP	AGR2
APP	SLX4
APP	UTP11
APP	HSPA2
APP	CTNNB1
APP	PRKCD
APP	SLC30A8
APP	RRP1B
APP	ACSS2
APP	FASN
APP	KRAS
APP	ASCL3
APP	CAVIN1
APP	EGR4
APP	VPS29
APP	HSPA8
APP	FOS
APP	GRB2
APP	CXCL10
APP	HNRNPL
APP	PRKACA
APP	NEK6
APP	MYH9
APP	HIST1H2BB
APP	TOMM40
APP	GNAT2
APP	RASGRP2
APP	UBQLN1
APP	CD40LG
APP	TNNT1
APP	REPIN1
APP	TAF9
APP	SLC11A2
APP	TP53
APP	PHKG1
APP	G3BP1
APP	RTP3
APP	RPL30
APP	MMP2
APP	DDC
APP	HIST1H4D
APP	TCF3
APP	BCL2
APP	PSEN1
APP	RBM25
APP	MCM10
APP	NQO1
APP	SF1
APP	FOXO4
APP	ITGB3
APP	COIL
APP	FOXO1
APP	HRAS
APP	CDH1
APP	MYH14
APP	FKBP1A
APP	ALOX5
APP	CFTR
APP	PCID2
APP	UBE3A
APP	ACY1
APP	POU5F1
APP	TNIP2
APP	FN1
IRS2	NRAS
IRS2	ABI1
IRS2	IGLV2-14
IRS2	BCL2
IRS2	NOG
IRS2	FGF9
