#tail	head
H2AFB1	POLR2F
H2AFB1	POLR2D
H2AFB1	GATA1
H2AFB1	HOXC4
H2AFB1	CXCL8
H2AFB1	CENPL
GNG12	CXCL8
GNG12	EIF4A2
GNG12	IGHV2-5
GNG12	INPP5J
GNG12	HSP90AA1
GNG12	GPSM2
GNG12	EDN1
GNG12	NPY1R
PPP1R32	PPP1CC
PPP1R32	AKAP8L
PPP1R32	FAM168B
PPP1R32	KRTAP19-6
PPP1R32	RPL21
DCUN1D1	ELOC
DCUN1D1	KRT1
DCUN1D1	HSP90AA1
DCUN1D1	SEC23A
SEC23A	DBN1
SEC23A	PA2G4
SEC23A	HSP90AA1
SEC23A	SMN1
SEC23A	SEPT2
SEC23A	P4HB
SEC23A	CNP
SEC23A	COBL
SEC23A	KRT1
SEC23A	SRRM2
SEC23A	SLC7A1
SEC23A	ADRM1
SEC23A	LDHB
SEC23A	ACTC1
SEC23A	EIF3J
TBK1	REL
TBK1	TLR3
TBK1	TRAF3
TBK1	LDHB
TBK1	MTPAP
TBK1	TRIM10
TBK1	HSP90AA1
TBK1	RPL7
TBK1	AZI2
GSR	SCO2
GSR	MMP2
GSR	CXCL8
GSR	SMARCB1
GSR	TP53
GSR	ADIPOQ
GSR	CASP3
GTF2B	REL
GTF2B	POLR2D
GTF2B	SMARCB1
GTF2B	PSMA3
GTF2B	POLR2F
EIF4H	RPS4Y1
EIF4H	RPS29
EIF4H	LDHB
EIF4H	EIF4A2
EIF4H	RPS26
EIF4H	LNX1
EIF4H	EIF3J
SEPT2	HSP90AA1
SEPT2	SRRM2
SEPT2	ADRM1
SEPT2	LDHB
SEPT2	CSF3
SEPT2	CNP
SEPT2	COBL
SEPT2	DBN1
SEPT2	PA2G4
SEPT2	RNF31
SEPT2	ACTC1
SEPT2	EIF3J
SEPT2	SMN1
SEPT2	P4HB
REL	UBE2D3
REL	TMEM268
REL	EIF4A2
REL	MMP2
REL	RPS26
REL	TP53
REL	PSMA3
DBN1	SMN1
DBN1	ACTC1
DBN1	CFL2
DBN1	CPM
DBN1	UBE2D3
DBN1	SRRM2
DBN1	PPP1CC
DBN1	COBL
DBN1	TP53
PNP	UPP2
PNP	CASP3
PNP	CXCL8
PNP	ENTPD6
PNP	INPP5J
PNP	TP53
PNP	PRTFDC1
TRIM10	GATA1
TRIM10	ZNF148
TRIM10	CSF3
TRIM10	LNX1
TRIM10	UBE2D3
TRIM10	HSP90AA1
CXCL8	NUPR1
CXCL8	ADIPOQ
CXCL8	CASP3
CXCL8	SCO2
CXCL8	GPSM2
CXCL8	IL15RA
CXCL8	PRL
CXCL8	TLR3
CXCL8	TP53
CXCL8	MMP2
CXCL8	TUT7
CXCL8	EDN1
CXCL8	CSF3
TNFSF13B	TRAF3
TNFSF13B	PSMA3
TNFSF13B	GATA1
EIF4A2	EIF3J
EIF4A2	HSP90AA1
EIF4A2	RPS4Y1
EIF4A2	RPS26
EIF4A2	RPS29
EIF4A2	RPL7
EIF4A2	TUT7
EIF4A2	P4HB
HSP90AA1	SRRM2
HSP90AA1	RIPK1
HSP90AA1	SCO2
HSP90AA1	MMP2
HSP90AA1	RPL7
HSP90AA1	AZI2
HSP90AA1	ADIPOQ
HSP90AA1	LNX1
HSP90AA1	TP53
HSP90AA1	PSMA3
HSP90AA1	IGHV2-5
HSP90AA1	NUPR1
HSP90AA1	P4HB
HSP90AA1	KRT1
HSP90AA1	INPP5J
HSP90AA1	SMN1
HSP90AA1	SF3B3
HSP90AA1	RNF31
CFL2	LDHB
CFL2	ACTC1
PPP1CC	C20orf27
PPP1CC	CPM
PPP1CC	CENPL
PPP1CC	SMARCB1
PPP1CC	RPL18A
PPP1CC	TP53
PPP1CC	RPL7
PPP1CC	RPS26
PPP1CC	TRAF3
PRTFDC1	GOPC
PRTFDC1	LNX1
UBE2G1	LNX1
UBE2G1	RNF123
UBE2G1	ELOC
TLR3	TRAF3
TLR3	TP53
TLR3	RIPK1
TLR3	UBE2D3
TLR3	RNF31
TMEM268	SLC7A1
RPL21	RPS4Y1
RPL21	UPF1
RPL21	RPL18A
RPL21	RPS29
RPL21	RPL7
RPL21	RPS26
RPL21	NOP58
RPL21	SPCS1
RPL21	TP53
RPL21	PA2G4
RPS29	UPF1
RPS29	RPL7
RPS29	RNF31
RPS29	SPCS1
RPS29	EIF3J
RPS29	NOP58
RPS29	RPL18A
RPS29	RPS26
RPS29	RPS4Y1
AKAP8L	RNF31
C20orf27	RALYL
GPSM2	NPY1R
RNF31	PSMA3
RNF31	TP53
RNF31	KRT1
RNF31	ADRM1
RNF31	RIPK1
RNF31	UBE2D3
RNF31	SRRM2
RNF31	AZI2
RNF31	THRAP3
SYT2	INPP5J
SYT2	SYT1
MMP2	EDN1
MMP2	TMEM205
MMP2	CASP3
MMP2	PRL
MMP2	NUPR1
MMP2	ADIPOQ
MMP2	PCSK9
MMP2	CSF3
MMP2	TP53
SMN1	CNP
SMN1	COBL
SMN1	SRRM2
SMN1	ADRM1
SMN1	LDHB
SMN1	ACTC1
SMN1	EIF3J
SMN1	THRAP3
SMN1	PA2G4
SMN1	RPL7
SMN1	KRTAP19-6
SMN1	TP53
SMN1	NOP58
SMN1	P4HB
PSMA3	AHSG
PSMA3	ADRM1
PSMA3	ELOC
PSMA3	P4HB
NPY1R	EDN1
ZNF148	TP53
ZNF148	LNX1
THRAP3	SRRM2
THRAP3	ZNF232
THRAP3	SF3B3
THRAP3	KRT1
THRAP3	AHSG
THRAP3	TP53
THRAP3	PRL
THRAP3	ADIPOQ
CSF3	GATA1
CSF3	IL15RA
CSF3	CASP3
CSF3	GOPC
CSF3	RIPK1
CSF3	TP53
ACTC1	COBL
ACTC1	SRRM2
UBE2D3	MKRN3
UBE2D3	RIPK1
