#tail	head
TOMM22	ILK
TOMM22	MTCH2
TOMM22	INS
TOMM22	ELAVL1
TOMM22	ATP5F1A
TOMM22	ELK1
TOMM22	PTP4A3
TOMM22	COQ9
TOMM22	DNM1L
TOMM22	EGLN3
TOMM22	VDAC1
DDX47	RPS13
DDX47	ELK1
DDX47	NOL12
DDX47	CYLD
DDX47	XPO1
DDX47	RBM28
DDX47	RPS9
DDX47	GABPB2
DDX47	CBWD1
DDX47	RPS24
IGHG1	ABI1
IGHG1	KIT
IGHG1	ERBB3
IGHG1	GNG12
IGHG1	PIK3R6
IGHG1	PIK3AP1
IGHG1	FLT3
IGHG1	BTK
IGHG1	MYD88
IGHG1	IGHV3-53
IGHG1	IGHM
IGHG1	INPP5K
IGHG1	LCK
IGHG1	FCGR3A
IGHG1	SYK
IGHG1	BCR
IGHG1	DVL1
IGHG1	CD79A
IGHG1	SHC1
IGHG1	FGF3
IGHG1	IGKV5-2
IGHG1	PLCG1
IGHG1	EPGN
IGHG1	IGLV1-44
IGHG1	LRRFIP1
IGHG1	GRB2
IGHG1	IGHV4-39
IGHG1	PIP4K2A
IGHG1	GNGT2
IGHG1	INPP5J
IGHG1	FGFR1OP2
IGHG1	ELMO2
IGHG1	PTPN11
HOOK3	ZC4H2
HOOK3	CEP63
HOOK3	CCDC8
PSMA8	EGLN3
PSMA8	ZHX2
PSMA8	CSNK1A1
PSMA8	FOXO3
PSMA8	RPS27A
PSMA8	PSMB4
PSMA8	VHL
PSMA8	UBA52
PSMA8	PSMC2
PSMA8	CUL3
PSMA8	CFTR
PSMA8	PSMB2
PSMA8	BIRC3
PSMA8	LNPEP
PSMA8	PSMC3
PSMA8	VIM
PSMA8	CDC26
PSMA8	PSMD3
PSMA8	CUL1
ZNF143	GTF2A1
ZNF143	SP1
LCN2	ELAVL1
LCN2	CYP2C19
LCN2	HMOX1
LCN2	SGTB
LCN2	TGFB1
LCN2	CGB8
LCN2	SP1
LCN2	PTGS1
PNP	MOV10
PNP	GRB2
PNP	CDC14A
PNP	DUSP28
PNP	INPP5K
PNP	PC
PNP	PMPCA
PNP	ELK1
PNP	SHC1
PNP	OCRL
PNP	PTP4A3
PNP	UCHL5
PNP	SACM1L
PNP	TP53
COL6A2	SHC1
COL6A2	CA10
COL6A2	ACTN2
COL6A2	PXN
COL6A2	ILK
COL6A2	LCK
COL6A2	GCG
INS	GCLM
INS	ILK
INS	LDHB
INS	TP53
INS	CTNNB1
INS	FOXO3
INS	VDAC1
INS	IGF1R
INS	CGB8
INS	TGFB1
INS	ELMO2
INS	CNBP
INS	ARNT
INS	CFTR
INS	SFPQ
INS	HSPA1L
INS	HSPA2
INS	USP9X
INS	TNFSF10
INS	VIM
INS	RPL23
INS	HTT
INS	RPS24
INS	CACNA2D4
INS	PMPCA
INS	SP1
INS	MAPK13
INS	USP34
INS	GRB2
INS	APOB
INS	IER3
INS	PSMB2
INS	EXTL2
INS	SORBS1
INS	COPZ1
INS	ABCA1
INS	PUM3
INS	PTGS1
INS	EXOC8
INS	MDM2
INS	USP15
INS	TAPT1
INS	NCEH1
INS	HSPA1A
INS	RPS9
INS	UBE2L3
INS	CAPZB
INS	CUL1
INS	P2RX2
INS	FOXF2
INS	PTPN11
INS	SHC1
INS	IL2
INS	CEP63
INS	TRIM38
INS	SPRY1
INS	IFNA13
INS	AMPH
INS	LMNA
INS	CDC34
INS	PIK3C2B
INS	SAT2
INS	HAUS4
INS	RPS13
INS	TRPC4
INS	TPM3
INS	WBP4
INS	AMT
INS	UBAP2L
INS	CEBPA
INS	PLCG1
INS	DNM1L
INS	PIK3C2G
INS	SACM1L
INS	INHBB
INS	GTF2A1
INS	HNRNPC
PLA2G12B	CYP2C19
PLA2G12B	SAT2
EEF1D	VHL
EEF1D	LMNA
EEF1D	FBXO6
EEF1D	GRB2
EEF1D	CUL1
EEF1D	DNM1L
