#tail	head
FGFR1	MAPK3
FGFR1	APP
FGFR1	IGKV2-30
FGFR1	IL13
FGFR1	JUN
FGFR1	DUSP22
FGFR1	RCN2
FGFR1	AKR1C3
FGFR1	HSP90AA1
UBC	FBXO6
UBC	PSMC5
UBC	FGFR2
UBC	SEC61A1
UBC	CALCOCO2
UBC	EGFR
UBC	NFIA
UBC	PDE12
UBC	DHX9
UBC	ASB6
UBC	SPSB4
UBC	PMS1
AKR1C3	RELA
AKR1C3	POLR2A
AKR1C3	BRCA1
AKR1C3	IL13
AKR1C3	PSMC5
TYRO3	PTPRO
TYRO3	DUSP4
TYRO3	DUSP12
TYRO3	MDFI
MYBPC1	TTN
MYBPC1	APP
MYBPC1	MYL2
IGKV2-30	HSP90AA1
IGKV2-30	FYN
IGKV2-30	KITLG
IGKV2-30	EPO
AQP9	IL13
AQP9	CDK2
AQP9	RELA
AQP9	TKT
CUL3	UBE2D4
CUL3	APP
CUL3	MRPS34
CUL3	PDE12
CUL3	TTN
CUL3	DHX9
CUL3	SMC3
CUL3	PMS1
CUL3	RPL9P9
CUL3	UBE2V1
CUL3	CALM3
CUL3	BRIX1
CUL3	MTHFD1
CUL3	ALDOA
CUL3	RPL35
RNF2	NUMA1
RNF2	APP
RNF2	DHX9
RNF2	UBE2D4
RNF2	TTN
RNF2	IQSEC1
ELF1	CD79B
ELF1	DUSP22
ELF1	RELA
ELF1	MAPK3
ELF1	CRACR2B
RHOD	PLXNB2
RHOD	SMURF2
DCUN1D1	SLC25A5
DCUN1D1	ASB6
DCUN1D1	POLR2A
DCUN1D1	HSP90AA1
DCUN1D1	CBR3
DUSP12	JAK1
DUSP12	RAB28
DUSP12	TWF2
DUSP12	FLT4
DUSP12	DUSP4
DUSP12	EGFR
FES	ACP1
FES	MDFI
FES	FYN
SMC3	NUP98
SMC3	ITGA2
SMC3	POLR2A
SMC3	PMS1
SMC3	FBXO6
SMC3	MAZ
SMC3	BRCA1
SMC3	FYN
RCN2	CLN5
RCN2	EGFR
RCN2	TCTN3
DUSP22	FLT4
DUSP22	HRAS
DUSP22	PSMD10
DUSP22	FYN
DUSP22	EGFR
ITLN2	APP
SOCS7	MDFI
APC	CTSV
APC	PSMA4
APC	CDK2
APC	PSMC5
MCTS1	MAPK3
CALCOCO2	RHPN1
MYL2	RAB1A
MYL2	HRAS
MYL2	TRPM6
MYL2	UBE2V1
MYL2	MYOC
NUMA1	CLASP1
NUMA1	CDK2
NUMA1	HSP90AA1
NUMA1	BRCA1
NUMA1	APP
NUMA1	HIST1H3C
NUMA1	NUP98
JAK1	HSP90AA1
JAK1	DOK1
JAK1	BRCA1
JAK1	NCKAP1
JAK1	KITLG
JAK1	ACP1
JAK1	ARRB1
JAK1	HIST1H3C
JAK1	DUSP4
JAK1	PLA2G4A
PLXNB2	FBXO6
CASP7	POLR2A
CDK2	CDC27
CDK2	DHX9
CDK2	NUP98
CDK2	RPL35
CDK2	SSR4
CDK2	PSMB3
CDK2	HSP90AA1
CDK2	BRCA1
CDK2	MAPK3
CDK2	RPS27L
CDK2	RUNX1
ITGA2	EGFR
ITGA2	HGF
FBXO6	UBE2D4
FBXO6	TCTN3
FBXO6	JUN
FBXO6	UBE2B
FBXO6	UBE2V1
FBXO6	HSP90AA1
FBXO6	DDOST
HIF1AN	SLC25A5
HIF1AN	PSMC5
HIF1AN	ASB6
CD79B	FYN
CD79B	CALM3
CD79B	IGKV3-20
CD79B	HRAS
COBLL1	CENPB
RCOR1	APP
BRCA1	BACH1
BRCA1	HGF
BRCA1	POLR2A
BRCA1	JUN
BRCA1	PDE12
BRCA1	TTN
MYOC	TKT
MYOC	ALDOA
SLC25A5	SMURF2
SLC25A5	DHX9
SLC25A5	ASB6
SLC25A5	BRIX1
