#tail	head
PTK2	MYC
PTK2	IRF8
PTK2	PRKDC
PTK2	APP
PTK2	CP
PTK2	ITGA2B
PTK2	CXCL2
PTK2	FYN
PTK2	PLA2G4A
PTK2	SH2D1A
PTK2	PTGDR2
PTK2	PTMA
PTK2	DNM2
PTK2	TNF
PTK2	GCLC
PTK2	SP1
PTK2	IGF1
PTK2	RRAS
PTK2	ABCB1
PTK2	PTPRK
PTK2	ACTN2
PTK2	STAT1
PTK2	HSP90AA1
PTK2	PTPRG
PTK2	SLCO1B3
PTK2	KEAP1
PTK2	PKD1
PTK2	LCK
PTK2	SPHK1
PTK2	EGFR
PTK2	PPP2R1A
MPDZ	ABCA1
MPDZ	IRF8
ILKAP	OGA
ILKAP	CFAP298
ILKAP	MAPK14
ILKAP	CERK
ILKAP	AATK
ILKAP	CDK9
ILKAP	EGFR
SLCO1B3	PPP2R1A
SLCO1B3	KEAP1
SLCO1B3	APP
SLCO1B3	EIF3F
SLCO1B3	SP1
SLCO1B3	CXCL1
SLCO1B3	HSP90AA1
SLCO1B3	TNF
SLCO1B3	STAT1
CDK9	P4HA1
CDK9	MED13
CDK9	MAZ
CDK9	PPP2R1A
CDK9	GTF2H1
CDK9	OGA
CDK9	MYC
CDK9	ATP2A2
CDK9	LANCL2
CDK9	PRKDC
CDK9	NCOA2
CDK9	SNW1
CDK9	RFC4
CDK9	HSP90AA1
CDK9	SP1
CDK9	STAT1
CDK9	CCAR2
CDK9	HDAC1
CDK9	DNM2
MYL12A	HSP90AA1
MYL12A	GRIN2B
MYL12A	CACNA1F
MYL12A	APP
MYL12A	LCK
MYL12A	MYC
MYL12A	SP1
MYL12A	EIF3B
MYL12A	FYN
MYL12A	EPHB3
MYL12A	ELK1
MYL12A	ACTN2
MYL12A	TNF
PLA2G4A	MAPK14
PLA2G4A	OGDHL
PLA2G4A	APP
PLA2G4A	LEF1
PLA2G4A	ACSM1
PLA2G4A	MYC
PLA2G4A	ACTN2
PLA2G4A	TNF
PLA2G4A	ITGA2B
PLA2G4A	GNPAT
PLA2G4A	CACNA1F
PLA2G4A	EGFR
PLA2G4A	GRIN2B
UBFD1	OGA
UBFD1	CNDP2
UBFD1	ABCB1
ILF3	PRKDC
ILF3	HSP90AA1
ILF3	MAZ
ILF3	CBX6
ILF3	CCDC8
ILF3	OGA
ILF3	HIST1H3H
ILF3	EGFR
ILF3	MYC
ILF3	LEF1
ILF3	HNRNPC
ILF3	SNW1
ILF3	NR5A2
