#tail	head
CFH	ADGRG2
CFH	APOC2
CFH	HSPA1B
CFH	JARID2
CFH	GRAP2
CFH	KCNMA1
CFH	DMD
CFH	GRB2
CFH	KRT14
CFH	PLAG1
CFH	CST3
CFH	POU6F2
CFH	KRT13
EBF2	GRIK1
EBF2	JUN
EBF2	JARID2
EBF2	TRIM8
EBF2	PSME3
EBF2	PTMA
EBF2	PTH2
EBF2	PAX2
EBF2	PLAG1
EBF2	POU2F1
CBX1	PHIP
CBX1	HIST1H4K
CBX1	SPRR1B
CBX1	TMOD3
CBX1	KMT5B
CBX1	G3BP1
JARID2	KCNMA1
JARID2	CST3
JARID2	KRT14
JARID2	DMD
JARID2	POU2F1
JARID2	HIST1H4K
JARID2	POU6F2
JARID2	PLAG1
JARID2	ADGRG2
JARID2	KRT13
JARID2	APOC2
JARID2	GRAP2
P2RX7	GNA15
P2RX7	MYH8
P2RX7	KRTAP10-8
P2RX7	SORBS1
P2RX7	DMD
P2RX7	CCR8
P2RX7	HSPA8
P2RX7	TMOD3
P2RX7	CYSLTR2
P2RX7	GRB2
P2RX7	TGFA
P2RX7	TPM3
P2RX7	TLN1
P2RX7	CXCL8
ALAD	PLGRKT
ALAD	TCF12
ALAD	DMD
ALAD	NTRK2
ALAD	KRT14
ALAD	SQSTM1
ALAD	ELK1
ALAD	PSMD13
ALAD	WRAP73
ALAD	HSPA1B
ALAD	SHKBP1
ALAD	CCL3
RPL24	SLC25A5
RPL24	PAK2
RPL24	FBL
RPL24	YAP1
RPL24	GRB2
RPL24	HIST1H4K
RPL24	GABARAP
RPL24	NAP1L1
RPL24	RPLP0
RPL24	RPS23
RPL24	JUN
RPL24	RPSA
RPL24	EFTUD2
RBMY1A1	APOBEC3C
RBMY1A1	RASD1
TRIM42	PROP1
TRIM42	KRT13
TRIM42	KRTAP10-3
TRIM42	KRTAP10-8
TRIM42	SSX2IP
TRIM42	LCE5A
DDX39B	WDR33
DDX39B	SEM1
DDX39B	TMOD3
DDX39B	TARDBP
DDX39B	RBM39
DDX39B	PRPF6
DDX39B	YAP1
DDX39B	ESR2
DDX39B	GRB2
DDX39B	TP53BP1
DDX39B	CTNNB1
DDX39B	LMNA
DDX39B	IGF2BP3
DDX39B	CORO1C
DDX39B	EFTUD2
DDX39B	MYO1C
DDX39B	HSPA8
DDX39B	WWOX
DDX39B	SLC25A5
DDX39B	ELK1
WDR33	PRPF6
WDR33	HSPA8
WDR33	POU2F1
WDR33	WWOX
WDR33	ESR2
WDR33	EFTUD2
WDR33	SEH1L
WDR33	ZMYND11
ELK1	PRPF6
ELK1	TGFA
ELK1	EFTUD2
ELK1	TPM3
ELK1	ZNF408
ELK1	GRB2
ELK1	NUDT5
ELK1	EGR2
ELK1	YTHDF3
ELK1	PSMD13
ELK1	WRAP73
ELK1	CSNK1E
ELK1	PSME3
ELK1	JUN
ELK1	BMP2K
ELK1	AP2S1
ELK1	ANKS1A
ELK1	CXCL8
ELK1	SLC25A5
ELK1	PSMA6
ELK1	DCAKD
ELK1	GIT2
ELK1	ZNF384
ELK1	CORO1C
FGF8	GRB2
FGF8	CXCL8
FGF8	CTNNB1
FGF8	PSME3
FGF8	NTRK2
FGF8	GNG11
FGF8	ESR2
FGF8	SORBS1
FGF8	C2CD3
FGF8	SDAD1
FGF8	GNG7
FGF8	GRAP2
FGF8	ARNT
FGF8	PTPN11
FGF8	TGFA
FGF8	JUN
RPS23	GRB2
RPS23	ESR2
RPS23	TARDBP
RPS23	JUN
RPS23	EFTUD2
RPS23	EIF3A
RPS23	GABARAP
RPS23	SLC25A5
RPS23	G3BP1
RPS23	DCAF13
RPS23	FBL
RPS23	CSNK1E
RPS23	RPSA
RPS23	DDX52
RPS23	NAP1L1
RPS23	RPLP0
LTF	S100A2
LTF	CXCL8
LTF	CTNNB1
LTF	ESR2
LTF	HSPA1B
LTF	PKM
LTF	WWP2
TGFA	AP2S1
TGFA	GNG11
TGFA	CXCL8
TGFA	GNG7
TGFA	S100A2
TGFA	SH3GL2
TGFA	PTPN11
TGFA	HSPA8
TGFA	GRB2
TGFA	ESR2
TGFA	HRC
TGFA	TFG
TGFA	PKM
TGFA	P2RY2
TGFA	JUN
TGFA	GRAP2
NCAN	TLN1
NCAN	COL19A1
NCAN	COL1A1
NCAN	MEF2A
NCAN	SDC3
NCAN	JUN
CST3	KCNMA1
CST3	APOC2
CST3	DMD
CST3	KRT14
CST3	PLAG1
