#tail	head
H2AFX	UBB
H2AFX	A2M
H2AFX	HIST1H3H
H2AFX	HIST2H4B
H2AFX	MAX
H2AFX	HOXC4
H2AFX	CALM1
H2AFX	HIF1A
H2AFX	HIST2H3D
DPM2	B3GLCT
DPM2	B4GALT2
DPM2	MAX
PLCB2	CALM1
PLCB2	GNG11
PLCB2	SNCA
HIP1R	CD4
HIP1R	AP1M2
HIP1R	UBB
HIP1R	LYPD3
HIP1R	AP1M1
FBXO4	AP1M1
FBXO4	UBB
FAM9B	AP1M1
FAM9B	TBRG4
FAM9B	ISCU
A2M	ADAMTS1
A2M	HIF1A
A2M	MLST8
A2M	GAB2
A2M	AP1M2
HIST2H3D	HIST2H4B
HIST2H3D	JAK2
HIST2H3D	SNCA
HIST2H3D	HOXC4
HIST2H3D	HIST1H3H
IL2	ISCU
IL2	HIST2H4B
IL2	JAK2
IL2	GZMB
IL2	GAB2
IL2	SNCA
GADD45GIP1	HIST1H3H
GADD45GIP1	MKRN3
GADD45GIP1	MRPL39
NFIA	HIST1H3H
NFIA	RBPJ
HIST1H3H	HIST2H4B
HIST1H3H	JAK2
HIST1H3H	HOXC4
RBPJ	GZMB
MRPL39	SIRT4
B3GLCT	B4GALT2
B3GLCT	ADAMTS1
GZMB	JAK2
UBB	HIF1A
UBB	CD4
UBB	JAK2
UBB	SNCA
SNCA	HIF1A
SNCA	CALM1
ESRRA	MLST8
ESRRA	MAX
ESRRA	HIF1A
ESRRA	ISCU
JAK2	IGLV3-21
JAK2	CALM1
JAK2	GNG11
JAK2	CD4
JAK2	GAB2
HIF1A	ISCU
HIF1A	HIST2H4B
HIF1A	MAX
GAB2	GNG11
GAB2	IGLV3-21
MAX	HOXC4
MAX	MKRN3
MAX	CALM1
LYPD3	TBRG4
TBRG4	SIRT4
CD4	CALM1
HOXC4	HIST2H4B
CALM1	GNG11
CALM1	IGLV3-21
CALM1	HIST2H4B
GNG11	IGLV3-21
AP1M2	AP1M1
ATG13	MLST8
