#tail	head
AGO2	TP53
AGO2	HSPA1A
AGO2	NOG
AGO2	DDX5
AGO2	HRNR
AGO2	RPL24
AGO2	NAPA
AGO2	HNRNPL
MCCC2	RECK
MCCC2	TAF1
MCCC2	ACSM1
MCCC2	ACSS1
MCCC2	PPA2
MCCC2	PRKN
MCCC2	JUN
MCCC2	PMPCA
MCCC2	SLC4A8
MCCC2	HNRNPL
RPL24	PAK2
RPL24	MAZ
RPL24	TAF1
RPL24	TP53
RPL24	JUN
PTPRQ	HCK
PTPRQ	EPHA7
PTPRQ	JAK2
CFI	HNF1A
CFI	MCOLN1
CFI	HSPA1A
CFI	IFNA1
CEBPB	CCND2
CEBPB	PLA2G2E
CEBPB	HMOX1
CEBPB	EGR1
CEBPB	TP53
CEBPB	JUN
CEBPB	STX18
CEBPB	GSK3B
CEBPB	EPHA7
CEBPB	CAVIN2
CEBPB	PLA2G4A
CEBPB	PIP5K1A
CEBPB	NOG
CEBPB	PDGFB
CEBPB	STC1
TTYH2	SLC4A8
TTYH2	NOG
TTYH2	CCND2
TTYH2	SLC12A6
LTF	IFNA1
LTF	HMOX1
LTF	TP53
LTF	ITLN1
LTF	PIK3C3
LTF	HSPA1A
LTF	MCOLN1
LTF	CASP3
GSK3B	LPCAT1
GSK3B	ITLN1
GSK3B	JUN
GSK3B	CCND2
GSK3B	TP53
GSK3B	CASP3
GSK3B	HSPA1A
GSK3B	NOG
GSK3B	PDGFB
GSK3B	PRKCE
GSK3B	DDX5
GSK3B	MAZ
GSK3B	HMOX1
SORD	TPI1
SORD	LDHB
SORD	NOG
SORD	ACSS1
SORD	NAPA
GUK1	ATP6V0C
GUK1	ATP6V1C1
GUK1	ALDH3B2
SLC3A2	SLC4A8
SLC3A2	JUN
SLC3A2	NAPA
SLC3A2	SLC17A4
SLC3A2	EGR1
SLC3A2	KARS
SLC3A2	SLC22A5
SLC3A2	NOG
SLC3A2	AIMP2
SLC3A2	ALDH3B2
SLC3A2	SPTLC1
JAK2	PIP5K1A
JAK2	PDGFB
JAK2	CBL
JAK2	CCND2
JAK2	FCGR3A
JAK2	TRIM24
JAK2	IFNA1
JAK2	HNRNPL
JAK2	STAM
JAK2	CASP3
JAK2	MAZ
JAK2	PRKCE
JAK2	JUN
MTG1	BPNT1
MTG1	NOG
MTG1	CA12
MTG1	HCK
SLC12A6	HNRNPL
SLC12A6	SLC26A4
SLC12A6	TP53
SLC12A6	SLC4A8
SLC12A6	ALDH3B2
GMNN	ZNF785
GMNN	HNF1A
GMNN	EHMT1
GMNN	CASP3
BET1L	STX18
BET1L	NAPB
BET1L	COPZ2
BET1L	NAPA
BET1L	GORASP1
NOTCH2NLA	NOG
NOTCH2NLA	RECK
NOTCH2NLA	SLC22A5
NOTCH2NLA	WDR25
NOTCH2NLA	HCK
NOTCH2NLA	ZNF785
NOTCH2NLA	HNRNPL
SPSB1	DCUN1D5
SPSB1	CCDC22
SPSB1	TP53
SPSB1	HNRNPL
SLC17A4	SLC22A5
SLC17A4	SLC4A8
SLC17A4	HNF1A
NOG	HCK
NOG	CAVIN2
NOG	EPHA7
NOG	ACSS1
NOG	EGR1
NOG	PAX6
NOG	LPCAT1
NOG	GABPA
NOG	CBL
NOG	PLA2G4A
NOG	SLC4A8
NOG	PDGFB
NOG	STC1
NOG	CCND2
NOG	HNF1A
NOG	ASB8
NOG	RECK
NOG	JUN
NOG	HRASLS
NOG	HSPA1A
NOG	ABHD5
NOG	HNRNPL
NOG	HMOX1
NOG	HMOX2
NOG	CASP3
NOG	TRIM24
NOG	SELENOP
NOG	FNBP1
NOG	TPI1
NOG	DDX5
NOG	CA12
NOG	ATP6V1C1
NOG	RABGEF1
NOG	PRKCE
NOG	ZNF785
LPCAT1	HRASLS
LPCAT1	GPAT4
LPCAT1	PLA2G4A
LPCAT1	ACSS1
LPCAT1	ALDH3B2
LPCAT1	ACSM1
LPCAT1	PLA2G2E
NAPB	STX18
NAPB	STX19
NAPB	JUN
NAPB	NAPA
HCK	CBL
HCK	PIP5K1A
HCK	PDGFB
HCK	FCGR3A
HCK	PAK2
HCK	MKRN3
HCK	PRKCE
HCK	EPHA7
ATP6V1C1	JUN
ATP6V1C1	NAPA
ATP6V1C1	ATP6V0C
ATP6V1C1	CA12
EPHA7	MAZ
EPHA7	HNF1A
ACSS1	SPTLC1
ACSS1	ABHD5
ACSS1	SLC26A4
ACSS1	PPA2
ACSS1	ACSM1
ACSS1	GPAT4
RAB5B	MAZ
RAB5B	RABGEF1
RAB5B	STAM
RAB5B	CBL
RAB5B	SPTLC1
RAB5B	FNBP1
RAB5B	CLTC
ZWINT	CCDC22
ZWINT	STX19
ZWINT	STX18
ZWINT	DDX5
ZWINT	TP53
ZWINT	PPA2
HS6ST1	HNF1A
HS6ST1	BPNT1
CCND2	TP53
CCND2	PRKN
CCND2	PDGFB
CCND2	MAZ
CCND2	HNF1A
CCND2	DMTF1
TPI1	IFNA1
TPI1	HSPA1A
TPI1	LDHB
TPI1	MCOLN1
TPI1	MAZ
ASB8	DCUN1D5
ASB8	CCDC22
KARS	AIMP2
KARS	JUN
KARS	CASP3
NAPA	CLTC
NAPA	AIMP2
NAPA	HNF1A
NAPA	HSPA1A
NAPA	HNRNPL
NAPA	STX18
NAPA	DDX5
NAPA	LDHB
HNF1A	JUN
HNF1A	PAX6
HNF1A	DDX5
HNF1A	PLA2G4A
HNF1A	PDGFB
HNF1A	STC1
HNF1A	EGR1
HNF1A	HNRNPL
HNF1A	MAZ
SPTLC1	ALDH3B2
SPTLC1	PLA2G4A
SPTLC1	ACSM1
SPTLC1	PLA2G2E
SPTLC1	JUN
SPTLC1	SPTSSA
GPANK1	GABPA
GPANK1	HRASLS
GPANK1	PAX6
GPANK1	MAZ
GORASP1	CASP3
GORASP1	NXN
GORASP1	COPZ2
PIK3C3	FCGR3A
PIK3C3	HSPA1A
PIK3C3	HNRNPL
PIK3C3	CASP3
PIK3C3	PRKN
PIK3C3	PIP5K1A
PIK3C3	PDGFB
PIK3C3	TRIM24
PIK3C3	PRKCE
PPA2	TP53
PMPCA	CGB2
PMPCA	PIP5K1A
PMPCA	COQ2
GPAT4	ABHD5
GPAT4	ACSM1
GPAT4	ALDH3B2
GPAT4	PLA2G4A
EGR1	TP53
EGR1	CASP3
EGR1	FSTL5
EGR1	IFNA1
EGR1	CLTC
EGR1	PDGFB
EGR1	DDX5
EGR1	MAZ
EGR1	HMOX1
EGR1	JUN
EGR1	HNRNPL
NXN	HNRNPL
NXN	CGB2
CLTC	STAM
CLTC	JUN
CLTC	TP53
CLTC	PIP5K1A
CLTC	HSPA1A
CLTC	CBL
CLTC	FNBP1
CLTC	MAZ
PLA2G2E	JUN
PLA2G2E	MAZ
LDHB	ALDH3B2
LDHB	JUN
LDHB	MAZ
LDHB	PAK2
LDHB	COQ2
IFNA1	TP53
IFNA1	HRNR
IFNA1	HSPA1A
IFNA1	HMOX1
IFNA1	CASP3
IFNA1	SELENOP
DMTF1	TP53
DMTF1	GABPA
DMTF1	JUN
DMTF1	TAF1
DCUN1D5	CCDC22
DCUN1D5	RBBP7
MCOLN1	HRNR
MCOLN1	TP53
MCOLN1	HSPA1A
MCOLN1	PLA2G4A
MCOLN1	CASP3
MCOLN1	SELENOP
MCOLN1	HMOX1
ACSM1	PLA2G4A
ACSM1	ABHD5
ACSM1	ALDH3B2
SELENOP	HMOX1
SELENOP	TP53
SELENOP	HSPA1A
PDGFB	PRKCE
PDGFB	MAZ
PDGFB	CBL
PDGFB	PIP5K1A
PDGFB	FCGR3A
PDGFB	HMOX2
PDGFB	CASP3
PDGFB	TRIM24
PDGFB	TP53
PDGFB	HMOX1
SLC22A5	JUN
SLC22A5	CASP3
SLC22A5	SLC4A8
STAM	TAF1
STAM	FNBP1
STAM	CBL
STAM	PIP5K1A
FCGR3A	PIP5K1A
FCGR3A	TRIM24
PRKCE	MAZ
PRKCE	PAK2
PRKCE	HNRNPL
PRKCE	CBL
PRKCE	PLA2G4A
RBBP7	DDX5
RBBP7	HSPA1A
RBBP7	TAF1
RBBP7	CCDC22
RBBP7	MAZ
RBBP7	JUN
RBBP7	TP53
PIP5K1A	MAZ
PIP5K1A	CBL
PIP5K1A	JUN
PIP5K1A	HNRNPL
PIP5K1A	CASP3
PIP5K1A	FNBP1
PIP5K1A	TRIM24
TRIM15	RABGEF1
TRIM15	EHMT1
RECK	HNRNPL
HMOX1	CASP3
HMOX1	JUN
HMOX1	TAF1
HMOX1	TP53
HMOX1	PRKN
HMOX1	HSPA1A
HMOX1	PLA2G4A
HSPA1A	HRNR
HSPA1A	CASP3
HSPA1A	JUN
HSPA1A	CBL
HSPA1A	TP53
HSPA1A	PRKN
HSPA1A	FNBP1
HSPA1A	TRIM24
FSTL5	PAX6
FSTL5	MAZ
HNRNPL	MAZ
HNRNPL	WDR25
HNRNPL	AIMP2
HNRNPL	JUN
HNRNPL	DDX5
HNRNPL	FNBP1
HNRNPL	TP53
HNRNPL	PRKN
HNRNPL	SPTSSA
HNRNPL	ALDH3B2
HNRNPL	EHMT1
STC1	MAZ
STC1	JUN
STC1	CASP3
STC1	TP53
DDX5	GABPA
DDX5	MAZ
DDX5	JUN
DDX5	TAF1
DDX5	TP53
DDX5	PRKN
SLC26A4	SLC4A8
CBL	TP53
CBL	FNBP1
ZNF785	MKRN3
ZNF785	TRIM24
GABPA	TAF1
GABPA	PAX6
GABPA	MKRN3
JUN	PAK2
JUN	AIMP2
JUN	TAF1
JUN	ATP6V0C
JUN	TP53
JUN	PLA2G4A
JUN	PRKN
JUN	SLC4A8
JUN	MAZ
CASP3	PAK2
CASP3	PRKN
CASP3	TP53
CASP3	PLA2G4A
CASP3	HMOX2
WDR25	MKRN3
ABHD5	HMOX2
ABHD5	ALDH3B2
TP53	EHMT1
TP53	MAZ
TP53	AIMP2
TP53	TAF1
TP53	TRIM24
TP53	PRKN
ALDH3B2	BPNT1
RABGEF1	TAF1
PAX6	CAVIN2
PAX6	MAZ
PAX6	TAF1
MAZ	TAF1
ATP6V0C	CA12
HRNR	COQ2
TRIM24	TAF1
COPZ2	STX18
TAF1	AIMP2
PRKN	AIMP2
CA12	SLC4A8
