#tail	head
NME6	DUT
NME6	CTH
NME6	GALNT7
NME6	SARS
NME6	ALDH7A1
PIN1	CCDC6
PIN1	YWHAE
PIN1	PRRC1
PIN1	TAGLN3
PIN1	YWHAH
CTH	DUT
CTH	GLDC
CTH	SARS
CTH	HMBS
PRRC1	SARS
PRRC1	NPEPL1
TAGLN3	DUT
PPP4R2	CCDC6
PYGM	SARS
PYGM	ALPG
PYGM	ACP6
ALDH7A1	YWHAH
ALDH7A1	ACP6
ALDH7A1	YWHAE
ALPG	PLEKHA7
ALPG	SH3KBP1
GALNT7	MUC17
GLDC	SH3KBP1
GLDC	HMBS
GLDC	PLEKHA7
PPP3CC	YWHAH
PPP3CC	YWHAE
SH3KBP1	YWHAE
SH3KBP1	PICALM
SH3KBP1	EIF3J
SH3KBP1	PLEKHA7
PLEKHA7	YWHAE
PLEKHA7	PICALM
PLEKHA7	EIF3J
SARS	CCDC6
YWHAE	YWHAH
YWHAE	WNK1
HMBS	NPEPL1
WNK1	PICALM
EIF3J	TPD52L1
TPD52L1	PICALM
