#tail	head
GRIK5	CAMK2D
GRIK5	SRI
GRIK5	RASGRP2
GRIK5	VDAC3
GRIK5	SLC24A3
GRIK5	MYH3
GRIK5	SLC3A2
SEPT2	LMNA
SEPT2	SLC3A2
SEPT2	TRA2A
SEPT2	GNB2
SEPT2	CLTC
AGBL5	SP1
AGBL5	SLC3A2
HIST2H4A	TRPM6
HIST2H4A	MAPKAPK3
HIST2H4A	GNB2
HIST2H4A	POLR2A
HIST2H4A	IFNAR1
HIST2H4A	LMNA
HIST2H4A	CXCL8
HIST2H4A	NONO
HIST2H4A	HIST1H2BM
HIST2H4A	EYA2
HIST2H4A	EGFR
MAGOHB	TRA2A
MAGOHB	POLR2A
ATP6V1D	CLTC
ATP6V1D	SLC24A3
ATP6V1D	NKAIN2
RASGRP2	TRPM6
RASGRP2	SP1
RASGRP2	CACNG4
RASGRP2	SRI
RASGRP2	GNB2
RASGRP2	CCL11
SPARC	SLC24A3
SPARC	SRI
LMNA	HIST1H2BM
LMNA	EGFR
LMNA	SP1
LMNA	NONO
LMNA	SEC16A
LMNA	CAMK2D
IFNAR1	CXCL8
IFNAR1	IL2RB
IFNAR1	POLR2A
IFNAR1	SP1
PLPPR2	PHKG2
PLPPR2	SIGLEC12
PLPPR2	SP1
HRH4	CCL11
HRH4	GABBR1
HRH4	CXCL8
HRH4	GPSM1
HRH4	GNB2
GPSM1	CCL4L1
GPSM1	CXCL8
GPSM1	GABBR1
GPSM1	GNB2
SRI	SLC24A3
SRI	CAMK2D
SRI	TRPM6
SRI	VDAC3
SRI	MYH3
SRI	CACNG4
CAMK2D	NONO
CAMK2D	TRPM6
CAMK2D	CACNG4
CAMK2D	SP1
CAMK2D	POLR2A
CCL11	CXCL8
SLC3A2	CXCL8
SLC3A2	EGFR
SLC3A2	SLC24A3
SLC24A3	TRPM6
SLC24A3	CACNG4
TRA2A	SP1
VDAC3	TRPM6
VDAC3	CLTC
VDAC3	CACNG4
SEC16A	CLTC
SEC16A	EYA2
SEC16A	EGFR
GNB2	CXCL8
GNB2	EYA2
GNB2	EGFR
GNB2	SP1
GNB2	CCL4L1
GNB2	GABBR1
GABBR1	CXCL8
NONO	POLR2A
POLR2A	EGFR
POLR2A	SP1
POLR2A	HIST1H2BM
MYH3	CACNG4
MYH3	TRPM6
EGFR	MAPKAPK3
EGFR	EYA2
EGFR	CXCL8
EGFR	CLTC
PHKG2	NKAIN2
PHKG2	EYA2
SP1	IL23A
SP1	CLTC
SP1	CXCL8
SIGLEC12	CCL4L1
CXCL8	IL23A
CXCL8	IL2RB
CXCL8	HIST1H2BM
CXCL8	CACNG4
MAPKAPK3	HIST1H2BM
EYA2	HIST1H2BM
IL2RB	IL23A
