#tail	head
INPP5E	PCK1
INPP5E	PYGM
INPP5E	GAPDH
UTS2R	GNG2
CLDN5	EFNA5
CLDN5	ZEB1
AVP	FCHO2
AVP	REPS1
AVP	LHB
AVP	ELAVL1
AVP	JUN
AVP	FZD5
AVP	SLCO1B1
C3	GNG2
C3	GNG7
TRPV1	CXCL5
TRPV1	PRKCZ
TRPV1	NTRK1
TRPV1	F2RL1
TRPV1	PYGM
NALCN	UNC80
NACA	JUN
NACA	HIST1H3H
NACA	NTRK1
NACA	MDM2
TOLLIP	NRF1
TOLLIP	ELAVL1
RPA1	MOV10
RPA1	ELAVL1
RPA1	JUN
RPA1	GAPDH
RPA1	CDKN2AIP
RPA1	LIMA1
RPA1	NTRK1
RPA1	ATP6V0D1
RPA1	MDM2
GAPDH	PKM
GAPDH	PCK1
GAPDH	CLDN3
GAPDH	HIST1H2BF
GAPDH	SLCO1B1
GAPDH	CEBPB
GAPDH	ATP1B3
GAPDH	JUN
GAPDH	PYGM
GAPDH	PTPRQ
GAPDH	NTRK1
GAPDH	DDX42
GAPDH	MDM2
GAPDH	ENOPH1
GAPDH	RPL22
GAPDH	ATP6V0D1
GAPDH	PRKCZ
EPHA3	EFNA5
CXCL5	JUN
CXCL5	GNG7
CXCL5	GNG2
CXCL5	F2RL1
ATP6V0D1	NRF1
ATP6V0D1	PKM
ATP6V0D1	ATP1B3
GNG7	F2RL1
GNG7	ATP1B3
NTRK1	PRKCZ
NTRK1	SRSF6
NTRK1	ELAVL1
NTRK1	SFXN1
NTRK1	MOV10
NTRK1	LIMA1
NTRK1	JAK1
NTRK1	PTPRQ
NTRK1	DDX42
NTRK1	PCBP1
EFNA5	CEBPB
HIST1H2BF	RPL22
HIST1H2BF	HIST1H3H
HIST1H2BF	ZEB1
SRSF6	DDX42
SRSF6	MOV10
SRSF6	JUN
SRSF6	PCBP1
TMEM104	CEBPB
ATP1B3	PCK1
ATP1B3	UNC80
ATP1B3	GNG2
ATP1B3	SFXN1
ATP1B3	RPL22
ENOPH1	PYGM
ENOPH1	PCK1
HIST1H3H	PKM
HIST1H3H	LIMA1
HIST1H3H	JAK1
HIST1H3H	JUN
HIST1H3H	MOV10
MOV10	ZEB1
MOV10	F2RL1
MOV10	JUN
MOV10	DDX42
MOV10	MED28
MOV10	LIMA1
CDKN2AIP	MDM2
CDKN2AIP	IFT88
JAK1	PRKCZ
JAK1	PTPRQ
JAK1	MDM2
SFXN1	MCC
SFXN1	ELAVL1
FCHO2	REPS1
SLCO1B1	JUN
SLCO1B1	PYGM
SLCO1B1	CEBPB
SLCO1B1	PKM
JUN	ELAVL1
JUN	SLC26A9
JUN	PCBP1
JUN	CEBPB
JUN	RPL22
JUN	MDM2
JUN	REPS1
JUN	PKM
F2RL1	GNG2
CLDN3	PKM
CLDN3	MDM2
PKM	CEBPB
PKM	DDX42
PKM	MDM2
PKM	PCK1
PPP1R1B	PCBP1
PPP1R1B	ZEB1
PTPRQ	PYGM
PTPRQ	PCK1
ELAVL1	PCBP1
ELAVL1	CEBPB
ELAVL1	SNRNP48
ELAVL1	DDX42
LHB	CEBPB
LHB	PCK1
LHB	FZD5
FZD5	GNG2
PYGM	PCK1
PYGM	CEBPB
PYGM	DDX42
RPL22	MDM2
MED28	PCK1
CEBPB	NRF1
LIMA1	ZEB1
MCC	FKBP3
SNRNP48	DDX42
NRF1	FOXO4
NRF1	ZEB1
NRF1	DDX42
PRKCZ	PCBP1
PRKCZ	ZEB1
FKBP3	ZEB1
FKBP3	MDM2
MDM2	FOXO4
MDM2	DDX42
PCK1	FOXO4
PCBP1	SLC26A9
SLC26A9	ZEB1
