#tail	head
GRIN3A	PRKCA
GRIN3A	PPP2CB
APLNR	CLGN
APLNR	ATL3
TFIP11	TSSC4
TFIP11	KRT6B
TFIP11	PPP1R18
WWP2	UBC
WWP2	G3BP2
WWP2	HIST1H4E
STAG2	HIST1H4E
STAG2	PPP2CB
STAG2	NRF1
RABGGTA	RAB5B
RABGGTA	PTP4A2
NRF1	CLGN
NRF1	PRDX4
LDHB	SUCLA2
LDHB	DNM1L
LDHB	SPTAN1
RPS27A	RAB5B
RPS27A	HIST1H4E
RPS27A	FIS1
RPS27A	UBC
RPS27A	PPP2CB
PPP1R18	KRT36
SEPT3	REPIN1
SEPT3	SLC39A14
PRDX4	PTP4A2
PRDX4	UBC
G3BP2	UBC
G3BP2	SPTAN1
PRKACA	STS
PRKACA	SHBG
PRKACA	SPTAN1
PRKACA	DNM1L
PRKACA	REPIN1
KRT36	KRT6B
PPP2CB	SPTAN1
PPP2CB	UBC
FIS1	DNM1L
FIS1	REPIN1
FIS1	UBC
KRT6B	HPX
KRT6B	SLC39A14
PRKCA	UBC
UBC	RAB5B
STS	SHBG
SLC39A14	HPX
ATL3	TSSC4
SUCLA2	DNM1L
SUCLA2	PTP4A2
SUCLA2	CANT1
PTP4A2	SPTAN1
REPIN1	SPTAN1
REPIN1	RAB5B
SHBG	CA1
CA1	CANT1
CA1	DNM1L
CA1	HPX
SPTAN1	TSSC4
