#tail	head
GNG3	KNG1
GNG3	TAS2R9
GNG3	IGKV2-30
GNG3	PNOC
GNG3	PIK3CD
GNG3	GPSM2
GNG3	GNAT3
GNG3	PTEN
GNG3	CXCL2
UBXN1	USP34
UBXN1	MCM2
UBXN1	SH3GL1
UBXN1	CEBPA
UBXN1	RSPRY1
PDLIM2	SH3GL1
PDLIM2	RSPRY1
AMPH	PIK3CD
AMPH	SH3GL1
AMPH	SYT9
AMPH	PACSIN1
MCM2	AQP9
MCM2	GAPDH
MCM2	CDA
CXCL2	KNG1
CXCL2	GNAT3
CXCL2	GPSM2
USP34	CEBPA
SLC30A4	MDM2
SLC30A4	IGFALS
SLC30A4	GAPDH
SLC30A4	KNG1
AQP9	CEBPA
AQP9	GAPDH
GNAT3	KNG1
GNAT3	TAS2R9
GNAT3	GPSM2
GNAT3	PNOC
GNAT3	PTEN
PTEN	PIK3CD
PTEN	GAPDH
PTEN	SH3GL1
PTEN	CEBPA
PTEN	IGKV2-30
KNG1	SLC11A2
KNG1	GPSM2
RSPRY1	GAPDH
RSPRY1	CEBPA
RSPRY1	SH3GL1
RSPRY1	SLC11A2
PNOC	GPSM2
IGFALS	SLC11A2
SLC11A2	GAPDH
SLC11A2	MDM2
GPSM2	TAS2R9
MDM2	GAPDH
MDM2	USP2
PIK3CD	SH3GL1
PIK3CD	SYT9
PIK3CD	IGKV2-30
PIK3CD	PACSIN1
PACSIN1	SH3GL1
PACSIN1	SYT9
SH3GL1	GAPDH
SH3GL1	CEBPA
SH3GL1	SYT9
USP2	CEBPA
