#tail	head
APC	NANS
APC	GSK3B
UPP1	ADSS
UPP1	NANS
UPP1	ALDH18A1
UPP1	ATP6V1B2
UPP1	ATP6V0A1
HNRNPC	HTT
HNRNPC	MAGOH
HNRNPC	ALDH2
HNRNPC	KPNA2
HNRNPC	SPINT1
HSD17B7	GSK3B
HSD17B7	MAGOH
HSD17B7	ALDH18A1
HSD17B7	ME2
HCK	IL6ST
HCK	CSF3R
HCK	CD3G
GNAZ	CD3G
GNAZ	MTHFR
GNAZ	ATP6V0A1
GNAZ	HTT
LOX	TYRP1
LOX	SCO1
LOX	DHPS
LOX	CLDN4
LOX	MTHFR
DCUN1D1	DDX1
DCUN1D1	EML1
IL6ST	CSF3R
ADAMTSL4	KLHL38
ADAMTSL4	VASN
CSF3R	GSK3B
DIAPH3	VASN
DIAPH3	VCP
KLHL38	PAX5
CLEC3B	CLDN4
CLEC3B	SCO1
CLEC3B	GSK3B
CLEC3B	MTHFR
ATP6V1B2	ATP6V0A1
DDX1	ALDH18A1
DDX1	SPINT1
NANS	GPI
ADSS	SLC25A12
ADSS	KPNA2
ADSS	HTT
EML1	PAX5
VCP	HTT
VCP	USP10
VCP	SPINT1
VCP	ALDH18A1
ALDH18A1	ME2
ALDH18A1	SLC25A12
ALDH18A1	ACO2
SLC25A12	SCO1
SLC25A12	ACO2
SLC25A12	HTT
TYRP1	ALDH2
GSK3B	ALDH2
GSK3B	PAX5
SCO1	HTT
SCO1	MTHFR
SCO1	CLDN4
SCO1	GPI
GPI	ACO2
GPI	CLDN4
GPI	MTHFR
PAX5	KPNA2
DHPS	ALDH2
DHPS	SPINT1
DHPS	MTHFR
DHPS	ME2
ATP6V0A1	SPINT1
HTT	ACO2
HTT	CLDN4
HTT	MTHFR
USP10	ALDH2
ACO2	ALDH2
