#tail	head
RBM5	ESR2
RBM5	HNRNPU
RBM5	LSM4
MED6	MED20
MED6	SMAD3
MED6	ESR2
MED6	RARA
CFTR	SNX27
CFTR	PRDX6
CFTR	TNF
CFTR	SMAD3
CFTR	SLC6A14
CFTR	NTPCR
CFTR	CAD
LCN1	TNF
LCN1	SNX27
LCN1	ESR2
MED20	SUGT1
MED20	ESR2
SUGT1	PLK1
SUGT1	TNF
SUGT1	SMN2
ESR2	PRDX6
ESR2	CGA
ESR2	PISD
ESR2	TNF
ESR2	CAD
ESR2	SMAD3
ESR2	NTPCR
ESR2	SMN2
ESR2	SNX27
ESR2	LSM4
ESR2	PLK1
SLC6A14	PRDX6
SLC6A14	CAD
PLK1	HNRNPU
CGA	TNF
CGA	NTPCR
CGA	SMAD3
CGA	CAD
CAD	ERG
CAD	TNF
CAD	HNRNPU
HNRNPU	TNF
HNRNPU	ERG
HNRNPU	SMN2
HNRNPU	LSM4
HNRNPU	RARA
SMN2	LSM4
SMN2	RARA
RARA	ERG
RARA	TNF
RARA	PRDX6
PRDX6	TNF
TNF	NTPCR
WDR19	PISD
WDR19	NTPCR
ERG	SMAD3
