#node1	node2	node1type	node2type	relation_type
Q9Y496	P08151|P10070|P10071	group	gene	activation
Q9HAU4|Q9HCE7	Q13635|Q9Y6C5	gene	gene	ubiquitination
Q13618	Q9UMX1	group	gene	ubiquitination
P48729|P48730|P49674|P78368|Q8N752|Q9HCP0|Q9Y6M4	Q99835	gene	gene	activation|phosphorylation
Q13618	O43791|Q6IQ16	gene	gene	binding/association
O43791|Q6IQ16	Q13618	gene	gene	binding/association
Q8NHV5	Q99835	gene	gene	inhibition
P32121|P49407	Q8N6U8	gene	gene	binding/association
Q8N6U8	P32121|P49407	gene	gene	binding/association
Q13635|Q9Y6C5	Q99835	gene	gene	inhibition
Q7Z7M0		gene	gene	inhibition
P57679|Q86UK5	Q99835	gene	gene	binding/association
Q99835	P57679|Q86UK5	gene	gene	binding/association
O60291		gene	gene	inhibition
Q99835	P32121|P49407	gene	gene	binding/association
P32121|P49407	Q99835	gene	gene	binding/association
Q9Y496	P32121|P49407	gene	gene	binding/association
P32121|P49407	Q9Y496	gene	gene	binding/association
P08151|P10070|P10071	Q9UMX1	gene	gene	binding/association
Q9UMX1	P08151|P10070|P10071	gene	gene	binding/association
P08151|P10070|P10071	Q2M1P5	gene	gene	binding/association
Q2M1P5	P08151|P10070|P10071	gene	gene	binding/association
Q13635|Q9Y6C5	P54826|P98164|Q4KMG0|Q9BWV1	gene	gene	binding/association
P54826|P98164|Q4KMG0|Q9BWV1	Q13635|Q9Y6C5	gene	gene	binding/association
P25098|P35626	P48729|P48730|P49674|P78368|Q8N752|Q9HCP0|Q9Y6M4	gene	gene	binding/association
P48729|P48730|P49674|P78368|Q8N752|Q9HCP0|Q9Y6M4	P25098|P35626	gene	gene	binding/association
P17612|P22612|P22694	P48729|P48730|P49674|P78368|Q8N752|Q9HCP0|Q9Y6M4	gene	gene	binding/association
P48729|P48730|P49674|P78368|Q8N752|Q9HCP0|Q9Y6M4	P17612|P22612|P22694	gene	gene	binding/association
P25098|P35626	Q99835	gene	gene	activation
P17612|P22612|P22694	P49841	gene	gene	binding/association
P49841	P17612|P22612|P22694	gene	gene	binding/association
Q13618	P08151|P10070|P10071	group	gene	ubiquitination
P17612|P22612|P22694	P08151|P10070|P10071	gene	gene	activation|phosphorylation
Q13616	Q9UKB1|Q9Y297	gene	gene	binding/association
Q9UKB1|Q9Y297	Q13616	gene	gene	binding/association
Q13616	P08151|P10070|P10071	group	gene	ubiquitination
Q96QV1	O43323|Q14623|Q15465	gene	gene	inhibition
Q99835	P17612|P22612|P22694	gene	gene	inhibition
O43323|Q14623|Q15465	Q13635|Q9Y6C5	gene	gene	activation
O43323|Q14623|Q15465	P54826|P98164|Q4KMG0|Q9BWV1	gene	gene	activation
