#tail	head
FHL1	GSTT1
FHL1	ZNF16
FHL1	ENO1
FHL1	UBC
ASCL3	TCF4
ASCL3	GFI1
CUL3	ENO1
CUL3	PSMA3
CUL3	DCUN1D3
CUL3	UBE2L3
CUL3	FAF2
CUL3	BOLA2B
CUL3	UBC
CUL3	ABCD3
CUL3	PPP1R15A
CUL3	PPP1CA
CUL3	BAG4
CUL3	PSME1
OTOP2	FATE1
OTOP2	GFI1
TCF4	RNF19A
TCF4	PPP1CA
TCF4	GFI1
TCF4	CDC73
DEFA1B	PLXNA1
DEFA1B	ZNF16
CREB1	SMS
CREB1	PPP1R15A
CREB1	AREL1
CREB1	PPP1CA
CREB1	ZZEF1
DPYSL2	PLXNA1
DPYSL2	PPP1CA
DPYSL2	TSG101
TOMM20	SFXN3
TOMM20	FAF2
TOMM20	PIK3C2A
TOMM20	UBC
TOMM20	CDC73
TOMM20	CREB3
TOMM20	ABCD3
CLEC11A	GFI1
CLEC11A	FAF2
GSTT1	EGLN1
GSTT1	TSG101
UBE2L3	AREL1
UBE2L3	RNF19A
UBE2L3	EIF1B
UBE2L3	UBC
ENO1	PSMA3
ENO1	FAF2
ENO1	CDC73
ENO1	ZNF16
ENO1	TSG101
GTSE1	PSMA3
GTSE1	PSME1
GTSE1	PIK3C2A
GTSE1	PPP1R15A
EGLN1	PSMA3
EGLN1	UBC
EGLN1	PSME1
PSMA3	PSME1
PSMA3	EIF1B
PSMA3	UBC
FATE1	RBFA
PPP1R15A	PPP1R1A
PPP1R15A	EIF3H
PPP1R15A	PPP1CA
PPP1R15A	PCBP1
FAM3C	SFXN3
FAM3C	CREB3
FAM3C	MRPL41
EIF3H	UBC
EIF3H	PLEKHA7
EIF3H	SERPINH1
EIF3H	EIF1B
ABCD3	FAF2
ABCD3	MRPL41
FAF2	SERPINH1
FAF2	UBC
CREB3	SFXN3
PCBP1	CDC73
PCBP1	BOLA2B
PCBP1	SERPINH1
PCBP1	EIF1B
PCBP1	PLEKHA7
AREL1	UBC
PIK3C2A	UBC
PIK3C2A	PLEKHA7
PIK3C2A	SERPINH1
PIK3C2A	PIK3R3
PIK3R3	BAG4
PIK3R3	PSME1
PIK3R3	UBC
RNF19A	UBC
PSME1	UBC
SERPINH1	PLEKHA7
SERPINH1	DCUN1D3
SERPINH1	PPP1CA
RBFA	ZZEF1
UBC	CDC73
UBC	TSG101
BAG4	TSG101
PPP1R1A	PPP1CA
DCUN1D3	PLEKHA7
PLEKHA7	PPP1CA
