#tail	head
PPP2R1A	RPS15A
PPP2R1A	PSMB11
PPP2R1A	PSMB7
PPP2R1A	MCM2
PPP2R1A	THOC6
PPP2R1A	GABARAPL2
PPP2R1A	CSNK2B
PPP2R1A	SQSTM1
PPP2R1A	RPL17
PPP2R1A	RPN1
PPP2R1A	RPL32
RANBP9	LEF1
RANBP9	MKLN1
RANBP9	TOR1A
MKLN1	HNRNPL
SNRPD2	PRKDC
SNRPD2	HIST1H3J
SNRPD2	SYF2
SNRPD2	PRMT5
SNRPD2	THOC6
SNRPD2	TRIM14
SNRPD2	PLRG1
SNRPD2	THOC3
SNRPD2	MCM2
SNRPD2	HNRNPL
SNRPD2	AP2B1
SNRPD2	CYLD
SNRPD2	DHX38
SNRPD2	HIST1H3G
SNRPD2	HIST1H3H
SNRPD2	PPIE
SNRPD2	GABARAPL2
SNRPD2	CTNNBL1
SNRPD2	PPM1G
SNRPD2	ALYREF
EIF2S3	PLD3
EIF2S3	PRKDC
EIF2S3	XRCC5
EIF2S3	RPS15A
EIF2S3	CYLD
CTPS1	PRMT5
CTPS1	GOT2
CTPS1	GABARAPL2
CTPS1	SLC3A2
CTPS1	MCM2
CTPS1	CYLD
NFKB1	PRKDC
NFKB1	GABARAPL2
NFKB1	RPS15A
NFKB1	PSMB11
NFKB1	TNF
NFKB1	PSMB7
NFKB1	TRIM14
NFKB1	SQSTM1
NFKB1	PLD3
F2	CSNK2B
F2	TNF
F2	LEF1
F2	PCDH19
F2	TRPM2
F2	ITIH2
CLEC14A	SELENON
CLEC14A	TMEM243
SLC3A2	RPN1
SLC3A2	CYLD
SLC3A2	LRRC7
SLC3A2	MCM2
SLC3A2	TRIM14
SLC3A2	GOT2
SLC3A2	SQSTM1
SLC3A2	ACTN2
PRMT5	HIST1H3J
PRMT5	SQSTM1
PRMT5	RPN1
PRMT5	HIST1H3G
PRMT5	HIST1H3H
PRMT5	CTNNBL1
PRMT5	XRCC5
PRMT5	CYLD
